graph,seed,chi_chord,chi_added,accepted_swaps,pc,pc_ci_lo,pc_ci_hi,mean_degree
tehran_iran,311,0.03726426862058451,0.0,0,0.71,0.69,0.73,2.5283137877867587
tehran_iran,311,0.05961543792214512,0.022351169301560607,562,0.71,0.705,0.715,2.5283137877867587
tehran_iran,311,0.0905873765326582,0.053323107912073696,1371,0.71,0.705,0.715,2.5283137877867587
tehran_iran,311,0.14274626479529137,0.10548199617470685,2778,0.705,0.7,0.71,2.5283137877867587
tehran_iran,311,0.24939248061943878,0.21212821199885426,5770,0.685,0.67,0.71,2.5283137877867587
tehran_iran,322,0.03726426862058451,0.0,0,0.7,0.6898749999999999,0.715,2.5283137877867587
tehran_iran,322,0.0596061980836575,0.022341929463072986,568,0.71,0.69,0.715,2.5283137877867587
tehran_iran,322,0.09065205540207157,0.053387786781487055,1364,0.7,0.69,0.72,2.5283137877867587
tehran_iran,322,0.1428756225341181,0.10561135391353357,2774,0.705,0.69,0.705,2.5283137877867587
tehran_iran,322,0.24890276917959475,0.21163850055901023,5730,0.705,0.68,0.705,2.5283137877867587
tehran_iran,333,0.03726426862058451,0.0,0,0.705,0.7,0.715,2.5283137877867587
tehran_iran,333,0.05947684034483077,0.02221257172424626,562,0.705,0.69,0.705,2.5283137877867587
tehran_iran,333,0.09049497814778197,0.05323070952719746,1362,0.705,0.69,0.705,2.5283137877867587
tehran_iran,333,0.14285714285714285,0.10559287423655833,2776,0.69,0.685,0.7,2.5283137877867587
tehran_iran,333,0.248847330148669,0.21158306152808448,5738,0.68,0.675,0.705,2.5283137877867587
bengaluru_india,133,0.01460901133003484,0.0,0,0.695,0.68,0.71,2.6959756109592825
bengaluru_india,133,0.03703486840179172,0.022425857071756886,712,0.675,0.669875,0.71,2.6959756109592825
bengaluru_india,133,0.06798752817870422,0.053378516848669386,1706,0.68,0.66,0.71,2.6959756109592825
bengaluru_india,133,0.12018766285095295,0.10557865152091811,3419,0.665,0.659875,0.71,2.6959756109592825
bengaluru_india,133,0.22582486752349445,0.21121585619345962,7108,0.66,0.655,0.6851250000000001,2.6959756109592825
bengaluru_india,111,0.01460901133003484,0.0,0,0.69,0.674875,0.69,2.6959756109592825
bengaluru_india,111,0.037027549257838806,0.022418537927803968,712,0.695,0.67,0.695,2.6959756109592825
bengaluru_india,111,0.0677313581403519,0.053122346810317064,1701,0.695,0.665,0.7,2.6959756109592825
bengaluru_india,111,0.12031208829815265,0.10570307696811782,3464,0.7,0.65,0.7,2.6959756109592825
bengaluru_india,111,0.22646895219135169,0.21185994086131685,7198,0.665,0.645,0.685,2.6959756109592825
bengaluru_india,122,0.01460901133003484,0.0,0,0.68,0.675,0.725,2.6959756109592825
bengaluru_india,122,0.037027549257838806,0.022418537927803968,721,0.675,0.665,0.695,2.6959756109592825
bengaluru_india,122,0.06784114529964576,0.05323213396961092,1698,0.67,0.664875,0.695,2.6959756109592825
bengaluru_india,122,0.12018766285095295,0.10557865152091811,3426,0.665,0.655,0.68,2.6959756109592825
bengaluru_india,122,0.22658605849459848,0.21197704716456364,7121,0.665,0.645,0.67,2.6959756109592825
osaka_japan,211,0.03825034229300281,0.0,0,0.61,0.61,0.63,3.0017304780445597
osaka_japan,211,0.060531815233840165,0.022281472940837356,719,0.62,0.615,0.655,3.0017304780445597
osaka_japan,211,0.09154716437270304,0.053296822079700226,1737,0.62,0.605,0.655,3.0017304780445597
osaka_japan,211,0.143683793327088,0.10543345103408519,3493,0.62,0.595,0.625125,3.0017304780445597
osaka_japan,211,0.24990271672551703,0.21165237443251422,7209,0.605,0.5948749999999999,0.605125,3.0017304780445597
osaka_japan,233,0.03825034229300281,0.0,0,0.62,0.615,0.635,3.0017304780445597
osaka_japan,233,0.0605822584132017,0.022331916120198893,700,0.61,0.609875,0.665,3.0017304780445597
osaka_japan,233,0.0913453916552569,0.05309504936225409,1691,0.615,0.605,0.635125,3.0017304780445597
osaka_japan,233,0.14357570079988471,0.1053253585068819,3424,0.61,0.605,0.615,3.0017304780445597
osaka_japan,233,0.2496144699863083,0.21136412769330548,7154,0.605,0.585,0.62,3.0017304780445597
osaka_japan,222,0.03825034229300281,0.0,0,0.62,0.605,0.645,3.0017304780445597
osaka_japan,222,0.0604669597175182,0.02221661742451539,714,0.61,0.6,0.665,3.0017304780445597
osaka_japan,222,0.09166966923686676,0.05341932694386395,1738,0.61,0.6,0.63,3.0017304780445597
osaka_japan,222,0.14356849463140448,0.10531815233840167,3480,0.605,0.6,0.615125,3.0017304780445597
osaka_japan,222,0.24997477841031923,0.21172443611731642,7212,0.595,0.595,0.62,3.0017304780445597
delaunay20k,33,0.0,0.0,0,0.33,0.325,0.34,5.997
delaunay20k,33,0.02192763048190762,0.02192763048190762,299,0.33,0.325,0.33012500000000006,5.997
delaunay20k,33,0.05297648824412206,0.05297648824412206,734,0.33,0.325,0.33512500000000006,5.997
delaunay20k,33,0.10478572619643155,0.10478572619643155,1471,0.33,0.324875,0.33,5.997
delaunay20k,33,0.2103218275804569,0.2103218275804569,2960,0.33,0.315,0.335,5.997
