city,country,macro_region,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_spatial_null,pc_spatial_null_ci_low,pc_spatial_null_ci_high,spatial_null_gap,road_minus_spatial,spatial_fraction_of_road_gap,remaining_fraction_after_spatial,threshold_boundary_hit,runtime_seconds,swap_fraction_target,n_perm,n_bootstrap,length_bins,bin_tolerance,status,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,degree_max_abs_drift,chord_length_mean_ratio,chord_length_median_ratio,chord_length_bin_tvd,length_rejects,topology_rejects,notes
Lisbon,Portugal,Europe,26686,36745,0.4955161486076462,0.75,0.2544838513923538,0.625,0.625,0.65,0.1294838513923538,0.125,0.5088096972908523,0.4911903027091476,False,0.9909017086029053,0.02,6,80,12,1,pass,735.0,25312.0,0.029037610619469027,0.020002721458701866,0.0,4.626575048345742,1.0,0.01709076064770717,24574.0,3.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Vienna,Austria,Europe,17629,26142,0.4456985030858935,0.675,0.2293014969141065,0.6,0.575,0.6006249999999997,0.1543014969141065,0.07500000000000007,0.672919710471432,0.3270802895285683,False,0.7301774024963379,0.02,6,80,12,1,pass,523.0,18522.0,0.028236691501997625,0.020006120419248718,0.0,3.725801325727291,1.0,0.017290184377629865,17996.0,3.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Athens,Greece,Europe,54827,88593,0.4135569642707098,0.625,0.2114430357292901,0.525,0.525,0.525,0.11144303572929021,0.09999999999999998,0.5270593819508456,0.47294061804915477,False,2.532682180404663,0.02,6,80,12,1,pass,1772.0,62609.0,0.028302640195499048,0.020001580260291446,0.0,5.650860969992369,1.0,0.01766505254365469,60832.0,5.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Istanbul,Turkey,Middle East,48682,72909,0.4613033850047454,0.675,0.2136966149952546,0.575,0.575,0.575,0.11369661499525457,0.10000000000000009,0.5320468693328593,0.46795313066714095,False,2.116778612136841,0.02,6,80,12,1,pass,1458.0,53850.0,0.027075208913649024,0.019997531168991483,0.0,5.792114170343729,1.0,0.0175972787995995,52390.0,2.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Dubai,United Arab Emirates,Middle East,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.65,0.625,0.65,0.15913883247634292,0.07499999999999996,0.6796772273664694,0.320322772633531,False,0.6371796131134033,0.02,6,80,12,1,pass,454.0,15856.0,0.028632694248234107,0.019982394366197184,0.0,3.6237169433902756,1.0,0.017033450704225357,15397.0,5.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Cairo,Egypt,Africa,118235,163341,0.4905812814983452,0.7,0.2094187185016547,0.6,0.599375,0.6,0.1094187185016548,0.09999999999999998,0.5224877665402686,0.47751223345973176,False,4.644523620605469,0.02,6,80,12,1,pass,3267.0,117350.0,0.02783979548359608,0.020001101989090306,0.0,7.554688346514168,1.0,0.01782773461653841,114077.0,6.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Nairobi,Kenya,Africa,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.675,0.675,0.675,0.13169078630004827,0.1499999999999999,0.46750122014915807,0.5324987798508419,False,0.8016257286071777,0.02,6,80,12,1,pass,563.0,20094.0,0.028018313924554592,0.01999502787939056,0.0,4.191658742660858,1.0,0.017899634193983736,19525.0,6.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Accra,Ghana,Africa,19183,25655,0.5030786728370853,0.725,0.2219213271629146,0.625,0.625,0.625,0.1219213271629147,0.09999999999999998,0.5493898613602427,0.45061013863975774,False,0.708118200302124,0.02,6,80,12,1,pass,513.0,17529.0,0.02926578812253979,0.019996102124342233,0.0,3.554631924044047,1.0,0.017696355486259988,17010.0,6.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Johannesburg,South Africa,Africa,22312,32632,0.454250595097234,0.65,0.195749404902766,0.575,0.575,0.575,0.12074940490276598,0.07500000000000007,0.6168570727596616,0.3831429272403387,False,0.9522955417633057,0.02,6,80,12,1,pass,653.0,23903.0,0.027318746600845083,0.020011032115714637,0.0,4.0230522021731145,1.0,0.017651385143417506,23243.0,7.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
Casablanca,Morocco,Africa,36942,55764,0.4598827284198025,0.675,0.2151172715801975,0.575,0.575,0.575,0.11511727158019747,0.10000000000000009,0.5351372799337537,0.46486272006624657,False,1.5936601161956787,0.02,6,80,12,1,pass,1115.0,40267.0,0.027690168127747286,0.019994978839394592,0.0,4.819200513131994,1.0,0.01769959113406499,39141.0,11.0,single-replicate 71-city spatial-scale null screen; not a full R56 replacement
