city,country,macro_region,replicate,swap_fraction,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null,pc_geometry_null_ci_low,pc_geometry_null_ci_high,geometry_null_gap,road_minus_geometry,geometry_fraction_of_road_gap,remaining_fraction_after_geometry,threshold_boundary_hit,runtime_seconds,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,target_swaps,target_swap_fraction,topology_rejects,length_rejects,crossing_rejects,degree_max_abs_drift,length_bin_tvd,length_mean_ratio,length_median_ratio,stale_index_guard_calls,max_attempts,status,full_connectivity_metrics,notes,original_connected_components,null_connected_components,delta_connected_components,original_bridge_edge_share,null_bridge_edge_share,delta_bridge_edge_share,original_articulation_point_share,null_articulation_point_share,delta_articulation_point_share,original_largest_biconnected_node_fraction,null_largest_biconnected_node_fraction,delta_largest_biconnected_node_fraction,original_cyclomatic_density,null_cyclomatic_density,delta_cyclomatic_density,original_dual_endpoint_degree_mean,null_dual_endpoint_degree_mean,delta_dual_endpoint_degree_mean,original_dual_endpoint_degree_cv,null_dual_endpoint_degree_cv,delta_dual_endpoint_degree_cv,original_angular_entropy,null_angular_entropy,delta_angular_entropy,original_straight_angle_share_10deg,null_straight_angle_share_10deg,delta_straight_angle_share_10deg,original_right_angle_share_10deg,null_right_angle_share_10deg,delta_right_angle_share_10deg,null_mobility_index,source_round
Amsterdam,Netherlands,Europe,0,0.005,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.65,0.7006249999999997,0.208319142897687,0.0249999999999999,0.8928506264444721,0.1071493735555281,False,7.510496139526367,164,87695,0.0018701180226922,0.0049867728889834,164,0.005,4158,80307,3066,0,0.0,1.0054119184693526,1.0001775174359,514,147600,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,4.0,3.0,0.1399641195609207,0.1396296408915376,-0.000334478669383,0.1728804792896857,0.1723632602043015,-0.0005172190853842,0.7542347312615836,0.7545364423947244,0.0003017111331408,0.4175251066764364,0.4176544114477824,0.000129304771346,4.285583969349591,4.285583969349591,0.0,0.2733076557178945,0.2732773658068591,-3.0289911035374928e-05,0.829914713800308,0.835087990065983,0.0051732762656749,0.2297999148573861,0.2267773520647084,-0.0030225627926777,0.3560380303675323,0.352504611891585,-0.0035334184759472,0.0018403809174582,R67_reused_same_algorithm
Dubai,United Arab Emirates,Middle East,0,0.005,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.725,0.7,0.725,0.2341388324763428,0.0,1.0000000000000004,0.0,False,4.122533321380615,114,51815,0.0022001350960146,0.0050176056338028,114,0.005,2200,47347,2154,0,0.0,1.0019650474445103,1.001282254108873,363,102600,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,1.0,0.0,0.065625,0.0658450704225352,0.0002200704225352,0.0896718392266598,0.0905621979140167,0.0008903586873569,0.8635207326380056,0.8500381582294582,-0.0134825744085473,0.4449885525311625,0.4449885525311625,0.0,4.074471830985916,4.074471830985916,0.0,0.2090907214904712,0.2090780412514069,-1.2680239064283285e-05,0.9141788196691468,0.9177092043372762,0.0035303846681294,0.2073197079030376,0.2042086159961975,-0.00311109190684,0.2098474700773452,0.2079462472453873,-0.0019012228319578,0.0033051004179095,R67_reused_same_algorithm
Dar es Salaam,Tanzania,Africa,0,0.005,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.75,0.725,0.775,0.2424011640769924,0.025,0.9065075124624298,0.0934924875375703,False,5.3108439445495605,149,70273,0.0021203022497972,0.0049956413867095,149,0.005,2936,64889,2299,0,0.0,1.0060566734301293,1.0003910132156426,430,134100,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,10.0,9.0,0.1770938107691276,0.1769261717964192,-0.0001676389727083,0.2029401219074937,0.2024471136608103,-0.0004930082466833,0.7357027608461815,0.735478666188598,-0.0002240946575834,0.3368142703477949,0.3372176407314449,0.00040337038365,3.940119358948568,3.940119358948568,0.0,0.2414276124437851,0.2417583653184003,0.0003307528746151,0.8538850239331474,0.8590455431921624,0.005160519259015,0.2029135962150479,0.2008713558773975,-0.0020422403376503,0.310658792695587,0.3067104613761296,-0.0039483313194574,0.0017194046847282,R67_reused_same_algorithm
Rio de Janeiro,Brazil,Latin America,0,0.005,14909,20774,0.479348377866999,0.7,0.2206516221330009,0.725,0.675,0.725,0.2456516221330009,-0.025,1.1133007759395983,-0.1133007759395982,False,4.598162651062012,104,63581,0.0016357087809251,0.0050062578222778,104,0.005,2905,58567,2005,0,0.0,1.001800908680047,1.0001022077343926,326,93600,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,4.0,3.0,0.1467218638682969,0.1470106864349668,0.0002888225666698,0.1786840163659534,0.1788181635253873,0.0001341471594338,0.7679254141793548,0.763565631497753,-0.0043597826816017,0.3934536186196257,0.3936548393587766,0.0002012207391508,4.172330798113026,4.172330798113026,0.0,0.2526433392640126,0.2525667128577145,-7.662640629813033e-05,0.8482125973602144,0.8538313521735039,0.0056187548132895,0.2269601735197748,0.2237759010568092,-0.0031842724629655,0.3182195763533157,0.3142969218699524,-0.0039226544833633,0.0025012048810462,R67_reused_same_algorithm
Kuala Lumpur,Malaysia,Asia,0,0.005,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.7,0.675,0.725,0.2030983884482723,0.0,1.0000000000000004,0.0,False,11.545103549957275,255,154896,0.0016462658816237,0.005000098041138,255,0.005,6664,142503,5474,0,0.0,1.0022513762879006,1.0001001957045526,833,229500,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,7.0,6.0,0.1520814133610463,0.1519833722229847,-9.80411380615276e-05,0.1787816085776476,0.1786203746002741,-0.0001612339773734,0.7482331443312821,0.7507591433101336,0.0025259989788515,0.3704888076747373,0.3706500416521108,0.0001612339773734,4.024941665522854,4.024941665522854,0.0,0.2378053201091012,0.2378969182089571,9.159809985598288e-05,0.8430120901873703,0.8479599451824392,0.0049478549950688,0.2281700021435392,0.2253834012120739,-0.0027866009314652,0.3380653584582107,0.3345090320946275,-0.0035563263635832,0.0020108651977719,R67_reused_same_algorithm
Seattle,United States,North America,0,0.005,17570,26501,0.4417716876708675,0.65,0.2082283123291324,0.65,0.625,0.675,0.2082283123291325,0.0,1.0000000000000009,0.0,False,4.414321184158325,133,56892,0.002337762778598,0.0050186785404324,133,0.005,3015,51735,2009,0,0.0,1.002448519023812,1.0003137130121105,351,119700,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,1.0,0.0,0.0847137843854948,0.084902456511075,0.0001886721255801,0.1124075128059191,0.1124644280022766,5.691519635743492e-05,0.8442231075697211,0.8434262948207172,-0.0007968127490038,0.5083665338645418,0.5083665338645418,0.0,4.527225387721218,4.527225387721218,0.0,0.2305377996854644,0.2305537712078103,1.5971522345975542e-05,0.7447502428703033,0.7537302236097803,0.0089799807394769,0.2279789291191571,0.2257784890311395,-0.0022004400880175,0.4285857171434287,0.4234846969393879,-0.0051010202040407,0.0024748344432109,R67_reused_same_algorithm
Sydney,Australia,Oceania,0,0.005,22215,31013,0.487296324811841,0.7,0.2127036751881589,0.725,0.675,0.75,0.237703675188159,-0.025,1.1175344054487302,-0.1175344054487299,False,5.672560214996338,155,74215,0.002088526578185,0.0049979041047302,155,0.005,3275,68312,2473,0,0.0,1.00312570316983,1.00015002648688,445,139500,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,5.0,4.0,0.1272692096862606,0.1269467642601489,-0.0003224454261116,0.1563358091379698,0.1560207067296871,-0.0003151024082826,0.8096331307674994,0.8089128966914247,-0.0007202340760746,0.3960837272113436,0.3962637857303623,0.0001800585190186,4.104278850804501,4.104278850804501,0.0,0.2349359283392442,0.2350173908470829,8.146250783863662e-05,0.8449552690367373,0.8497400314847269,0.0047847624479895,0.2231038763100419,0.2211712207155539,-0.0019326555944879,0.3254874848765771,0.3217950128058074,-0.0036924720707697,0.001681096003388,R67_reused_same_algorithm
Nairobi,Kenya,Africa,0,0.005,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.775,0.75,0.8,0.2316907863000482,0.0499999999999999,0.8225004067163861,0.1774995932836138,False,5.29858660697937,141,69482,0.0020293025531792,0.0050076357566502,141,0.005,2708,64270,2363,0,0.0,1.0045317907640658,1.000523003242901,440,126900,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,7.0,6.0,0.3139183861917107,0.3141669922221827,0.0002486060304719,0.305095818815331,0.3048344947735191,-0.0002613240418118,0.5764372822299652,0.5752613240418119,-0.0011759581881533,0.2263937282229965,0.2266550522648083,0.0002613240418118,3.68114500834606,3.68114500834606,0.0,0.279858373573438,0.2799145581510248,5.618457758677087e-05,0.8159946707466148,0.8213943347943325,0.0053996640477177,0.2315677761698022,0.2291172214182344,-0.0024505547515678,0.3629715388326097,0.3589001447178003,-0.0040713941148094,0.0019439287392188,R67_reused_same_algorithm
Taipei,Taiwan,Asia,0,0.005,16388,24900,0.431684610183596,0.6,0.1683153898164039,0.6,0.6,0.6,0.1683153898164039,0.0,1.0000000000000004,0.0,False,5.442280292510986,124,75070,0.0016517916611162,0.0049799196787148,124,0.005,4070,67767,3109,0,0.0,1.0027661545818838,1.000841038251289,390,111600,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,2.0,1.0,0.0960240963855421,0.0967068273092369,0.0006827309236947,0.1224676592628752,0.1227117402977788,0.0002440810349035,0.8470222113741762,0.8437881376617037,-0.0032340737124725,0.5194654625335612,0.5195264827922871,6.102025872589678e-05,4.633012048192772,4.633012048192772,0.0,0.243808406696349,0.2437393303825419,-6.907631380712043e-05,0.8147866696374747,0.8207105740031049,0.0059239043656301,0.2434423813734158,0.2400963922262096,-0.0033459891472061,0.3550042474991765,0.3511554931433228,-0.0038487543558537,0.0024685047913944,R67_reused_same_algorithm
Chicago,United States,North America,0,0.005,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.6,0.575,0.625,0.2040052968599778,0.0,1.0000000000000002,0.0,False,4.864916086196899,109,71651,0.0015212627876791,0.0049931287219422,109,0.005,4552,64758,2232,0,0.0,1.0025903649515684,1.0000741531104973,296,98100,pass,True,reused R67 0.005 replicate 0 for full-71 low-intensity geometry-null coverage,1.0,1.0,0.0,0.0464956481905634,0.0464498396701786,-4.580852038479216e-05,0.0729260935143288,0.0726998491704374,-0.0002262443438914,0.9196078431372549,0.9199095022624434,0.0003016591251885,0.6463800904977376,0.6463800904977376,0.0,5.05057260650481,5.05057260650481,0.0,0.2129604935037126,0.2129183258938501,-4.216760986244794e-05,0.5928620846468587,0.6071383100884302,0.0142762254415714,0.3200609501696083,0.3152175884775156,-0.0048433616920927,0.5410053149999093,0.5336767827017613,-0.007328532298148,0.0038602616316109,R67_reused_same_algorithm
