city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,runtime_seconds_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,remaining_fraction_after_spatial,geometry_vs_spatial_residual_change,bridge_edge_share,articulation_point_share,largest_biconnected_node_fraction,dual_degree_mean,angular_entropy,straight_angle_share_10deg,cycle_density,dead_end_share,kappa,geometry_absorption,geometry_absorption_fraction_of_road_gap
Accra,Ghana,Africa,0.005,1,1,0,19183,25655,0.5030786728370853,0.725,0.2219213271629146,0.725,0.2219213271629146,0.0,1.0000000000000004,0.0,0.0049892808419411,0.0019348792212111,0.0,0,0,0.0023839412136563,4.984123468399048,0.625,0.1219213271629147,0.0999999999999999,0.4506101386397577,-0.0999999999999999,0.1756772558955369,0.2062242610644842,0.7552520460824689,3.975521340869226,0.7914523661544159,0.2436269511334222,0.3374341865193139,0.2051816712714382,2.9877606704346134,0.0999999999999999,0.45061013863975735
Addis Ababa,Ethiopia,Africa,0.005,1,1,0,51078,72263,0.482274189457948,0.7,0.2177258105420519,0.7,0.2177258105420519,0.0,1.0000000000000004,0.0,0.0049956409227405,0.0018271819893507,0.0,0,0,0.0020646937775524,15.571398973464966,0.6,0.117725810542052,0.0999999999999999,0.4592932723549826,-0.0999999999999999,0.1136127755559553,0.1457183131680958,0.8323740162105016,4.147018529537938,0.7961537326055843,0.2354142473871781,0.4147773992717021,0.1451309761541172,3.073509264768969,0.0999999999999999,0.4592932723549822
Algiers,Algeria,Africa,0.005,1,1,0,21703,28885,0.5065855241235377,0.75,0.2434144758764622,0.75,0.2434144758764622,0.0,1.0000000000000002,0.0,0.0049852864808724,0.0018457042515284,0.0,0,0,0.0014393660352603,6.3259899616241455,0.65,0.1434144758764622,0.0999999999999999,0.4108219104058216,-0.0999999999999999,0.1912065085684611,0.2125512601944431,0.7018845320923375,3.9480006924009,0.9029215361880424,0.1852891141549308,0.3309680689305626,0.2046260885591853,2.97400034620045,0.0999999999999999,0.4108219104058213
Amsterdam,Netherlands,Europe,0.005,1,1,0,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.208319142897687,0.0249999999999999,0.8928506264444721,0.1071493735555281,0.0049867728889834,0.0018701180226922,0.0,0,0,0.0018403809174582,7.510496139526367,0.6,0.1333191428976869,0.0999999999999999,0.4285974942221141,-0.075,0.1399641195609207,0.1728804792896857,0.7542347312615836,4.285583969349591,0.830019876068434,0.229757343550447,0.4175251066764364,0.1549933192534804,3.142791984674796,0.075,0.3214481206665856
Athens,Greece,Europe,0.005,1,1,0,54827,88593,0.4135569642707098,0.625,0.2114430357292901,0.625,0.2114430357292901,0.0,1.0000000000000004,0.0,0.0050003950650728,0.0017978750172482,0.0,0,0,0.0032186049802824,19.514379501342773,0.525,0.1114430357292902,0.0999999999999999,0.4729406180491547,-0.0999999999999999,0.0421252243405235,0.0632170281065898,0.929943276123078,4.836093145056608,0.7253706256482639,0.2760687511086629,0.6158826855381473,0.0637277253907746,3.418046572528304,0.0999999999999999,0.4729406180491544
Auckland,New Zealand,Oceania,0.005,1,1,0,12533,16775,0.5044505924099357,0.725,0.2205494075900642,0.725,0.2205494075900642,0.0,1.0000000000000002,0.0,0.0050074515648286,0.0025758969641214,0.0,0,0,0.0018300787319965,2.699667692184448,0.65,0.1455494075900643,0.0749999999999999,0.3400598569704738,-0.0749999999999999,0.1795529061102831,0.2025053857815367,0.7164286284209687,3.964709388971684,0.8836159516175464,0.2099897756660853,0.3385462379318599,0.1942870821032474,2.9823546944858417,0.0749999999999999,0.34005985697047353
Bangkok,Thailand,Asia,0.005,1,1,0,63366,71694,0.5689051824695883,0.85,0.2810948175304116,0.9,0.3310948175304117,-0.05,1.177875922577586,-0.1778759225775856,0.0049934443607554,0.0016515048068938,0.0,0,1,0.0030979728994446,16.837603330612183,0.725,0.1560948175304116,0.125,0.4446898064439636,-0.175,0.4954528970346193,0.3939336552725436,0.3866584603730707,3.515524311657879,0.7453176410393608,0.2706771093706604,0.1314427295395006,0.3948647539690054,2.75776215582894,0.175,0.6225657290215489
Barcelona,Spain,Europe,0.005,1,1,0,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.625,0.186185803249235,0.0,1.0000000000000009,0.0,0.0049965301873698,0.0018346519894507,0.0,0,0,0.0017971752071311,5.8855977058410645,0.55,0.111185803249235,0.0749999999999999,0.4028234091489903,-0.0749999999999999,0.0557251908396946,0.079415229731177,0.9031808932205204,4.557737682165163,0.8391565106642427,0.2324862585075445,0.5433758166434615,0.0738459890757202,3.278868841082581,0.0749999999999999,0.40282340914899
Bengaluru,India,Asia,0.005,1,1,0,101357,136603,0.487624045120297,0.7,0.2123759548797029,0.675,0.187375954879703,0.0249999999999999,0.8822842255651742,0.1177157744348261,0.0049998901927483,0.0016242916019605,0.0,0,0,0.0030069305706902,34.29253673553467,0.575,0.0873759548797029,0.125,0.5885788721741326,-0.1000000000000001,0.1890661259269562,0.216225815681206,0.7332793985615201,4.10152046441147,0.6949117348256765,0.2763939458842007,0.3477510186765591,0.2230137040362284,3.0507602322057346,0.1000000000000001,0.47086309773930657
Bogota,Colombia,Latin America,0.005,1,1,0,40772,60476,0.4493951193413192,0.65,0.2006048806586807,0.65,0.2006048806586808,0.0,1.0000000000000004,0.0,0.0049937165156425,0.0018354757346461,0.0,0,0,0.004081758596333,12.67064332962036,0.55,0.1006048806586808,0.0999999999999999,0.4984923580705149,-0.0999999999999999,0.0957239235399166,0.1256990091239085,0.8484744432453645,4.450426615516899,0.7038503419575839,0.2828597330796897,0.4832973609339743,0.1272932404591386,3.225213307758449,0.0999999999999999,0.4984923580705145
