swap_fraction,n_replicates,metric,metric_label,mean_abs_delta,ci95_low_abs_delta,ci95_high_abs_delta,mean_signed_delta,ci95_low_signed_delta,ci95_high_signed_delta
0.005,21,delta_connected_components,Connected components,3.8095238095238093,1.6555651799819655,5.963482439065653,3.8095238095238093,1.6555651799819655,5.963482439065653
0.005,21,delta_bridge_edge_share,Bridge-edge share,0.0002121765590881987,0.00013585683208911908,0.00028849628608727834,3.231364182379446e-05,-8.714917706294486e-05,0.00015177646071053377
0.005,21,delta_articulation_point_share,Articulation-point share,0.0003898759316701164,0.00021798966369413142,0.0005617621996461015,9.855538757966062e-06,-0.00023247278153131233,0.0002521838590472444
0.005,21,delta_largest_biconnected_node_fraction,Largest biconnected fraction,0.0023073398917634793,0.0007405128592804957,0.003874166924246463,-0.0016885132837039846,-0.003400211534033585,2.3184966625616017e-05
0.005,21,delta_cyclomatic_density,Cyclomatic density,0.00013991740273154482,7.719024873723274e-05,0.0002026445567258569,0.00013991740273154482,7.719024873723274e-05,0.0002026445567258569
0.005,63,delta_dual_endpoint_degree_mean,Dual endpoint degree mean,0.0,0.0,0.0,0.0,0.0,0.0
0.005,63,delta_dual_endpoint_degree_cv,Dual endpoint degree CV,9.066403577548098e-05,7.091073377875954e-05,0.00011041733777220242,3.9791814922871865e-05,1.1482736369547755e-05,6.810089347619597e-05
0.005,63,delta_angular_entropy,Angular entropy,0.00690043124753835,0.006178893645481401,0.007621968849595299,0.00690043124753835,0.006178893645481401,0.007621968849595299
0.005,63,delta_straight_angle_share_10deg,Straight-angle share,0.0029448128115292403,0.0027373608479430954,0.003152264775115385,-0.0029448128115292403,-0.003152264775115385,-0.0027373608479430954
0.005,63,delta_right_angle_share_10deg,Right-angle share,0.004518795882952006,0.0041464606353341545,0.004891131130569857,-0.004518795882952006,-0.004891131130569857,-0.0041464606353341545
0.01,21,delta_connected_components,Connected components,7.095238095238095,4.0201915734581215,10.17028461701807,7.095238095238095,4.0201915734581215,10.17028461701807
0.01,21,delta_bridge_edge_share,Bridge-edge share,0.000430684868914935,0.00024853391629467306,0.0006128358215351969,-0.00018074133014816507,-0.00043080737074004745,6.932471044371729e-05
0.01,21,delta_articulation_point_share,Articulation-point share,0.00042963103599320726,0.00026853190284696957,0.0005907301691394449,-9.441567273024031e-05,-0.0003387419662083315,0.00014991062074785086
0.01,21,delta_largest_biconnected_node_fraction,Largest biconnected fraction,0.0024486814441802146,0.0008842666967135543,0.0040130961916468744,-0.0007664603949569289,-0.0026336168987926762,0.0011006961088788183
0.01,21,delta_cyclomatic_density,Cyclomatic density,0.00028942832171999363,0.00019425399313271173,0.00038460265030727553,0.00028942832171999363,0.00019425399313271173,0.00038460265030727553
0.01,63,delta_dual_endpoint_degree_mean,Dual endpoint degree mean,0.0,0.0,0.0,0.0,0.0,0.0
0.01,63,delta_dual_endpoint_degree_cv,Dual endpoint degree CV,0.0001456897893248941,0.00010719726981267823,0.00018418230883710999,0.00011043604645118884,6.52569917506228e-05,0.0001556151011517549
0.01,63,delta_angular_entropy,Angular entropy,0.013261287470693214,0.011875576403914597,0.01464699853747183,0.013261287470693214,0.011875576403914597,0.01464699853747183
0.01,63,delta_straight_angle_share_10deg,Straight-angle share,0.005788414171298616,0.00542664244794717,0.006150185894650062,-0.005788414171298616,-0.006150185894650062,-0.00542664244794717
0.01,63,delta_right_angle_share_10deg,Right-angle share,0.00870286329716257,0.007974983240838781,0.00943074335348636,-0.00870286329716257,-0.00943074335348636,-0.007974983240838781
0.02,12,delta_connected_components,Connected components,9.333333333333334,4.734615901244032,13.932050765422636,9.333333333333334,4.734615901244032,13.932050765422636
0.02,12,delta_bridge_edge_share,Bridge-edge share,0.0005163974748241896,0.00018238358243886503,0.000850411367209514,-9.22107262690884e-06,-0.0004616204232588474,0.0004431782780050297
0.02,12,delta_articulation_point_share,Articulation-point share,0.0006263901515752749,0.0003953691072691208,0.000857411195881429,7.0531784351583065e-06,-0.0004292739272327993,0.00044338028410311587
0.02,12,delta_largest_biconnected_node_fraction,Largest biconnected fraction,0.002776838853425809,0.0012481671508967685,0.004305510555954849,-0.0025034786369679085,-0.004188985971776635,-0.000817971302159182
0.02,12,delta_cyclomatic_density,Cyclomatic density,0.0005509251992568278,0.00033742447113189176,0.0007644259273817638,0.0005509251992568278,0.00033742447113189176,0.0007644259273817638
0.02,36,delta_dual_endpoint_degree_mean,Dual endpoint degree mean,0.0,0.0,0.0,0.0,0.0,0.0
0.02,36,delta_dual_endpoint_degree_cv,Dual endpoint degree CV,0.0001912716435980619,0.0001281830761677006,0.0002543602110284232,0.00012231862105003847,4.2609729161886006e-05,0.00020202751293819091
0.02,36,delta_angular_entropy,Angular entropy,0.024670085136440853,0.021166610813810355,0.02817355945907135,0.024670085136440853,0.021166610813810355,0.02817355945907135
0.02,36,delta_straight_angle_share_10deg,Straight-angle share,0.011150423461550615,0.010288204174730736,0.012012642748370495,-0.011150423461550615,-0.012012642748370495,-0.010288204174730736
0.02,36,delta_right_angle_share_10deg,Right-angle share,0.01663283481316351,0.014751413379245905,0.018514256247081116,-0.01663283481316351,-0.018514256247081116,-0.014751413379245905
