city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,runtime_seconds_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,remaining_fraction_after_spatial,geometry_vs_spatial_residual_change
Accra,Ghana,Africa,0.01,3,3,0,19183,25655,0.5030786728370853,0.725,0.2219213271629146,0.7333333333333334,0.23025466049624796,-0.008333333333333333,1.037550844886647,-0.0375508448866465,0.0100175404404599,0.0018309818671230999,0.0,0,0,0.0041900139109926,9.454146226247152,0.625,0.1219213271629147,0.0999999999999999,0.4506101386397577,-0.10833333333333323
Accra,Ghana,Africa,0.02,3,3,0,19183,25655,0.5030786728370853,0.725,0.2219213271629146,0.725,0.2219213271629146,0.0,1.0000000000000004,0.0,0.0199961021243422,0.0017479127377031999,0.0,0,0,0.008411347465159766,18.73185682296753,0.625,0.1219213271629147,0.0999999999999999,0.4506101386397577,-0.0999999999999999
Addis Ababa,Ethiopia,Africa,0.01,3,3,0,51078,72263,0.482274189457948,0.7,0.2177258105420519,0.7166666666666667,0.2343924772087186,-0.016666666666666666,1.0765488787258308,-0.07654887872583047,0.0100051201859872,0.0018842008041281332,0.0,0,0,0.003963139425422466,27.548294464747112,0.6,0.117725810542052,0.0999999999999999,0.4592932723549826,-0.11666666666666656
Addis Ababa,Ethiopia,Africa,0.02,3,3,0,51078,72263,0.482274189457948,0.7,0.2177258105420519,0.7083333333333334,0.22605914387538525,-0.008333333333333333,1.0382744393629155,-0.03827443936291523,0.0199964020314683,0.0018112334669586668,0.0,0,0,0.007444164434565633,52.80828237533569,0.6,0.117725810542052,0.0999999999999999,0.4592932723549826,-0.10833333333333323
Algiers,Algeria,Africa,0.01,3,3,0,21703,28885,0.5065855241235377,0.75,0.2434144758764622,0.75,0.24341447587646217,0.0,1.0000000000000002,0.0,0.0100051930067509,0.001977316483249067,0.0,0,0,0.002781363635954067,9.781117916107178,0.65,0.1434144758764622,0.0999999999999999,0.4108219104058216,-0.0999999999999999
Algiers,Algeria,Africa,0.02,3,3,0,21703,28885,0.5065855241235377,0.75,0.2434144758764622,0.75,0.24341447587646217,0.0,1.0000000000000002,0.0,0.0200103860135018,0.0019397243678117334,0.0,0,0,0.004898827237823234,18.644726355870564,0.65,0.1434144758764622,0.0999999999999999,0.4108219104058216,-0.0999999999999999
Amsterdam,Netherlands,Europe,0.01,3,3,0,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.6666666666666666,0.19998580956435366,0.033333333333333236,0.8571341685926291,0.142865831407371,0.010003952929729,0.0019409222841770331,0.0,0,0,0.0036741883686447333,11.390010277430216,0.6,0.1333191428976869,0.0999999999999999,0.4285974942221141,-0.06666666666666665
Amsterdam,Netherlands,Europe,0.02,3,3,0,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.6916666666666668,0.22498580956435363,0.0083333333333333,0.9642835421481575,0.0357164578518427,0.0200079058594581,0.0019398298171030665,0.0,0,0,0.007421237635524834,20.976747751235962,0.6,0.1333191428976869,0.0999999999999999,0.4285974942221141,-0.09166666666666659
Athens,Greece,Europe,0.01,3,3,0,54827,88593,0.4135569642707098,0.625,0.2114430357292901,0.625,0.2114430357292901,0.0,1.0000000000000004,0.0,0.0100007901301457,0.0016045573231924,0.0,0,0,0.0058417557395754995,40.18345093727112,0.525,0.1114430357292902,0.0999999999999999,0.4729406180491547,-0.0999999999999999
Athens,Greece,Europe,0.02,3,3,0,54827,88593,0.4135569642707098,0.625,0.2114430357292901,0.625,0.2114430357292901,0.0,1.0000000000000004,0.0,0.0200015802602914,0.0015822388397505334,0.0,0,0,0.0109235641513489,73.1468693415324,0.525,0.1114430357292902,0.0999999999999999,0.4729406180491547,-0.0999999999999999
Auckland,New Zealand,Oceania,0.01,3,3,0,12533,16775,0.5044505924099357,0.725,0.2205494075900642,0.7666666666666666,0.26221607425673094,-0.041666666666666664,1.188922142761375,-0.18892214276137456,0.0100149031296572,0.0025434443208301,0.0,0,0,0.0036313181090399,4.682767788569133,0.65,0.1455494075900643,0.0749999999999999,0.3400598569704738,-0.11666666666666656
Auckland,New Zealand,Oceania,0.02,3,3,0,12533,16775,0.5044505924099357,0.725,0.2205494075900642,0.75,0.24554940759006424,-0.025000000000000005,1.1133532856568251,-0.11335328565682473,0.0200298062593144,0.0023414455225794334,0.0,0,0,0.0055303363424401,9.368987878163656,0.65,0.1455494075900643,0.0749999999999999,0.3400598569704738,-0.09999999999999991
Bangkok,Thailand,Asia,0.01,3,3,0,63366,71694,0.5689051824695883,0.85,0.2810948175304116,0.875,0.3060948175304117,-0.025000000000000005,1.088937961288793,-0.08893796128879279,0.0100008368901163,0.0016872307505741,0.0,0,1,0.0052243895771115,30.28452142079671,0.725,0.1560948175304116,0.125,0.4446898064439636,-0.15
Bangkok,Thailand,Asia,0.02,3,3,0,63366,71694,0.5689051824695883,0.85,0.2810948175304116,0.875,0.3060948175304117,-0.025000000000000005,1.0889379612887933,-0.08893796128879279,0.0200016737802326,0.0016987419985301999,0.0,0,2,0.0094394477282414,55.88928167025248,0.725,0.1560948175304116,0.125,0.4446898064439636,-0.15
Barcelona,Spain,Europe,0.01,3,3,0,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.625,0.18618580324923503,0.0,1.0000000000000009,0.0,0.0099930603747397,0.0019512717916256,0.0,0,0,0.0037811225703016003,9.87026079495748,0.55,0.111185803249235,0.0749999999999999,0.4028234091489903,-0.0749999999999999
Barcelona,Spain,Europe,0.02,3,3,0,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.6333333333333333,0.19451913658256834,-0.008333333333333333,1.044758156572111,-0.0447581565721101,0.0199861207494795,0.0019770192748279664,0.0,0,0,0.007388068015370734,18.287718375523884,0.55,0.111185803249235,0.0749999999999999,0.4028234091489903,-0.08333333333333323
Bengaluru,India,Asia,0.01,3,3,0,101357,136603,0.487624045120297,0.7,0.2123759548797029,0.6999999999999998,0.21237595487970296,0.0,1.0000000000000002,0.0,0.009999780385496659,0.0016427288698283242,0.0,0,0,0.008527954856595769,59.86402495702108,0.575,0.0873759548797029,0.125,0.5885788721741326,-0.125
Bengaluru,India,Asia,0.02,3,3,0,101357,136603,0.487624045120297,0.7,0.2123759548797029,0.6999999999999998,0.21237595487970296,0.0,1.0000000000000002,0.0,0.019999560770993317,0.0016164351672160553,0.0,0,0,0.015856095113066918,115.19565216700236,0.575,0.0873759548797029,0.125,0.5885788721741326,-0.125
Bogota,Colombia,Latin America,0.01,3,3,0,40772,60476,0.4493951193413192,0.65,0.2006048806586807,0.6583333333333333,0.20893821399201415,-0.008333333333333333,1.04154102983921,-0.0415410298392096,0.0100039685164362,0.0018453952924004666,0.0,0,0,0.007165549962695767,22.82800841331482,0.55,0.1006048806586808,0.0999999999999999,0.4984923580705149,-0.10833333333333323
Bogota,Colombia,Latin America,0.02,3,3,0,40772,60476,0.4493951193413192,0.65,0.2006048806586807,0.65,0.2006048806586808,0.0,1.0000000000000004,0.0,0.0200079370328725,0.0018605505107704334,0.0,0,0,0.012066282914987634,46.52225502332052,0.55,0.1006048806586808,0.0999999999999999,0.4984923580705149,-0.0999999999999999
Boston,United States,North America,0.01,3,3,0,24819,35843,0.4629981269779758,0.675,0.2120018730220242,0.6750000000000002,0.2120018730220242,0.0,1.0000000000000002,0.0,0.0099880032363362,0.0017048551397804666,0.0,0,0,0.003850715965035467,14.3347376982371,0.575,0.1120018730220241,0.1,0.4716939457870328,-0.1
