macro_region,swap_fraction,n_cities_total,n_cities_pass,road_minus_geometry_mean,road_minus_geometry_ci95_low,road_minus_geometry_ci95_high,remaining_fraction_after_geometry_mean,road_minus_spatial_mean
Africa,0.01,12,12,0.002083333333333322,-0.007373473044545345,0.01154013971121199,0.003120007233704871,0.11249999999999995
Asia,0.01,19,19,0.0004385964912280701,-0.0071047939470563854,0.007981986929512526,0.0013057057291470196,0.10131578947368415
Europe,0.01,11,11,-0.001515151515151512,-0.01226364960571924,0.009233346575416218,-0.012126723635972352,0.08863636363636358
Latin America,0.01,10,10,-0.0008333333333333328,-0.008704275360502747,0.0070376086938360805,-0.005145155292729547,0.0974999999999999
Middle East,0.01,5,5,6.591949208711867e-18,-0.0089461351059177,0.008946135105917715,-0.002663527070235912,0.08999999999999996
North America,0.01,10,10,-0.005833333333333334,-0.010733333333333334,-0.0009333333333333338,-0.030946405657133212,0.08499999999999992
Oceania,0.01,4,4,-0.016666666666666666,-0.03430868301233251,0.0009753496789991767,-0.07679342233821575,0.0812499999999999
Africa,0.02,12,12,0.006249999999999986,-0.004412256427286493,0.016912256427286464,0.0201219547275976,0.11249999999999995
Asia,0.02,19,19,-0.002192982456140348,-0.00803044380459476,0.0036444788923140634,-0.011875319873712879,0.10131578947368415
Europe,0.02,11,11,-0.0022727272727272765,-0.010540013750868812,0.0059945592054142585,-0.012237465232035798,0.08863636363636358
Latin America,0.02,10,10,0.0024999999999999935,-0.005593748540206743,0.01059374854020673,0.010635234902538438,0.0974999999999999
Middle East,0.02,5,5,-0.00499999999999998,-0.021816195896945403,0.011816195896945443,-0.028996459785721553,0.08999999999999996
North America,0.02,10,10,-0.01,-0.01634925872994266,-0.0036507412700573392,-0.05239696019939203,0.08499999999999992
Oceania,0.02,4,4,-0.0125,-0.020666666666666667,-0.004333333333333333,-0.05711018289519342,0.0812499999999999
