city,country,macro_region,n_nodes,n_edges,mean_degree,kappa,kappa_minus_1,pc_cebh,pc_nb,pc_road_rank,road_gap_cebh,road_minus_nb,nb_minus_cebh,abs_error_cebh,abs_error_nb,nb_improvement_over_cebh,rho_nb,nb_iterations,nb_converged,runtime_seconds,status,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share,road_minus_spatial,spatial_null_gap,spatial_fraction_of_road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,null_mobility_index_mean,geometry_vs_spatial_residual_change,dead_end_share,degree4plus_share,cycle_density,orientation_entropy,orientation_dominance,edge_length_cv,bridge_tunnel_length_share,nb_fraction_of_road_gap,nb_improvement_fraction
Panama City,Panama,Latin America,9245,12302,2.661330448891293,3.025768167777597,2.025768167777597,0.4936399020906064,0.3713437304833805,0.725,0.2313600979093936,0.3536562695166195,-0.1222961716072258,0.2313600979093936,0.3536562695166195,-0.1222961716072258,2.6929228041585453,387,True,1.220128059387207,pass,0.0026000176276967,0.0048095660553586,0.9976980911185832,0.5543892550728384,0.0087155562912776,0.0167065002983068,0.9985726159517226,0.0999999999999999,0.1313600979093936,0.5677733502725155,0.7291666666666667,0.2355267645760602,-0.00416666666666665,1.018009443738645,-0.0180094437386452,0.014997561372134552,0.0019447602781804,0.0,0.0072001103089056,-0.10416666666666655,0.2299621416982152,0.1378042184964845,0.3307733910221741,0.9909165306871236,0.0739717119167615,1.5753747952718091,0.075130033755787,1.5285966452828876,-0.5285966452828873
Hong Kong,China,Asia,9035,13245,2.9319313779745437,3.149716874292185,2.149716874292185,0.4651775366136339,0.3874249397681511,0.675,0.2098224633863661,0.2875750602318489,-0.0777525968454828,0.2098224633863661,0.2875750602318489,-0.0777525968454828,2.5811451389743665,237,True,0.8412444591522217,pass,0.0010666411103006,0.0026147390683954,0.9361896919004508,0.6591366810734809,0.0034907337034228,0.0087853764691222,0.9484800658589928,0.075,0.134822463386366,0.6425549543668477,0.6458333333333333,0.18065579671969934,0.0291666666666666,0.8609935933648853,0.13900640663511474,0.0149867874669686,0.0014641766728797,1.258336479174546e-05,0.0046417591468697495,-0.045833333333333295,0.1014941892639734,0.1744327614831212,0.466076369673492,0.9973562456562156,0.0672706681766704,1.7863618639715062,0.2309862912522279,1.3705637403670625,-0.3705637403670623
Auckland,New Zealand,Oceania,12533,16775,2.67693289715152,2.9823546944858417,1.9823546944858417,0.5044505924099357,0.4032652317989951,0.725,0.2205494075900642,0.3217347682010048,-0.1011853606109405,0.2205494075900642,0.3217347682010048,-0.1011853606109405,2.479757542049753,307,True,1.3976752758026123,pass,0.0035170668179051,0.0072811406849087,0.9965903385702902,0.5291426550318518,0.0103747810219699,0.022498703810032,0.9964765349914808,0.0749999999999999,0.1455494075900643,0.6599401430295264,0.7583333333333333,0.2538827409233975,-0.0333333333333333,1.1511377142091002,-0.1511377142090996,0.0150223546944858,0.00244244492170475,0.0,0.0045808272257400005,-0.1083333333333332,0.1942870821032474,0.0942312295539775,0.3385462379318599,0.995230179768564,0.0823845007451564,1.2099409034171953,0.0422061890481462,1.4587877234248305,-0.4587877234248301
Lagos,Nigeria,Africa,13226,17952,2.7146529562982007,3.01882798573975,2.01882798573975,0.4953369019369792,0.3719276566324679,0.75,0.2546630980630208,0.378072343367532,-0.1234092453045112,0.2546630980630208,0.378072343367532,-0.1234092453045112,2.6886949173241548,237,True,1.226254940032959,pass,0.0024263755696627,0.0044086767025067,0.999931457676552,0.5309230356726591,0.0080861567141892,0.0150955403044767,0.9999252626706412,0.125,0.1296630980630208,0.5091554255376781,0.7291666666666667,0.2338297647296873,0.0208333333333333,0.9181925709229464,0.08180742907705366,0.015012254901960752,0.00165134664090195,0.0,0.0062815078114275,-0.1041666666666666,0.1945410554967488,0.1145471041887191,0.3574020867987297,0.9863036048405808,0.0948083778966131,1.3311510024921684,0.0603668760612105,1.4845980679696729,-0.4845980679696728
Toronto,Canada,North America,12443,18430,2.962308125050229,3.220618556701031,2.220618556701031,0.4503249767873723,0.3770532815225108,0.65,0.1996750232126277,0.2729467184774892,-0.0732716952648615,0.1996750232126277,0.2729467184774892,-0.0732716952648615,2.6521450654456062,470,True,1.679067850112915,pass,0.0020188550666944,0.0042394291367152,0.9924806485709888,0.5771863639341216,0.0066125661004418,0.0147780273059804,0.9929755835562012,0.075,0.1246750232126276,0.6243896768193441,0.6625,0.21217502321262766,-0.01249999999999995,1.0626017205301093,-0.06260172053010929,0.01500271296798695,0.0015653269759126,0.0,0.010231182076418249,-0.08749999999999995,0.1197460419512979,0.238608052720405,0.4812344289962227,0.6828853796550812,0.3412913727618014,0.9699998951586972,0.040975229368053,1.3669547351790552,-0.36695473517905525
San Francisco,United States,North America,11502,18546,3.224830464267084,3.4877062439340016,2.4877062439340016,0.4019767215033488,0.3341022911098181,0.6,0.1980232784966512,0.2658977088901818,-0.0678744303935306,0.1980232784966512,0.2658977088901818,-0.0678744303935306,2.993095308260858,214,True,1.409226417541504,pass,0.0010319318658226,0.0028534374137036,0.9471678960551232,0.6438910294178335,0.0038734036056866,0.0102789925879394,0.9596850669622295,0.0749999999999999,0.1230232784966512,0.6212566493728247,0.6,0.19802327849665113,0.0,1.0,0.0,0.014989755203278301,0.0022372138657529997,0.0,0.0108031645077701,-0.0749999999999999,0.0958094244479221,0.4260998087289167,0.6125021735350373,0.859394165384014,0.2321255257198317,1.105553159660161,0.0478854039124693,1.342759855855424,-0.34275985585542373
Singapore,Singapore,Asia,13478,19430,2.88321709452441,3.142151312403499,2.142151312403499,0.4668204315025708,0.4082911651582906,0.675,0.2081795684974292,0.2667088348417094,-0.0585292663442801,0.2081795684974292,0.2667088348417094,-0.0585292663442801,2.4492325216302677,640,False,1.5978105068206787,pass,0.0010046850145226,0.0029653560163214,0.8846163627702708,0.681213983866727,0.0030212463792404,0.0090434684438655,0.8891424495490898,0.075,0.1331795684974291,0.6397340981090266,0.6750000000000002,0.2081795684974291,0.0,1.0000000000000002,0.0,0.015002573340195498,0.00196886257525855,0.0,0.00526592761618985,-0.075,0.1353316515803531,0.1794034723252708,0.4416827422466241,0.9970638666944008,0.0721049922799794,1.387537728618164,0.1122611368260838,1.281147985687188,-0.2811479856871875
Rio de Janeiro,Brazil,Latin America,14909,20774,2.786773090079817,3.0861653990565125,2.0861653990565125,0.479348377866999,0.3720008582230763,0.7,0.2206516221330009,0.3279991417769236,-0.1073475196439227,0.2206516221330009,0.3279991417769236,-0.1073475196439227,2.6881658412743064,242,True,1.4060583114624023,pass,0.0027646419123381,0.0069399805769402,0.9977906237547848,0.5377720861479085,0.0086342406967915,0.0209562267089704,0.9980978909813528,0.0999999999999999,0.1206516221330009,0.5467968962416079,0.7166666666666667,0.2373182887996675,-0.01666666666666665,1.075533850626399,-0.0755338506263988,0.014994704919611,0.0016872028102341,0.0,0.0059896186900878,-0.11666666666666656,0.1734522771480313,0.1515862901603058,0.3934536186196257,0.9925510127240516,0.0729276980841436,1.624346650765552,0.0703036339352892,1.4865022908339074,-0.4865022908339076
Chicago,United States,North America,13260,21830,3.2926093514328807,3.525286303252405,2.525286303252405,0.3959947031400221,0.3514174185227428,0.6,0.2040052968599778,0.2485825814772571,-0.0445772846172792,0.2040052968599778,0.2485825814772571,-0.0445772846172792,2.8456187635880736,640,False,2.066534996032715,pass,0.0006251325408947,0.0016036280942943,0.8379367537952331,0.7064931981208937,0.0022631145725257,0.0060648419086749,0.848572257338724,0.0999999999999999,0.1040052968599778,0.5098166491792786,0.6083333333333333,0.2123386301933111,-0.0083333333333333,1.0408486125683938,-0.0408486125683935,0.0150022904260192,0.0012450959419368999,0.0,0.01101176181095385,-0.1083333333333332,0.0728506787330316,0.4702111613876319,0.6463800904977376,0.5163336369139565,0.4169949610627577,0.8257003475033224,0.0559108850205358,1.2185104274418697,-0.21851042744186935
Montevideo,Uruguay,Latin America,13761,22450,3.2628442700385145,3.457193763919822,2.457193763919822,0.4069683126676818,0.3445524519614426,0.6,0.1930316873323181,0.2554475480385573,-0.0624158607062391,0.1930316873323181,0.2554475480385573,-0.0624158607062391,2.9023157266978488,640,False,1.741835117340088,pass,0.0009266261353519,0.0016921817687162,0.9777414317029862,0.6298548636841719,0.0034759511732817,0.0064821248978698,0.9829233455057742,0.0749999999999999,0.1180316873323182,0.611462754967883,0.6125,0.20553168733231808,-0.01249999999999995,1.0647562075053534,-0.06475620750535295,0.01498886414253895,0.0015519666033399502,0.0,0.0072989049386562,-0.08749999999999986,0.0676549669355424,0.4017876607804665,0.6314948041566747,0.9649580808792284,0.1214253897550111,0.8498823166749098,0.0121259203565454,1.3233451542014745,-0.3233451542014739
