city,country,macro_region,n_nodes,n_edges,rho_nb,pc_nb,road_minus_nb,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share,dead_end_share,cycle_density,degree4plus_share,orientation_entropy
Panama City,Panama,Latin America,9245,12302,2.6929228041585453,0.3713437304833805,0.3536562695166195,0.0026000176276967,0.0048095660553586,0.9976980911185832,0.5543892550728384,0.0087155562912776,0.0167065002983068,0.9985726159517226,0.2299621416982152,0.3307733910221741,0.1378042184964845,0.9909165306871236
Hong Kong,China,Asia,9035,13245,2.5811451389743665,0.3874249397681511,0.2875750602318489,0.0010666411103006,0.0026147390683954,0.9361896919004508,0.6591366810734809,0.0034907337034228,0.0087853764691222,0.9484800658589928,0.1014941892639734,0.466076369673492,0.1744327614831212,0.9973562456562156
Auckland,New Zealand,Oceania,12533,16775,2.479757542049753,0.4032652317989951,0.3217347682010048,0.0035170668179051,0.0072811406849087,0.9965903385702902,0.5291426550318518,0.0103747810219699,0.022498703810032,0.9964765349914808,0.1942870821032474,0.3385462379318599,0.0942312295539775,0.995230179768564
Lagos,Nigeria,Africa,13226,17952,2.6886949173241548,0.3719276566324679,0.378072343367532,0.0024263755696627,0.0044086767025067,0.999931457676552,0.5309230356726591,0.0080861567141892,0.0150955403044767,0.9999252626706412,0.1945410554967488,0.3574020867987297,0.1145471041887191,0.9863036048405808
Toronto,Canada,North America,12443,18430,2.6521450654456062,0.3770532815225108,0.2729467184774892,0.0020188550666944,0.0042394291367152,0.9924806485709888,0.5771863639341216,0.0066125661004418,0.0147780273059804,0.9929755835562012,0.1197460419512979,0.4812344289962227,0.238608052720405,0.6828853796550812
San Francisco,United States,North America,11502,18546,2.993095308260858,0.3341022911098181,0.2658977088901818,0.0010319318658226,0.0028534374137036,0.9471678960551232,0.6438910294178335,0.0038734036056866,0.0102789925879394,0.9596850669622295,0.0958094244479221,0.6125021735350373,0.4260998087289167,0.859394165384014
Singapore,Singapore,Asia,13478,19430,2.4492325216302677,0.4082911651582906,0.2667088348417094,0.0010046850145226,0.0029653560163214,0.8846163627702708,0.681213983866727,0.0030212463792404,0.0090434684438655,0.8891424495490898,0.1353316515803531,0.4416827422466241,0.1794034723252708,0.9970638666944008
Rio de Janeiro,Brazil,Latin America,14909,20774,2.6881658412743064,0.3720008582230763,0.3279991417769236,0.0027646419123381,0.0069399805769402,0.9977906237547848,0.5377720861479085,0.0086342406967915,0.0209562267089704,0.9980978909813528,0.1734522771480313,0.3934536186196257,0.1515862901603058,0.9925510127240516
Chicago,United States,North America,13260,21830,2.8456187635880736,0.3514174185227428,0.2485825814772571,0.0006251325408947,0.0016036280942943,0.8379367537952331,0.7064931981208937,0.0022631145725257,0.0060648419086749,0.848572257338724,0.0728506787330316,0.6463800904977376,0.4702111613876319,0.5163336369139565
Montevideo,Uruguay,Latin America,13761,22450,2.9023157266978488,0.3445524519614426,0.2554475480385573,0.0009266261353519,0.0016921817687162,0.9777414317029862,0.6298548636841719,0.0034759511732817,0.0064821248978698,0.9829233455057742,0.0676549669355424,0.6314948041566747,0.4017876607804665,0.9649580808792284
Dubai,United Arab Emirates,Middle East,15724,22720,2.831324214964117,0.3531916248640121,0.3718083751359878,0.0032779236289499,0.0072381879333996,0.9985201491287028,0.5115614161726478,0.0111374774178588,0.0227131616679513,0.998321566319762,0.0742177562961078,0.4449885525311625,0.0704019333502925,0.970867041371218
