instance,pc,pc_cebh,pc_null,n_null,endpoint_count,null_gap,organization_residual,macro_region,input_hash
Accra,0.725,0.5030786728370853,0.53375,2,0,0.0306713271629146,0.19125,Africa,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c
Addis Ababa,0.7025,0.482274189457948,0.5,2,0,0.017725810542052,0.2025,Africa,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc
Algiers,0.7425,0.5065855241235377,0.5387500000000001,2,0,0.0321644758764623,0.20375,Africa,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc
Amsterdam,0.675,0.466680857102313,0.4925,2,0,0.0258191428976869,0.1825,Europe,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d
Athens,0.6225,0.4135569642707098,0.43,2,0,0.0164430357292901,0.1925,Europe,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975
Auckland,0.75,0.5044505924099357,0.5387500000000001,2,0,0.0342994075900643,0.2112499999999999,Oceania,a1c23153a003d63a2f54cfe32bf607c36bac7aad5406555dfd4b32d8c58a79c2
Bangkok,0.92,0.5689051824695883,0.6375,2,0,0.0685948175304116,0.2825000000000001,Asia,2c97486a7bd38d376db2087296f3bb4b56a0ad081b4a18a93b026104f682cfea
Barcelona,0.6275000000000001,0.438814196750765,0.465,2,0,0.026185803249235,0.1625,Europe,fd3e1e8319c9d2a226f1cc00c8d28949f672603801ea3f8aaa49c6c7af5c657f
Bengaluru,0.685,0.487624045120297,0.51,2,0,0.022375954879703,0.175,Asia,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd
Bogota,0.6525,0.4493951193413192,0.47,2,0,0.0206048806586807,0.1825,Latin America,8d77dcd71f2907217f5a0b1e714062beb4654b44b22e3de05279648077c67dd7
Boston,0.675,0.4629981269779758,0.4862499999999999,2,0,0.0232518730220241,0.18875,North America,ab1c8ef8bea3a1b1d6c8460021acdda0c4c6c3f850f7873e37bc77953dbbad0e
Brisbane,0.71,0.4911197989388439,0.52,2,0,0.0288802010611561,0.1899999999999999,Oceania,6370c1a0ef0082186e72fcb0cd4d0fdfbc158a565f99d0ed55bc1e88b32f1b67
Buenos Aires,0.555,0.3806157377781841,0.40125,2,0,0.0206342622218159,0.15375,Latin America,9d9d15a5d2f4fbba12698a26633ec7b121490021a8df53eda0a4066573a44ab9
Cairo,0.6975,0.4905812814983452,0.50875,2,0,0.0181687185016548,0.1887499999999999,Africa,1dd01752b9f1dbd0c8474162d1793e9ce47b810d0108b2f780896d0a7c7278ca
Casablanca,0.665,0.4598827284198025,0.48,2,0,0.0201172715801974,0.185,Africa,f8c7a1f9e2b886aa40e9fa56bf4a3568975e4cdbaf1739150fb45b89f9b8490c
Chennai,0.7225,0.498448919501551,0.525,2,0,0.026551080498449,0.1975,Asia,7cfca29680ba8cef2af8b744e09858e92d0014be372a6b8771952f4c230b3e17
Chicago,0.6,0.3959947031400221,0.425,2,0,0.0290052968599778,0.175,North America,6e54a03ece4f9e8613bb187ade95bb2ed96d1aa8c0ad94f557dd8312a3ff7df6
Dakar,0.6825,0.4600377595972308,0.48375,2,0,0.0237122404027692,0.1987499999999999,Africa,d135e6c58b836e7913965c30226322d34eaf4bd8c574de7659ea7d8998805576
Dar es Salaam,0.7625000000000001,0.5075988359230076,0.5375000000000001,2,0,0.0299011640769925,0.2249999999999999,Africa,3dbe8788844f68a6baa9d7d70471afabf3c868af462c46dc55b3dd77ad295122
Delhi,0.6975,0.4689645379225219,0.48875,2,0,0.0197854620774781,0.20875,Asia,ef9646d6b32ee8d368c13f641fcff98d043f745b57904bc921c5f3509bfa4b32
Dhaka,0.7175,0.501127631139325,0.52625,2,0,0.0251223688606749,0.19125,Asia,a65144ddcc34f23972b2d202b2d2cd55ea3e782cf425f82e62474c28beb59939
Dubai,0.7000000000000001,0.4908611675236571,0.51875,2,0,0.0278888324763429,0.18125,Middle East,2db898e088c7cb2fb4ac59525af70ddc3a6629bdfcf307f718dffa812066751a
Hanoi,0.705,0.4889668023341342,0.515,2,0,0.0260331976658658,0.1899999999999999,Asia,4a321e4140484f274f5b6fa29d763d163fc4b6049743cfa5b35266e3aa4f820a
Ho Chi Minh City,0.7175,0.5059497146863499,0.5375,2,0,0.0315502853136501,0.18,Asia,8687b876aad2ebf2f3544c09e61dbe0084498b8528b11b33176c5376014c9c5d
Hong Kong,0.655,0.4651775366136339,0.4975,2,0,0.032322463386366,0.1575,Asia,8c450ae99e1d49537e3fe46c4f3b09a708194b8e3a26ee2ab24260144f99ea54
Hyderabad,0.7325,0.4881558622014944,0.5075000000000001,2,0,0.0193441377985056,0.2249999999999999,Asia,e4231c8b15f318853b5383dfc47cc6714ae0597f46f38eb309dd665fd8221603
Istanbul,0.675,0.4613033850047454,0.4812499999999999,2,0,0.0199466149952545,0.1937500000000001,Middle East,eec3a6dbbdcd00ad23b67c1f9091e15b935660f56c8cfe1f00ddc54c0b80a322
Jakarta,0.705,0.512325721577254,0.54,2,0,0.027674278422746,0.1649999999999999,Asia,d59d38ad96562a8ea8ea6eb9efcfc96393a754eea73f17cea49fbc37d4a9e8c2
Johannesburg,0.67,0.454250595097234,0.47875,2,0,0.024499404902766,0.19125,Africa,4f091fc0d64c7e37ebb8bf87212b572e814d05a9e39d7fd528eafc7620690a88
Kampala,0.8225,0.574452139397388,0.63375,2,0,0.0592978606026119,0.1887499999999999,Africa,a3fdf2484e3d4125bab8164f7b70b3bba13444fbc8d8db4d5b040bd21d48250c
Karachi,0.675,0.4466206054300997,0.465,2,0,0.0183793945699003,0.21,Asia,345bd7c3f4e02b299a268bf152f0f49a4cfd3c52f69f9f4d5eff1283f4b71a48
Kuala Lumpur,0.6975,0.4969016115517276,0.52,2,0,0.0230983884482724,0.1775,Asia,49b7553a44a7eb0148643d5a81a8b7ab648c1a4225da6cb8aaab15e1173468b7
Lagos,0.7225,0.4953369019369792,0.53125,2,0,0.0359130980630207,0.19125,Africa,c2a9d25f86f9b3ca4fd33a84ae643503972c6868a893966ba48b9e5af72f2436
Lima,0.645,0.4428345242198864,0.45875,2,0,0.0159154757801135,0.18625,Latin America,b12039ffd98f2fe4818b976b056335d9772a079095451454f90b51260e99343a
Lisbon,0.715,0.4955161486076462,0.5225,2,0,0.0269838513923537,0.1925,Europe,488bc6782067aa70f97242af41f9389b8b68e3725d7fcf1e2633d3e5eae2343f
London,0.775,0.5199847165924646,0.5475000000000001,2,0,0.0275152834075355,0.2274999999999999,Europe,8f49355676baa87af47d44e42bfbf0f77547d73bc9a1e8dfbc595d3458d54992
Los Angeles,0.6025,0.4249303262083952,0.44875,2,0,0.0238196737916047,0.15375,North America,219b208ac41716e10e50a12f340935f4a88b22a4a28fb7b189651f09e882a4de
Manila,0.6575,0.4492979529208324,0.4762499999999999,2,0,0.0269520470791675,0.18125,Asia,7645e8072f89f7935b5e2be2cde714a704cf2c1665b04dda8aaa69a16c1ce922
Melbourne,0.705,0.4686087256486138,0.4912499999999999,2,0,0.0226412743513861,0.21375,Oceania,b1949e34636d16072868fc476e33eed55b5af66885f7558fdf14b8a00254fe6f
Mexico City,0.615,0.4265999557561695,0.4425,2,0,0.0159000442438305,0.1725,Latin America,5ddbbd7846d723b1f438609e14bcf42b2e49075c3d4d3015c000115028bbeb71
Miami,0.6175,0.4188310741874362,0.4425,2,0,0.0236689258125638,0.175,North America,fd21fa456eaea9f49daad4426115d8267bc44b46bbe9b58a5a39830d12f1f831
Milan,0.6575,0.4648772408417771,0.49,2,0,0.0251227591582228,0.1674999999999999,Europe,8a510eeeeababe0918e84b94fdeca1af18464ce1e32ea599801b1d50b4e41370
Montevideo,0.58,0.4069683126676818,0.435,2,0,0.0280316873323182,0.1449999999999999,Latin America,9ee40968652a95a09602706106415494c580fdffdece75f26c0056f87a424058
Montreal,0.625,0.4231662575553621,0.4475,2,0,0.0243337424446379,0.1775,North America,fa016fc802965ee9056d5b0f9428501b44c2fee6cc23f869d0f1455a654ec912
Mumbai,0.7175,0.4825037154272258,0.5137499999999999,2,0,0.0312462845727741,0.2037500000000001,Asia,9ca15f4021afcac446dbb4da5ffb94e7ec8bd8300ccdfc7eaecd6101b5b8879c
Nairobi,0.78,0.5433092136999518,0.58875,2,0,0.0454407863000482,0.19125,Africa,2cbde71d4249347843419c9eefe485c3d86aa4ed6a5930244faa1b08f879ae2e
New York City,0.585,0.3876426827190641,0.41,2,0,0.0223573172809358,0.175,North America,75627dcff916b66ff0d79a50d0661574e261bee71a3917348d72190e1cc209cd
Osaka,0.62,0.4467357272621854,0.4625,2,0,0.0157642727378146,0.1574999999999999,Asia,8716f7da01a6ea100c83066836fea709c34b406534acc56a2f284e9c2ad9c7db
Panama City,0.715,0.4936399020906064,0.53375,2,0,0.0401100979093935,0.18125,Latin America,93bf1c32dfc9bec7d8b42660f7eaf8b0006c7b55199906746005ba302a9e1526
Paris,0.6475,0.453974052043998,0.475,2,0,0.0210259479560019,0.1725,Europe,0fe84770577f910adb2fe64426447e4fa469ba5466935ff09e61d0ff2168942a
Prague,0.7025,0.4768012005095185,0.50875,2,0,0.0319487994904815,0.1937499999999999,Europe,8feb933105574b153905c5850a1837bc2842d9b0f9161c744cc11c708e4a5e38
Quito,0.71,0.4811776588774842,0.5125,2,0,0.0313223411225157,0.1975,Latin America,b2a5f5615b2bac039babb0f6a8ec841b36de81f1eab4f6b184ab6e7f0ea38b26
Rio de Janeiro,0.7075,0.479348377866999,0.51125,2,0,0.0319016221330009,0.19625,Latin America,5cd554861366e52613b78a2de92457492fb272db3e31ad70caafa4d41839b67d
Riyadh,0.6625,0.4665628855078422,0.48375,2,0,0.0171871144921578,0.1787499999999999,Middle East,598172e9ba56032da1b853bbd215b8b8dcc7673f9afa44e34a62853b54d5f3cc
Rome,0.6875,0.4705329710788918,0.4962499999999999,2,0,0.0257170289211081,0.19125,Europe,775d3fdc7167aa3c7e62f09d12d3a1af88893fcdf5757ff1db1f19ca80b81f8a
San Francisco,0.605,0.4019767215033488,0.4337499999999999,2,0,0.0317732784966511,0.17125,North America,9a77f5498f5072c63be911941b5ca244b84d74c1eb942d53b55cdf2a533cdffe
Santiago,0.6425,0.4543405779204741,0.4712499999999999,2,0,0.0169094220795258,0.17125,Latin America,75e7cd4f29692e9a18568e505a10786bc5bfd504bb2e77dcb249a6606cf64b92
Sao Paulo,0.65,0.4525467568643056,0.4725,2,0,0.0199532431356943,0.1775,Latin America,104118adf016eada9c8e57555d6f0b674736c2e3603ac7573fa3cfc42b04dc31
Seattle,0.6525,0.4417716876708675,0.46875,2,0,0.0269783123291325,0.1837499999999999,North America,49de4295ad5a4a67f30bef7ce88f0d68abdbc76127e2c8b428495766a106997c
Seoul,0.6725,0.4516653899369949,0.46875,2,0,0.0170846100630051,0.20375,Asia,28613ed519fdcb353693f7186775e7ab7e21e61a60ec9c5a88d9cd9a2485ea67
Singapore,0.675,0.4668204315025708,0.4975,2,0,0.0306795684974292,0.1775,Asia,6dbd2f1c403e04188df631f9bea5b7e958698cd051a6bee3adaa5b6ead8b3572
Sydney,0.6950000000000001,0.487296324811841,0.51625,2,0,0.028953675188159,0.17875,Oceania,f353556b450891524e6a7f264edcd83c15c72d163c28cddb4faf1861ee441b95
Taipei,0.59,0.431684610183596,0.45625,2,0,0.024565389816404,0.1337499999999999,Asia,310800963b10da8c0b94671f9f037020e1d31ab8be108ba2aabf497426d344eb
Tehran,0.7075,0.5095652255940534,0.54125,2,0,0.0316847744059466,0.16625,Middle East,aade61c16f52640e8fe72184ac08ff6e1230f57f6c2b62218fe0711186df012a
Tel Aviv,0.6725,0.4704556407107436,0.4975,2,0,0.0270443592892564,0.175,Middle East,9f1314703ee8971beeaaeefc0921c057ca266dbb7be2bb3dba804128bde66006
Tokyo,0.635,0.4276266169078313,0.44375,2,0,0.0161233830921686,0.19125,Asia,15cfd4fa93fec7c9f390f2faaa129638816fdfccb3ee81702a7920d7ebae4d36
Toronto,0.66,0.4503249767873723,0.4812499999999999,2,0,0.0309250232126276,0.17875,North America,4200b36ec2997344a60524e4d4862d268a60559a81e548bd471fe33fdad07d94
Tunis,0.7000000000000001,0.4801932298410621,0.5,2,0,0.0198067701589378,0.2,Africa,35e3364d1fcc0403e4638f4679bcc028c574cc7b0022685dce9d8b812e3b82f7
Vancouver,0.61,0.4277066531310511,0.455,2,0,0.0272933468689489,0.1549999999999999,North America,68bd74e36d2e9d7613baac0ed29ae6a4750ab861d07e760be6d7fd4111241454
Vienna,0.6475,0.4456985030858935,0.47375,2,0,0.0280514969141065,0.1737499999999999,Europe,8b68b8dd113f31905448268df59026a70688fb0f7528e92a635f9fc598b0d79f
Warsaw,0.6825,0.4800796812749004,0.5062500000000001,2,0,0.0261703187250996,0.1762499999999999,Europe,afc7445d54d624eecd37e4237c8a75938282f861f476831d8a7728a415c87fae
