domain,instance,system_id,n_nodes,n_edges,mean_degree,pc_cebh,pc_dimension,pc_junction_anchor,pc,pc_low,pc_high,point_endpoint,bootstrap_endpoint_count,p_step,n_orders,n_bootstrap,mean_curve_p0,mean_curve_p1,exact_endpoint_slope,largest_component_bridges,method_version,input_hash,kind,replicate,n_swaps,degree_sequence_exact,realization_hash,seed
road,Accra,Accra,19183,25655,2.6747641140593235,0.5030786728370853,0.747729487429351,0.6330722187859009,0.53,0.525,0.5325,False,0,0.0025,256,1000,5.21294896522963e-05,0.982432361987176,0.2407861127039566,3936,canonical_v2_exact_endpoint,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c,degree,0,51310,True,3b78972d53cbeb8031b87ef9db8ceb7bfc644ca1ec1640940a926bb4b7675977,20282880
road,Accra,Accra,19183,25655,2.6747641140593235,0.5030786728370853,0.747729487429351,0.6330722187859009,0.53,0.525,0.535,False,0,0.0025,256,1000,5.21294896522963e-05,0.9833706928009176,0.2326017828285461,3895,canonical_v2_exact_endpoint,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c,degree,1,51310,True,8b32346b1d7e48398c038a8cd116326aaae9de6e0e82197a1687d2f449896455,20282899
road,Accra,Accra,19183,25655,2.6747641140593235,0.5030786728370853,0.747729487429351,0.6330722187859009,0.53,0.5275,0.535,False,0,0.0025,256,1000,5.21294896522963e-05,0.983787728718136,0.2371370484282959,3925,canonical_v2_exact_endpoint,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c,degree,2,51310,True,1bb2edd5dcd6b317f8928da59d8c9b0e489c55b217f9df418d58b2d072c21d2a,20282918
road,Accra,Accra,19183,25655,2.6747641140593235,0.5030786728370853,0.747729487429351,0.6330722187859009,0.525,0.5225,0.5325,False,0,0.0025,256,1000,5.21294896522963e-05,0.9831100453526562,0.2439138820830944,3949,canonical_v2_exact_endpoint,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c,degree,3,51310,True,60785f82d476c4656ac3ab160acdb37fd9eb5fb94b53c808ab727168dd65c78d,20282937
road,Addis Ababa,Addis Ababa,51078,72263,2.8295156427424724,0.482274189457948,0.7068347563760153,0.6295381309948231,0.5,0.4975,0.5025000000000001,False,0,0.0025,256,1000,1.957790046595403e-05,0.991894749207095,0.1572301186420768,7348,canonical_v2_exact_endpoint,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc,degree,0,144526,True,2a74e55e1ff80952745a175f6f2b790d285783f94bf6144fc8c6d253d29c37b0,20294868
road,Addis Ababa,Addis Ababa,51078,72263,2.8295156427424724,0.482274189457948,0.7068347563760153,0.6295381309948231,0.4975,0.4975,0.5025000000000001,False,0,0.0025,256,1000,1.957790046595403e-05,0.991366145894514,0.157582520850464,7332,canonical_v2_exact_endpoint,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc,degree,1,144526,True,9053274e10132dcf7d321fe7a38565c67d027cee826dbc5bce5d6cd06b666708,20294893
road,Addis Ababa,Addis Ababa,51078,72263,2.8295156427424724,0.482274189457948,0.7068347563760153,0.6295381309948231,0.5,0.4975,0.5025000000000001,False,0,0.0025,256,1000,1.957790046595403e-05,0.9925408199224712,0.1591291749872743,7406,canonical_v2_exact_endpoint,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc,degree,2,144526,True,b1afde2d886e9feab884f972e6b04bd4216a07892b16ff5f8ebbf26184060311,20294918
road,Addis Ababa,Addis Ababa,51078,72263,2.8295156427424724,0.482274189457948,0.7068347563760153,0.6295381309948231,0.505,0.4975,0.505,False,0,0.0025,256,1000,1.957790046595403e-05,0.9912682563921842,0.1565644700262344,7309,canonical_v2_exact_endpoint,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc,degree,3,144526,True,b840fc2530ffa928c6b39ced384343d4c7475f4498d6c4cf0f662a1e1e5283b2,20294943
road,Algiers,Algiers,21703,28885,2.661843984702576,0.5065855241235377,0.7513588367664878,0.6343744607047784,0.5325,0.53,0.5375,False,0,0.0025,256,1000,4.607657927475463e-05,0.9817075980279224,0.2436529512049025,4449,canonical_v2_exact_endpoint,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc,degree,0,57770,True,50306870a3a52b3d766027616cbcb1862c1272fae0a30a6e9583a6c335f7449e,20287136
road,Algiers,Algiers,21703,28885,2.661843984702576,0.5065855241235377,0.7513588367664878,0.6343744607047784,0.5325,0.53,0.535,False,0,0.0025,256,1000,4.607657927475463e-05,0.9820762106621204,0.2388149103810533,4436,canonical_v2_exact_endpoint,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc,degree,1,57770,True,cfcabab2d93ab6b216908637c92f8ce0ed2e2cd971fada51297e9c036c684c31,20287157
road,Algiers,Algiers,21703,28885,2.661843984702576,0.5065855241235377,0.7513588367664878,0.6343744607047784,0.53,0.53,0.5325,False,0,0.0025,256,1000,4.607657927475463e-05,0.9823065935584944,0.2398285951250979,4443,canonical_v2_exact_endpoint,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc,degree,2,57770,True,9e524ad59d98dbab877ae941d5873669f8dc208807c46048dd2b86c2fa1a2082,20287178
road,Algiers,Algiers,21703,28885,2.661843984702576,0.5065855241235377,0.7513588367664878,0.6343744607047784,0.5325,0.5275,0.5375,False,0,0.0025,256,1000,4.607657927475463e-05,0.9819840575035708,0.2385384509054048,4421,canonical_v2_exact_endpoint,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc,degree,3,57770,True,f6ead0e76f73d519f200ad17802a657dbe0c7d7ebbfd66eb3528742447eaa745,20287199
road,Amsterdam,Amsterdam,23201,32887,2.8349640101719755,0.466680857102313,0.7054763280323532,0.6160131045589082,0.4875,0.485,0.5,False,0,0.0025,256,1000,4.310159044868756e-05,0.9901297357872508,0.1790871083142968,3660,canonical_v2_exact_endpoint,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d,degree,0,65774,True,372c51c53e446c47dbfb4ca035e3eba8faf96cf3a5c6f20af8339f675d3b47fa,20291513
road,Amsterdam,Amsterdam,23201,32887,2.8349640101719755,0.466680857102313,0.7054763280323532,0.6160131045589082,0.4875,0.485,0.5,False,0,0.0025,256,1000,4.310159044868756e-05,0.9909486660057758,0.1827507435024352,3707,canonical_v2_exact_endpoint,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d,degree,1,65774,True,e93de82e0f83f07a5c0df8631ad281543da8005ca489eebbeb1184685f7b5228,20291536
road,Amsterdam,Amsterdam,23201,32887,2.8349640101719755,0.466680857102313,0.7054763280323532,0.6160131045589082,0.4925,0.49,0.495,False,0,0.0025,256,1000,4.310159044868756e-05,0.989957329425456,0.1781819749148743,3645,canonical_v2_exact_endpoint,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d,degree,2,65774,True,b5cef58779488ef4a6bf3e42ea7946ba1542bdf2e097329ec07f28b07304e9cf,20291559
road,Amsterdam,Amsterdam,23201,32887,2.8349640101719755,0.466680857102313,0.7054763280323532,0.6160131045589082,0.4925,0.4875,0.495,False,0,0.0025,256,1000,4.310159044868756e-05,0.9928882375759666,0.1833972673591655,3725,canonical_v2_exact_endpoint,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d,degree,3,65774,True,b67e607b223367d9e66351f3403eaa8e5373a505c74fe72b1397108a2f37b806,20291582
road,Athens,Athens,54827,88593,3.231728892698853,0.4135569642707098,0.618863792850451,0.5933158856166071,0.43,0.4275,0.4325,False,0,0.0025,256,1000,1.8239188720885696e-05,0.9989056486767468,0.0652415780546081,3488,canonical_v2_exact_endpoint,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975,degree,0,177186,True,aced5c8f77c9019b4241b9397cf40746361fb8513aa291cc263189aedf264270,20285101
road,Athens,Athens,54827,88593,3.231728892698853,0.4135569642707098,0.618863792850451,0.5933158856166071,0.43,0.4275,0.435,False,0,0.0025,256,1000,1.8239188720885696e-05,0.9993433892060484,0.0660988199244897,3523,canonical_v2_exact_endpoint,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975,degree,1,177186,True,d1d36b9f2b3d29997f65ac26c0e6e3ee2bfd71818fb161ab56a137265eb97e9a,20285121
road,Athens,Athens,54827,88593,3.231728892698853,0.4135569642707098,0.618863792850451,0.5933158856166071,0.4275,0.4275,0.4325,False,0,0.0025,256,1000,1.8239188720885696e-05,0.9989421270541888,0.0660258631696062,3506,canonical_v2_exact_endpoint,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975,degree,2,177186,True,b1a62b4641e95102bacc54f625816947e4c0f7ad4c983e118d8ddfcd3f0ffcff,20285141
road,Athens,Athens,54827,88593,3.231728892698853,0.4135569642707098,0.618863792850451,0.5933158856166071,0.4275,0.4275,0.4325,False,0,0.0025,256,1000,1.8239188720885696e-05,0.9985591040910502,0.0660988199244897,3494,canonical_v2_exact_endpoint,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975,degree,3,177186,True,258ae2af728bedaff2da42e3e9879fb301948b159a6690fe938ac206af51366b,20285161
road,Auckland,Auckland,12533,16775,2.67693289715152,0.5044505924099357,0.747123695976155,0.6340596868091446,0.535,0.53,0.54,False,0,0.0025,256,1000,7.978935609989628e-05,0.9838825500678214,0.233782813372696,2461,canonical_v2_exact_endpoint,a1c23153a003d63a2f54cfe32bf607c36bac7aad5406555dfd4b32d8c58a79c2,degree,0,33550,True,d2a7391693540842fa5f5ccd8c39c10757ab4ac8b9a976be68938cd6b6270aba,20289092
