domain,instance,family,package,package_version,package_relative_source,source_sha256,simple_nodes,simple_edges
power,case1354pegase,PEGASE,pandapower,3.4.0,networks\power_system_test_case_jsons\case1354pegase.json,3d0f8d206aa15d3f19354b3573511a14ff58a305482f7d2e410975990008571c,1354,1710
power,case2869pegase,PEGASE,pandapower,3.4.0,networks\power_system_test_case_jsons\case2869pegase.json,e4cf1e7be5142dc00353fad17392060aec5915c3468f87c7298d348d3b082e37,2869,3968
power,case9241pegase,PEGASE,pandapower,3.4.0,networks\power_system_test_case_jsons\case9241pegase.json,3b127f792c0aed9c60a97a69e9bdea0cf2d045294d27b817016e88e211b13487,9241,14207
power,case1888rte,RTE,pandapower,3.4.0,networks\power_system_test_case_jsons\case1888rte.json,8f62f3fb41a68f1eef965a422621f8a876b91a94fe758903586e3701cc8f0c63,1888,2308
power,case2848rte,RTE,pandapower,3.4.0,networks\power_system_test_case_jsons\case2848rte.json,6544f35ad35b2881dadc00573950e02aaae1067f69cd150ba320f4f6d7d4cb5c,2848,3442
power,case6470rte,RTE,pandapower,3.4.0,networks\power_system_test_case_jsons\case6470rte.json,0d948d0e8417c42174a30cb6e9a640cad0e59c9394ec0651155daa9b8485a6f9,6470,8066
power,case3120sp,Polish,pandapower,3.4.0,networks\power_system_test_case_jsons\case3120sp.json,d16590b0740a29a2d9a0ff108b0a0fc4fb9834eba49838e8a2ee420ff5732c2b,3120,3684
power,GBnetwork,GB,pandapower,3.4.0,networks\power_system_test_case_jsons\GBnetwork.json,ef31d5eb0a84bbed379adb063267e388583cf2590dc28d08ea847e18703d732c,2224,2804
power,case_illinois200,Illinois,pandapower,3.4.0,networks\power_system_test_case_jsons\case_illinois200.json,0c38d7047c4fc5fef15fa5aae0ab50c77d3d5ad69fd3d592758642aca7e1a3bd,200,245
power,case300,IEEE300,pandapower,3.4.0,networks\power_system_test_case_jsons\case300.json,c4aaa812e36e20a3545d2069fd9c0dcac3c6841d5b53e4ec538d7affad4066c9,300,409
water,Net6,WNTR packaged benchmark,wntr,1.4.0,library\networks\Net6.inp,9a2ac6412469d4a5dc6352fc249f0c9841047ad1b908e0b7051faf1b55dcafab,3356,3830
water,ky4,WNTR packaged benchmark,wntr,1.4.0,library\networks\ky4.inp,0f776ada1c8fb17dad50d04b8035b4b96421de5c85ee7756697d6df28d4f2579,964,1137
water,ky10,WNTR packaged benchmark,wntr,1.4.0,library\networks\ky10.inp,1cca0fe154cc80cb6ea63c085d3c34430e2c3dfea9efa99eb130c7288e8ca950,935,1059
water,Net3,WNTR packaged benchmark,wntr,1.4.0,library\networks\Net3.inp,ea3e825c4fef0b5cba47fb06301bc85253f18b6364dc96c44d9fb492c40faa52,97,119
