city,country,macro_region,n_edges_simple,mean_degree,chi_poly,chi_long,chi_short,edge_len_p90_m,edge_len_median_m,cross_pairs_with_tagged_edge_share,canonical_pc,canonical_cebh,road_gap_fine,log_edges,log_gdp,chi_annotation_supported
Accra,Ghana,Africa,25655,2.6747641140593235,0.0051451958682518,0.0047943870590528,0.0003508088091989,230.32124957374765,82.73037699606063,1.0,0.725,0.5030786728370853,0.2219213271629146,10.152493763376064,7.68143439247932,0.0051451958682518
Auckland,New Zealand,Oceania,16775,2.67693289715152,0.0207451564828614,0.0202086438152011,0.0005365126676602,272.06634214971604,80.05373507627982,1.0,0.75,0.5044505924099357,0.2455494075900642,9.727644961839882,10.6550979118097,0.0207451564828614
Algiers,Algeria,Africa,28885,2.661843984702576,0.0173792625930413,0.0153712999826899,0.0020079626103513,200.2894185012658,60.08136889347929,1.0,0.7425,0.5065855241235377,0.2359144758764623,10.271077708215364,8.469205795295908,0.0173792625930413
Barcelona,Spain,Europe,28820,3.086644532505088,0.043442054129077,0.0418806384455239,0.001561415683553,187.57125802577983,70.07112958900426,1.0,0.6275000000000001,0.438814196750765,0.188685803249235,10.268824869553512,10.283471394692004,0.043442054129077
Amsterdam,Netherlands,Europe,32887,2.8349640101719755,0.0242953142579134,0.0239608355885304,0.000334478669383,204.6734778374845,60.36246491002521,1.0,0.675,0.466680857102313,0.208319142897687,10.40083272188824,10.843075303062347,0.0242953142579134
Buenos Aires,Argentina,Latin America,37472,3.462896220312356,0.026446413321947,0.0260194278394534,0.0004269854824935,150.06214884630347,103.68172430883804,1.0,0.555,0.3806157377781841,0.1743842622218159,10.531349266397443,9.455194584790856,0.026446413321947
Chicago,United States,North America,21830,3.2926093514328807,0.0419147961520842,0.0379294548786074,0.0039853412734768,204.45463006018608,102.526892232831,1.0,0.6,0.3959947031400221,0.2040052968599778,9.99104044954399,11.102792037320048,0.0419147961520842
Brisbane,Australia,Oceania,35174,2.776273728244998,0.0280036390515721,0.0266389947120031,0.0013646443395689,231.8645776921192,82.29398261942399,1.0,0.71,0.4911197989388439,0.218880201061156,10.468062452296309,11.026478107003092,0.0280036390515721
Boston,United States,North America,35843,2.8883516660622908,0.0327818541974723,0.0312194849761459,0.0015623692213263,207.6936529815058,76.22688512810747,1.0,0.675,0.4629981269779758,0.2120018730220242,10.486903568942912,11.102792037320048,0.0327818541974723
Dar es Salaam,Tanzania,Africa,29826,2.6735389028325565,0.0009723060417085,0.0009723060417085,0.0,192.58047562173263,72.1294187971413,1.0,0.7625000000000001,0.5075988359230076,0.2549011640769925,10.303135775322728,7.021774948648988,0.0009723060417085
Dakar,Senegal,Africa,43129,3.01348518725545,0.0034779382781886,0.0034315657678128,4.63725103758492e-05,106.8065951717513,44.59085016696764,0.9933333333333332,0.6825,0.4600377595972308,0.2224622404027691,10.671950903655498,7.321117659188172,0.0034547520230006
Bogota,Colombia,Latin America,60476,2.966545668596096,0.0082346716052648,0.0080693167537535,0.0001653548515113,159.24689128314765,61.59599014424938,1.0,0.6525,0.4493951193413192,0.2031048806586807,11.010001871100092,8.833986728002298,0.0082346716052648
Casablanca,Morocco,Africa,55764,3.019002761084944,0.0064737106376873,0.0064378452047916,3.586543289577505e-05,136.6407399415739,47.39511849767296,1.0,0.665,0.4598827284198025,0.2051172715801975,10.92888377887298,8.1651230726161,0.0064737106376873
Chennai,India,Asia,56880,2.6802374893977947,0.0049929676511954,0.0049226441631504,7.032348804500703e-05,145.72958482500192,51.66992648730283,1.0,0.7225,0.498448919501551,0.224051080498449,10.948699064477122,7.7819523715281615,0.0049929676511954
Hong Kong,China,Asia,13245,2.931931377974544,0.1520573801434503,0.1291808229520573,0.0228765571913929,273.92261224073985,60.16869034826651,0.993545183714002,0.655,0.4651775366136339,0.1898224633863661,9.49137540170617,9.482020873732049,0.1510758776896941
Dubai,United Arab Emirates,Middle East,22720,2.889849910964131,0.0400528169014084,0.038644366197183,0.0014084507042253,305.381624012462,50.966312478815766,1.0,0.7000000000000001,0.4908611675236571,0.2091388324763429,10.031000872835088,10.635985650923423,0.0400528169014084
Addis Ababa,Ethiopia,Africa,72263,2.8295156427424724,0.0028645364847847,0.0028368598037723,2.767668101241299e-05,145.89584438958522,55.98256537119029,0.9758454106280192,0.7025,0.482274189457948,0.220225810542052,11.188067520584925,6.783844418696644,0.0027953447822536
Dhaka,Bangladesh,Asia,47996,2.674616884926164,0.0126468872406033,0.0123343611967663,0.0003125260438369,193.2585119751171,59.62000883235487,0.9456342668863262,0.7175,0.501127631139325,0.216372368860675,10.77887295308428,7.571102181101636,0.0119593299441619
Bangkok,Thailand,Asia,71694,2.2628538964113245,0.0333082266298435,0.0332105894496052,9.763718023823472e-05,163.30850107574187,50.64674779447493,1.0,0.92,0.5689051824695883,0.3510948175304117,11.180162341077809,8.790947890778815,0.0333082266298435
Hanoi,Vietnam,Asia,39886,2.720736698499318,0.0159705159705159,0.0155443012585869,0.0004262147119289,207.70846252163304,63.85517827434351,0.9952904238618524,0.705,0.4889668023341342,0.2160331976658657,10.593780664113169,8.298476338080063,0.0158953016095872
Athens,Greece,Europe,88593,3.231728892698853,0.0083979546916799,0.0083076541035973,9.030058808257988e-05,119.70708601593282,56.56620950019394,1.0,0.6225,0.4135569642707098,0.2089430357292902,11.391808126699964,9.975561002447977,0.0083979546916799
Lagos,Nigeria,Africa,17952,2.7146529562982007,0.0160984848484848,0.0145387700534759,0.0015597147950089,250.4384865638602,84.97741961661616,1.0,0.7225,0.4953369019369792,0.2271630980630208,9.795456808322422,7.751324258022151,0.0160984848484848
Ho Chi Minh City,Vietnam,Asia,51958,2.567982998072456,0.0117402517417914,0.0116632664844682,7.698525732322261e-05,171.45160111327613,56.733752491495686,0.978688524590164,0.7175,0.5059497146863499,0.2115502853136501,10.858190978896696,8.298476338080063,0.0114900496554909
