instance,macro_region
Accra,Africa
Auckland,Oceania
Algiers,Africa
Barcelona,Europe
Amsterdam,Europe
Buenos Aires,Latin America
Chicago,North America
Brisbane,Oceania
Boston,North America
Dar es Salaam,Africa
Dakar,Africa
Bogota,Latin America
Casablanca,Africa
Chennai,Asia
Hong Kong,Asia
Dubai,Middle East
Addis Ababa,Africa
Dhaka,Asia
Bangkok,Asia
Hanoi,Asia
Athens,Europe
Lagos,Africa
Ho Chi Minh City,Asia
Johannesburg,Africa
Kampala,Africa
Delhi,Asia
Lisbon,Europe
Los Angeles,North America
Kuala Lumpur,Asia
Istanbul,Middle East
Bengaluru,Asia
Miami,North America
Jakarta,Asia
Manila,Asia
Melbourne,Oceania
Montevideo,Latin America
London,Europe
Karachi,Asia
Milan,Europe
Panama City,Latin America
Mumbai,Asia
Montreal,North America
Cairo,Africa
Nairobi,Africa
Lima,Latin America
Prague,Europe
Rio de Janeiro,Latin America
Quito,Latin America
Mexico City,Latin America
San Francisco,North America
Hyderabad,Asia
New York City,North America
Rome,Europe
Paris,Europe
Seattle,North America
Taipei,Asia
Singapore,Asia
Sydney,Oceania
Tel Aviv,Middle East
Riyadh,Middle East
Toronto,North America
Vancouver,North America
Warsaw,Europe
Vienna,Europe
Sao Paulo,Latin America
Seoul,Asia
Santiago,Latin America
Osaka,Asia
Tunis,Africa
Tehran,Middle East
Tokyo,Asia
