cohort,domain,instance,system_id,snapshot_name,snapshot_format,snapshot_sha256,ordered_edges_sha256,n_nodes,n_edges,input_hash,seed,n_orders,n_bootstrap,p_step,method_version
reference,power,GBnetwork,GB,power_GBnetwork.npz,npz,f9183f636fba81d836842e61935d7ffa01b7c9a62b7a6e5836f67a52455c4c94,7bb67576eb02e7aa1ff9b13917745606951772491201e0a6fdaff51807bc66fb,2224,2804,ccdfb0d868d65f28d6352684eda7592caa4adfb899a5ccfb2e10dd9bbd3ebf73,20299969,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,power,case1354pegase,PEGASE,power_case1354pegase.npz,npz,ef544d1742a6b2ac14eb17a33a94b950e3ffaf4d8d51009ed86a7b98492f5a94,aabeb0bd466d319f7007a71e28d35a4eac8df8ce9eed7b451112d5e31cf56512,1354,1710,08a062c71c1996d764126c4b0f619a85ed034677728971cca59705c0fd334f25,20311306,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,power,case1888rte,RTE,power_case1888rte.npz,npz,3ce70a49fd366546800fcf5582de023d10980f638b3cf4e2ee13515802f74c8f,1e3798ca6e12de18144f048143f2e2b850976727108e4063b00b4ce3fba2a304,1888,2308,7ee12136b6947ef950987903f52f96418f3827375092057e817a70bd89ce5f9c,20302680,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,power,case2848rte,RTE,power_case2848rte.npz,npz,4be4a9a4aa42a4696a5ccdb918e1bee2eee0def94c9df0049070c1056bc93644,ff07f585c39f39bef60c86c197ba3a294433d4fd5fecfe75e3227ed008ce3de4,2848,3442,ca13efd4eebedb4db3b4ab82085d64e3fc3dbb8165015dc27c9354d6f618c792,20302639,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,power,case2869pegase,PEGASE,power_case2869pegase.npz,npz,b044b754705a319c1c8a6d5af48d203f8d8966a3044b26237640c344d37a1514,3c7b84d9332aff3992ae37dd0f68ce57a35bf2165594b8617cb7fe69db53528a,2869,3968,289385196c138ceee8a90e4eb371323a94d8cb30bc6df645e663cac429d33517,20311460,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,power,case300,IEEE300,power_case300.npz,npz,841f894b820d4ed3f3a660a1e7c52e9fe52272d79b6b2e904461eb447adadc03,8abf30738f89744fcf47b733d97f0a62df6dc2a5d4673bedf04cb4cf36474a8f,300,409,d350784c04b97c77c646823f54717711d0989cabc7da184f242c27888c1fb683,20292347,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,power,case3120sp,Polish,power_case3120sp.npz,npz,2b140c633ded119091073c0f61dc881b9d60fdb48cc7439def91601c0370b59e,a4a0ba04a4f54a1a3cc0ed039e61f54b0f520557334a644f57bdc541a2f98865,3120,3684,8b8093061a8c89de9a6cb628070582d42b058e4bc93b5ec34377192973fcc3a0,20299640,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,power,case6470rte,RTE,power_case6470rte.npz,npz,3a73c2dc8b5c6d762d121e1d6278545ac4c23824b328c831eb331d19ae4dc82a,03c6f2c89368d8f1a7872fc45f8a822b5306768c25dec93d0187558f11f6028c,6470,8066,d5ce90f37cbbd74086c489ed67b8cc9ee1e5355380221aaf30a31ac425285cd3,20302562,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,power,case9241pegase,PEGASE,power_case9241pegase.npz,npz,73a981c222789aad50c52a8310c8f88b315831f12af658a9e5e1b05791750761,cd8191bee2199ca97e83c85c06cc5a9ef7d1501fc9713a3a4633202181430c64,9241,14207,2861fa197a084e6da48288afedabba2d8541be634681c4e65ddb1b34854d25df,20311327,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,power,case_illinois200,Illinois,power_case_illinois200.npz,npz,3a56334ed01a72aff9a792696e35b94f9bbe6af2774c558e262cc2abaabd392b,1d1c67fc1a49132508e9bfccfb88abbacc3f358344f5eda8d45df27c4726f327,200,245,52cb27ce6a1a8ceccead9e6b7f2b4244bcf889cc4e6f63510669f2648b4ce1ad,20317366,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,rail,Berlin,Berlin,rail_Berlin.npz,npz,fcee78825e576c6af1cf6859312783469458167feada2a53a3a3609718903936,21c3479ddda328c69149e16898182eb5e17b99a34d1832d30359a9c16509fafc,4211,5193,fbc1459c615f6edb0549e2ba761fd8361759fdff4faa80f41af23328e1ce50f4,20289799,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,rail,Hamburg,Hamburg,rail_Hamburg.npz,npz,5897b88ca03bbb79bd50985775dc79a6102dd6b40cd56f7839e1b3690b9198e3,f8e426000d7ce4914b13ac4ff5be5dd7ebcf8c8645b69f6c5d1eaf4d96970b2a,4160,5360,bc86ef66a0008e2d58c289ca0d17f6388dff51f10ebfee38bdd7e1dd3dfe7446,20292099,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,rail,Madrid,Madrid,rail_Madrid.npz,npz,97ad9aab79fa6c0758809bc3e0e94b4645a018950a8ebcdecb8f1a5fefd26916,138a1399cc131f8ae322407eccf0ac84fe097066eae0612684a0436d259b5ad7,2294,2749,98b95ee85de230d9eb90947a37483612ccf070eb4e437048ae54a1f0e7a1a804,20289669,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,rail,Milan,Milan,rail_Milan.npz,npz,5faaf889bf47dffd6f3e4d5b82b6d70def632976d7ea4b0fef72b98abb1bad63,2c0a1492663d1ae686c04098d5d045e30062c6c9e7af005492843f7d733a233d,2763,3490,6362fc5fd5cf54e3947ee158ea4edbdac82cd8d139c35c38924a9d830f82246d,20287564,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,rail,Osaka,Osaka,rail_Osaka.npz,npz,ab104ef1afd0e4fb5edf82d2d44507f4ef2b7c9df6ffa37808f6086d38ebd5a5,d5536070b55ff0c8c364fbb41a75e61a5713bafa6bf1350c62cd7bf6ed969104,1553,1881,9b0340572c8b4241326c87ded039c12aa6013af39c825dca82090cf882799465,20287518,8192,1000,0.0025,canonical_v2_exact_endpoint
