instance,subset,n_nodes,n_edges,mean_radius_m,max_radius_m,pc,pc_cebh,gap_cebh,orders
Lisbon,inner,4758,6988,3146.594326794647,14166.494502937392,0.66,0.46040321517986554,0.1995967848201345,2048
Lisbon,annulus,14020,19231,8621.907700669726,14166.494502937392,0.7375,0.5002210950708803,0.23727890492911974,2048
Lisbon,outer_quartile,3589,4762,10575.388916387425,14166.494502937392,0.785,0.5138109624514459,0.27118903754855417,2048
Vienna,inner,6979,11038,3005.508191469637,15060.945024155517,0.635,0.4179319223051002,0.21706807769489983,2048
Vienna,annulus,10616,14902,8209.88130411537,15060.945024155517,0.88,0.47386161282116507,0.40613838717883494,2048
Vienna,outer_quartile,2373,3298,10210.83548659511,15060.945024155517,0.77,0.4825164594001463,0.2874835405998537,2048
Athens,inner,17419,28203,3225.9984291199826,14204.10968117331,0.6225,0.4124330964288848,0.21006690357111524,2048
Athens,annulus,37384,59927,7939.573698298054,14204.10968117331,0.6875,0.4166718814097884,0.2708281185902116,2048
Athens,outer_quartile,9862,14910,9945.499448624974,14204.10968117331,0.675,0.4426828182061103,0.23231718179388977,2048
Istanbul,inner,8825,12914,3487.446262121437,14606.412554602057,0.7000000000000001,0.46766133120880704,0.23233866879119303,2048
Istanbul,annulus,39820,59700,8591.842468967405,14606.412554602057,0.6950000000000001,0.46157057700187876,0.2334294229981213,2048
Istanbul,outer_quartile,6633,10084,10752.903156463855,14606.412554602057,0.6900000000000001,0.4573450043085854,0.23265499569141468,2048
Dubai,inner,5750,8412,3640.51525167207,14491.018840256334,0.7275,0.4867773855679648,0.24072261443203524,2048
Dubai,annulus,9327,13256,8154.078192212751,14491.018840256334,0.7675000000000001,0.4973175764396923,0.27018242356030775,2048
Dubai,outer_quartile,1902,2708,10345.468524094389,14491.018840256334,0.77,0.5028783658310121,0.26712163416898793,2048
Cairo,inner,31308,42412,3398.5589764039014,14647.06251786225,0.7000000000000001,0.4933521002245047,0.20664789977549536,2048
Cairo,annulus,86828,120305,8381.002063364165,14647.06251786225,0.745,0.4917573770759843,0.25324262292401567,2048
Cairo,outer_quartile,13011,18479,10839.613742612099,14647.06251786225,0.7225,0.47688972618648223,0.2456102738135178,2048
Nairobi,inner,6048,7870,3174.14833246547,14326.601670404123,0.72,0.5166754201680673,0.20332457983193264,2048
Nairobi,annulus,16693,19945,8812.595845944501,14326.601670404123,0.8725,0.5572474295932052,0.3152525704067949,2048
Nairobi,outer_quartile,1766,1974,11009.940958086014,14326.601670404123,0.9400000000000001,0.5904875860005984,0.3495124139994017,2048
Accra,inner,4835,6674,3215.8181455097715,14711.961124109333,0.7075,0.4845009074410164,0.2229990925589836,2048
Accra,annulus,14316,18808,8642.86147380369,14711.961124109333,0.75,0.5140342725955889,0.23596572740441113,2048
Accra,outer_quartile,2380,3170,11026.385938832222,14711.961124109333,0.74,0.5195869529585314,0.22041304704146858,2048
Johannesburg,inner,5223,8295,3070.0056348587627,14261.939298260868,0.6325000000000001,0.41790518414025896,0.2145948158597411,2048
Johannesburg,annulus,17060,24097,8716.153638902228,14261.939298260868,0.7575000000000001,0.47299101008911393,0.28450898991088613,2048
Johannesburg,outer_quartile,1672,2312,11113.222288052886,14261.939298260868,0.7225,0.4899343081161264,0.2325656918838736,2048
Casablanca,inner,9442,14443,3143.658382081286,14483.524269458478,0.645,0.452106680022538,0.192893319977462,2048
Casablanca,annulus,27452,41070,7943.0770792720205,14483.524269458478,0.685,0.4644719134161926,0.22052808658380746,2048
Casablanca,outer_quartile,8968,13223,10034.037336030839,14483.524269458478,0.9375,0.46905040615799365,0.46844959384200635,2048
Mexico City,inner,12115,19943,3491.5551342172694,14337.001889077737,0.5925,0.40163934426229514,0.1908606557377049,2048
Mexico City,annulus,46855,70163,8789.156173592151,14337.001889077737,0.675,0.43738701110875605,0.237612988891244,2048
Mexico City,outer_quartile,4017,5884,11168.660098542105,14337.001889077737,0.6675,0.447997563575453,0.21950243642454698,2048
Bogota,inner,9548,14798,3280.4975039171036,14347.021868839523,0.6425,0.43145372908041285,0.2110462709195871,2048
Bogota,annulus,31187,45354,8435.669295344675,14347.021868839523,0.6675,0.45822303946331505,0.20927696053668493,2048
Bogota,outer_quartile,7069,10101,10546.507391703797,14347.021868839523,0.7375,0.46324237560192616,0.2742576243980739,2048
Lima,inner,11026,17061,3398.319201195811,13759.661851767827,0.6425,0.4340117018570339,0.20848829814296604,2048
Lima,annulus,30842,47525,8399.357550705734,13759.661851767827,0.675,0.4438270451998505,0.23117295480014954,2048
Lima,outer_quartile,5413,8358,10670.676188119842,13759.661851767827,0.645,0.4491375141060777,0.1958624858939223,2048
Santiago,inner,9038,14048,3476.4390825465343,14683.51952781277,0.6075,0.4243852335206332,0.18311476647936686,2048
Santiago,annulus,51660,73920,8657.981280541195,14683.51952781277,0.6900000000000001,0.4626940410615923,0.22730595893840777,2048
Santiago,outer_quartile,4582,6128,11011.3166629375,14683.51952781277,0.7325,0.49169541843857834,0.2408045815614217,2048
Sao Paulo,inner,8180,12623,3250.106507539004,14449.980140814941,0.635,0.4396725879484501,0.1953274120515499,2048
Sao Paulo,annulus,43090,64382,8686.163322600994,14449.980140814941,0.6950000000000001,0.45727151339526684,0.23772848660473322,2048
Sao Paulo,outer_quartile,3071,4620,11054.872756180912,14449.980140814941,0.6325000000000001,0.4529411764705883,0.17955882352941177,2048
Tokyo,inner,13036,21418,3225.516361861206,14449.908286761762,0.59,0.4091230348990468,0.1808769651009532,2048
Tokyo,annulus,49056,76262,8817.714338562453,14449.908286761762,0.6625,0.4350867183934277,0.22741328160657226,2048
Tokyo,outer_quartile,5773,8764,11159.870454686064,14449.908286761762,0.6425,0.44992042712664926,0.1925795728733507,2048
Seoul,inner,12515,18151,3381.7427826284684,14177.272212954205,0.68,0.4635797108852225,0.21642028911477756,2048
Seoul,annulus,38239,57479,8483.062577319524,14177.272212954205,0.675,0.44937065123915254,0.2256293487608475,2048
Seoul,outer_quartile,6417,9932,10593.468855544284,14177.272212954205,0.6625,0.44013117078791103,0.22236882921208895,2048
Taipei,inner,5786,9073,3240.8993802668074,14284.670979800992,0.59,0.4197159642873664,0.17028403571263356,2048
Taipei,annulus,10578,15580,7754.444798357158,14284.670979800992,0.6275000000000001,0.44510470531097335,0.1823952946890267,2048
Taipei,outer_quartile,2598,3754,9645.810481450646,14284.670979800992,0.685,0.45327215648394115,0.2317278435160589,2048
Bangkok,inner,13252,15484,3343.14993070465,14222.821947530963,0.8300000000000001,0.5552607042960624,0.2747392957039376,2048
Bangkok,annulus,49688,55600,8561.190301997187,14222.821947530963,0.905,0.5747839391307943,0.33021606086920574,2048
Bangkok,outer_quartile,4578,5317,10813.315524932877,14222.821947530963,0.8250000000000001,0.5605102255956146,0.2644897744043855,2048
Kuala Lumpur,inner,6053,8348,3345.878272269702,14327.231197881792,0.685,0.4957244655581948,0.18927553444180523,2048
Kuala Lumpur,annulus,31025,42292,8452.686711672406,14327.231197881792,0.74,0.49918557163428623,0.24081442836571376,2048
Kuala Lumpur,outer_quartile,5297,7129,10659.151899360799,14327.231197881792,0.8325,0.5044936664071898,0.3280063335928102,2048
Jakarta,inner,10813,14666,3445.2187654625486,14351.285064696045,0.705,0.5053930183672767,0.19960698163272328,2048
Jakarta,annulus,39284,50427,8609.675898007603,14351.285064696045,0.805,0.5173804198387131,0.28761958016128697,2048
Jakarta,outer_quartile,5224,6069,10985.263976325108,14351.285064696045,0.885,0.5663493840985442,0.3186506159014558,2048
Manila,inner,6554,10106,3181.7462415461796,14051.39029069212,0.655,0.4260180423235814,0.2289819576764186,2048
Manila,annulus,18564,26595,8658.334040986583,14051.39029069212,0.685,0.461911213005419,0.22308878699458107,2048
Manila,outer_quartile,5866,7852,11085.545461403604,14051.39029069212,0.9975,0.4938364779874213,0.5036635220125787,2048
Mumbai,inner,7560,10425,3252.14543946929,14003.740314388193,0.725,0.48179129309548013,0.24320870690451984,2048
Mumbai,annulus,6351,8538,7694.800617201807,14003.740314388193,0.735,0.48959229313607433,0.24540770686392566,2048
Mumbai,outer_quartile,2846,3795,9578.358491296378,14003.740314388193,0.7975,0.49549549549549543,0.30200450450450456,2048
Bengaluru,inner,19997,28658,3483.538052398174,14170.886091342434,0.6875,0.4659685863874345,0.2215314136125655,2048
Bengaluru,annulus,81230,107362,8398.154240081063,14170.886091342434,0.7575000000000001,0.4959189989422193,0.26158100105778076,2048
Bengaluru,outer_quartile,17385,22001,10705.294671075126,14170.886091342434,1.0,0.5174879454310244,0.4825120545689756,2048
Los Angeles,inner,4924,7534,3297.2550816533135,14284.517461804558,0.615,0.4326900987824489,0.18230990121755108,2048
Los Angeles,annulus,17327,26813,8662.065054489318,14284.517461804558,0.6900000000000001,0.4257045328252758,0.26429546717472424,2048
Los Angeles,outer_quartile,2587,3982,10885.828519697616,14284.517461804558,0.615,0.4273907910271546,0.1876092089728454,2048
New York City,inner,4602,7859,3229.6765401693715,13968.680878349658,0.5975,0.3864765183181707,0.21102348168182933,2048
New York City,annulus,15491,26011,8478.472286075554,13968.680878349658,0.615,0.3912369893508213,0.2237630106491787,2048
New York City,outer_quartile,2443,4120,10602.339654923688,13968.680878349658,0.5975,0.3862741421338834,0.21122585786611664,2048
Montreal,inner,4542,7289,3189.511270053692,14229.411450659847,0.615,0.414642471130326,0.200357528869674,2048
Montreal,annulus,15669,24395,8619.830693585596,14229.411450659847,0.6975,0.43023932558508665,0.26726067441491336,2048
Montreal,outer_quartile,2767,4092,10945.812449952999,14229.411450659847,1.0,0.45588235294117646,0.5441176470588236,2048
Vancouver,inner,5240,8507,3055.971582169383,14264.85940264345,0.6025,0.4099166385582807,0.19258336144171934,2048
Vancouver,annulus,9635,14044,8119.008089813811,14264.85940264345,0.7000000000000001,0.4465074873620958,0.2534925126379043,2048
Vancouver,outer_quartile,1073,1495,10030.44973333564,14264.85940264345,0.735,0.4650077760497667,0.2699922239502333,2048
London,inner,13048,17392,3297.042390743319,14262.41868884219,0.7425,0.5041743970315399,0.23832560296846017,2048
London,annulus,35119,44784,8436.870932742673,14262.41868884219,0.8300000000000001,0.5290240272166702,0.3009759727833299,2048
London,outer_quartile,3396,4175,10694.295047821372,14262.41868884219,0.8575,0.5474691843692631,0.310030815630737,2048
Paris,inner,8318,12871,3336.3589020960803,14506.965111956211,0.64,0.4389836289222374,0.2010163710777626,2048
Paris,annulus,28616,42026,8720.455384989311,14506.965111956211,0.6950000000000001,0.46162633596590463,0.23337366403409543,2048
Paris,outer_quartile,2500,3578,11051.55996364517,14506.965111956211,0.7125,0.4710994075049375,0.24140059249506252,2048
Amsterdam,inner,9269,13852,3199.8859337766057,14697.16649024706,0.655,0.44415942540160963,0.2108405745983904,2048
Amsterdam,annulus,10445,14365,8146.640673837175,14697.16649024706,0.75,0.48096561422305556,0.26903438577694444,2048
Amsterdam,outer_quartile,3339,4498,10112.663468847752,14697.16649024706,0.86,0.48832917164260115,0.37167082835739884,2048
Barcelona,inner,5954,9537,3226.050461389703,14244.60880020032,0.5875,0.41628109995635093,0.1712189000436491,2048
Barcelona,annulus,12711,19089,8289.388829807998,14244.60880020032,0.765,0.4551719204540035,0.3098280795459965,2048
Barcelona,outer_quartile,1427,2137,10690.870379279557,14244.60880020032,0.6675,0.45256247352816603,0.21493752647183395,2048
Warsaw,inner,4380,6299,3180.649620510685,14623.804724040938,0.67,0.4640489170472962,0.2059510829527038,2048
Warsaw,annulus,13164,17857,8261.309736370828,14623.804724040938,0.7525000000000001,0.4902133033189667,0.2622866966810334,2048
Warsaw,outer_quartile,1360,1831,10518.68748276306,14623.804724040938,0.7675000000000001,0.5069213732004431,0.260578626799557,2048
Prague,inner,6290,9172,3181.0448771774,14840.641501560647,0.6900000000000001,0.4562503108988708,0.23374968910112925,2048
Prague,annulus,13429,17899,8230.085490777197,14840.641501560647,0.8125,0.4931669146415385,0.3193330853584615,2048
Prague,outer_quartile,1423,1776,10258.688088530145,14840.641501560647,0.895,0.5322145639796225,0.3627854360203775,2048
Rome,inner,8858,13516,3221.3603959579546,14439.242920879466,0.6775,0.44403561220802257,0.23346438779197742,2048
Rome,annulus,16949,23315,8051.912701899845,14439.242920879466,0.795,0.4914111075982718,0.30358889240172826,2048
Rome,outer_quartile,3525,4779,10007.749304251569,14439.242920879466,0.9875,0.49926870037609694,0.4882312996239031,2048
Milan,inner,8435,13258,3085.7886166506983,14352.4953589388,0.645,0.43558826428360214,0.20941173571639787,2048
Milan,annulus,17262,24697,8661.112606412426,14352.4953589388,0.75,0.48558788832088084,0.26441211167911916,2048
Milan,outer_quartile,2239,3129,10580.208621707465,14352.4953589388,0.8150000000000001,0.49856596558317406,0.316434034416826,2048
Lagos,inner,2866,3931,3128.8218864283513,13975.878621606113,0.6975,0.48530864197530865,0.21219135802469136,2048
Lagos,annulus,8280,11171,8285.12886106738,13975.878621606113,0.74,0.5013013821576019,0.2386986178423981,2048
Lagos,outer_quartile,2434,3237,10539.996752563917,13975.878621606113,0.7675000000000001,0.5109707971586425,0.2565292028413576,2048
Addis Ababa,inner,12742,17944,3311.1587564826877,14260.200421833548,0.6950000000000001,0.48201574126306185,0.21298425873693821,2048
Addis Ababa,annulus,38280,53974,7973.524519725936,14260.200421833548,0.74,0.4847935042305136,0.2552064957694864,2048
Addis Ababa,outer_quartile,4606,6422,10099.393938377612,14260.200421833548,0.7175,0.48445986722993367,0.23304013277006635,2048
Dakar,inner,7692,11548,2985.067071407958,14192.776822303971,0.6625,0.45945730882469954,0.20304269117530044,2048
Dakar,annulus,20917,31437,8786.263489512778,14192.776822303971,0.685,0.46188090445616553,0.22311909554383452,2048
Dakar,outer_quartile,6655,10241,11480.050784691772,14192.776822303971,0.6575,0.4513243136045128,0.20617568639548717,2048
Kampala,inner,7702,9225,3496.482413457121,14215.168529761018,0.8,0.5544536602957085,0.24554633970429152,2048
Kampala,annulus,28011,31798,8208.058735449858,14215.168529761018,0.865,0.5837601659598686,0.2812398340401314,2048
Kampala,outer_quartile,2820,3122,10353.527883625524,14215.168529761018,0.89,0.598542944785276,0.291457055214724,2048
Dar es Salaam,inner,4395,6264,3102.954615707419,14151.151003503193,0.6925,0.4775846294602013,0.2149153705397987,2048
Dar es Salaam,annulus,17512,22897,8563.142982967101,14151.151003503193,0.8425,0.5195833711536715,0.32291662884632855,2048
Dar es Salaam,outer_quartile,1860,2533,11050.517110388868,14151.151003503193,0.7375,0.5153611393692777,0.2221388606307223,2048
Tunis,inner,9118,13515,3353.858428497488,14253.334481737465,0.6875,0.468311445303025,0.219188554696975,2048
Tunis,annulus,37559,53700,8365.700080118113,14253.334481737465,0.74,0.48512552735945363,0.25487447264054636,2048
Tunis,outer_quartile,4151,5509,10485.065767519844,14253.334481737465,0.7525000000000001,0.5066212985102079,0.24587870148979218,2048
Algiers,inner,5833,7747,3132.828417940228,14661.325444277136,0.7375,0.5047563200416992,0.2327436799583008,2048
Algiers,annulus,15684,20823,8314.631012151121,14661.325444277136,0.8200000000000001,0.5092069547355293,0.3107930452644707,2048
Algiers,outer_quartile,3057,4101,10441.464377838145,14661.325444277136,0.7875,0.509947774185526,0.27755222581447403,2048
Buenos Aires,inner,5023,8877,3166.548336480415,14265.245578357712,0.54,0.3749683196755935,0.16503168032440652,2048
Buenos Aires,annulus,16580,28349,8826.538823816738,14265.245578357712,0.595,0.3843775846406249,0.2106224153593751,2048
Buenos Aires,outer_quartile,3814,6366,11197.334537270446,14265.245578357712,0.9975,0.39279323748997347,0.6047067625100266,2048
Rio de Janeiro,inner,4575,6339,2904.0172181479097,14354.525033824533,0.68,0.48429979371991744,0.1957002062800826,2048
Rio de Janeiro,annulus,7274,10172,8427.875107536993,14354.525033824533,0.7175,0.47861478379522887,0.23888521620477116,2048
Rio de Janeiro,outer_quartile,2718,3743,10806.979360385274,14354.525033824533,0.9975,0.48679932370919493,0.5107006762908051,2048
Quito,inner,7798,11092,3184.1547341729834,14188.902887085691,0.675,0.4609949711150825,0.21400502888491757,2048
Quito,annulus,18224,23912,8685.769934567692,14188.902887085691,0.8975,0.49331572866809714,0.4041842713319028,2048
Quito,outer_quartile,2477,3627,10660.838103899696,14188.902887085691,0.61,0.4487195348261783,0.16128046517382166,2048
Montevideo,inner,4001,6977,3020.2181609989766,14567.815460385174,0.56,0.3810694194112186,0.17893058058878147,2048
