domain,predictor,n_instances,n_inference_units,absolute_error,absolute_error_low,absolute_error_high,signed_error,signed_error_low,signed_error_high,unsafe_integrated,unsafe_integrated_low,unsafe_integrated_high,safe_integrated,safe_integrated_low,safe_integrated_high,flip_integrated,flip_integrated_low,flip_integrated_high,unsafe_interval_separated,unsafe_interval_separated_low,unsafe_interval_separated_high,safe_interval_separated,safe_interval_separated_low,safe_interval_separated_high,grid_unsafe,grid_unsafe_low,grid_unsafe_high,grid_safe,grid_safe_low,grid_safe_high,full_band_unsafe,full_band_unsafe_low,full_band_unsafe_high,full_band_safe,full_band_safe_low,full_band_safe_high
power,CEBH,10,6,0.29939174943039504,0.24080551664576513,0.34846560771939017,0.29939174943039504,0.24080551664576513,0.34846560771939017,0.5433709356084803,0.4596693428346567,0.6312500000000002,0.0,0.0,0.0,0.5433709356084803,0.4596693428346567,0.6312500000000002,0.5201070467195913,0.43573204671959126,0.6107320467195914,0.0,0.0,0.0,0.5359477124183006,0.4509803921568627,0.6241830065359478,0.0,0.0,0.0,0.29939174943039504,0.24080551664576513,0.34846560771939017,0.0,0.0,0.0
power,2D,10,6,0.11564549130038237,0.07462362201792258,0.1627445488987809,-0.11152926925021929,-0.16086190176367157,-0.06854911631108672,0.005145277562703834,0.0,0.015435832688111504,0.2839684506882521,0.18058749539969057,0.4038568650044369,0.2891137282509559,0.1865590550448064,0.4068613722469521,0.0034091664515927297,0.0,0.010227499354778189,0.25896845068825214,0.15843642162988528,0.3802457538933259,0.0032679738562091504,0.0,0.00980392156862745,0.25490196078431376,0.16339869281045752,0.369281045751634,0.002058111025081534,0.0,0.006174333075244602,0.11358738027530084,0.07223499815987625,0.1615427460017748
power,junction,10,6,0.09944289458565207,0.06609493968039624,0.13496266193975376,0.09944289458565207,0.06609493968039624,0.13496266193975376,0.2486072364641301,0.16523734920099062,0.33740665484938437,0.0,0.0,0.0,0.2486072364641301,0.16523734920099062,0.33740665484938437,0.2253433475752412,0.1445980078688149,0.31657207781968943,0.0,0.0,0.0,0.23529411764705885,0.14705882352941177,0.32352941176470584,0.0,0.0,0.0,0.09944289458565207,0.06609493968039624,0.13496266193975376,0.0,0.0,0.0
power,nonbacktracking,10,6,0.33198951094761,0.2772334622402492,0.4076912234050949,0.33198951094761,0.2772334622402492,0.4076912234050949,0.5659722222222224,0.48229166666666684,0.6430555555555557,0.0,0.0,0.0,0.5659722222222224,0.48229166666666684,0.6430555555555557,0.5427083333333335,0.46250000000000013,0.6229166666666669,0.0,0.0,0.0,0.565359477124183,0.4803921568627451,0.6372549019607844,0.0,0.0,0.0,0.3319895109476099,0.2772334622402491,0.4076912234050949,0.0,0.0,0.0
rail,CEBH,6,6,0.24664639307750988,0.20755341697673782,0.28933859469779727,0.24664639307750988,0.20755341697673782,0.28933859469779727,0.6103659826937746,0.5188835424418445,0.7062691739756916,0.0,0.0,0.0,0.6103659826937746,0.5188835424418445,0.7062691739756916,0.587449316027108,0.5004491936969625,0.6767255711078134,0.0,0.0,0.0,0.5686274509803921,0.4803921568627451,0.6666666666666666,0.0,0.0,0.0,0.24664639307750988,0.20755341697673782,0.28933859469779727,0.0,0.0,0.0
rail,2D,6,6,0.058687797615544456,0.035125947333682406,0.08472691640605538,-0.018045458056088277,-0.06629826648831881,0.03627255118881578,0.04455292444932022,0.0,0.10959160916885607,0.09591656958954091,0.026087472958284813,0.17253982852923355,0.14046949403886114,0.087814868334206,0.2035427540723439,0.031011257782653557,0.0,0.08563327583552276,0.06800604151872729,0.003385278220804505,0.15066482852923357,0.049019607843137254,0.0,0.12745098039215685,0.08823529411764706,0.02941176470588235,0.1568627450980392,0.020321169779728088,0.0,0.051336643667542425,0.03836662783581637,0.010434989183313925,0.06901593141169342
rail,junction,6,6,0.14727041748541353,0.10550954107481493,0.18562212771507816,0.14727041748541353,0.10550954107481493,0.18562212771507816,0.3619260437135339,0.2623630524854371,0.44750843833728493,0.0,0.0,0.0,0.3619260437135339,0.2623630524854371,0.44750843833728493,0.3390093770468671,0.24395217716264175,0.4204251050039515,0.0,0.0,0.0,0.35294117647058826,0.25490196078431376,0.4411764705882353,0.0,0.0,0.0,0.14727041748541353,0.10550954107481493,0.18562212771507816,0.0,0.0,0.0
rail,nonbacktracking,6,6,0.3656891375489473,0.3245189948810567,0.4164837979982295,0.3656891375489473,0.3245189948810567,0.4164837979982295,0.8163604185826193,0.7077208371652386,0.9125000000000001,0.0,0.0,0.0,0.8163604185826193,0.7077208371652386,0.9125000000000001,0.7934437519159526,0.6875000000000001,0.8861597414513871,0.0,0.0,0.0,0.7941176470588237,0.6862745098039217,0.9019607843137255,0.0,0.0,0.0,0.3656891375489473,0.3245189948810567,0.4164837979982295,0.0,0.0,0.0
road,CEBH,71,71,0.21225163242124023,0.20669734406278065,0.21834819440453784,0.21225163242124023,0.20669734406278065,0.21834819440453784,0.5098005223450266,0.4909852533477016,0.527219330559685,0.0,0.0,0.0,0.5098005223450266,0.4909852533477016,0.527219330559685,0.49914691319009713,0.48069668733013476,0.5164286736504098,0.0,0.0,0.0,0.48218724109362043,0.4664457332228666,0.4979287489643744,0.0,0.0,0.0,0.21225163242124023,0.20669734406278065,0.21834819440453784,0.0,0.0,0.0
road,2D,71,71,0.02272280293048382,0.018813158433332127,0.02679972142751983,-0.01813537389014088,-0.02325027790842147,-0.013086799054132887,0.004461034605136829,0.0020316683939166887,0.007391698180283772,0.050439248279953636,0.04000604321225292,0.06139663606841719,0.05490028288509047,0.04532588774220694,0.06508285171589097,0.0030382056382318302,0.0009968639659303717,0.005655725718417661,0.0410221887571745,0.031190765292284192,0.05136949734388612,0.002485501242750621,0.0,0.005799502899751449,0.04391052195526097,0.03231151615575808,0.05550952775476387,0.0022937145201714685,0.0010290203442160704,0.003875201746283335,0.020429088410312355,0.01621171106886642,0.024830999340373493
road,junction,71,71,0.06333267946426258,0.05372762981599935,0.07364003685965631,0.06257681514779043,0.05265053845941636,0.07317784222554063,0.15492207953267192,0.13234944410039615,0.17812700181706842,0.0009448303955902005,0.0,0.002190903815442,0.1558669099282621,0.13351532819274028,0.17883768161654806,0.14458603984618223,0.12236730881391099,0.16743102357957676,0.00037579601863401086,0.0,0.001090229538682685,0.1433305716652858,0.12178956089478042,0.1657000828500414,0.0008285004142502071,0.0,0.002485501242750621,0.06295474730602649,0.05321117996876344,0.07338291502941566,0.0003779321582360802,0.0,0.0008763615261768001
road,nonbacktracking,71,71,0.3146506395817082,0.30364615286446794,0.3259461453835104,0.3146506395817082,0.30364615286446794,0.3259461453835104,0.572975352112676,0.5417231514084508,0.604225352112676,0.0,0.0,0.0,0.572975352112676,0.5417231514084508,0.604225352112676,0.5623217429577468,0.5311597711267606,0.5934816241197184,0.0,0.0,0.0,0.5633802816901409,0.5343827671913836,0.5923985086992541,0.0,0.0,0.0,0.3146506395817082,0.30364615286446794,0.3259461453835104,0.0,0.0,0.0
water,CEBH,4,4,0.2621637844098029,0.23084039548022595,0.3022769552012149,0.2621637844098029,0.23084039548022595,0.3022769552012149,0.5913469610245073,0.5309170012740821,0.6396761786863042,0.0,0.0,0.0,0.5913469610245073,0.5309170012740821,0.6396761786863042,0.5819719610245074,0.5309170012740821,0.62746793334845,0.0,0.0,0.0,0.573529411764706,0.5441176470588235,0.5882352941176471,0.0,0.0,0.0,0.2621637844098029,0.23084039548022595,0.3022769552012149,0.0,0.0,0.0
water,2D,4,4,0.016575765456711578,0.004086669263005466,0.03540499855491683,0.005720032465856839,-0.010235628552212439,0.03148239521278842,0.0,0.0,0.0,0.012794535690265549,0.0,0.025589071380531098,0.012794535690265549,0.0,0.025589071380531098,0.0,0.0,0.0,0.004982035690265507,0.0,0.009964071380531014,0.0,0.0,0.0,0.0,0.0,0.0,0.011147898961284208,0.0,0.033443696883852625,0.005427866495427369,0.0006201044386422994,0.010235628552212439
water,junction,4,4,0.228946795005111,0.18872493625195097,0.27241171910423695,0.228946795005111,0.18872493625195097,0.27241171910423695,0.5083044875127775,0.46703487027223345,0.5447966343956776,0.0,0.0,0.0,0.5083044875127775,0.46703487027223345,0.5447966343956776,0.49892948751277755,0.4529723702722335,0.5447966343956776,0.0,0.0,0.0,0.4852941176470589,0.4411764705882353,0.5294117647058824,0.0,0.0,0.0,0.228946795005111,0.18872493625195097,0.27241171910423695,0.0,0.0,0.0
water,nonbacktracking,4,4,0.3378412370690611,0.2819124813256372,0.41593454912063677,0.3378412370690611,0.2819124813256372,0.41593454912063677,0.7805405926726527,0.6876812399338577,0.8788988728015917,0.0,0.0,0.0,0.7805405926726527,0.6876812399338577,0.8788988728015917,0.7711655926726528,0.6783062399338576,0.8788988728015917,0.0,0.0,0.0,0.75,0.676470588235294,0.8382352941176471,0.0,0.0,0.0,0.3378412370690611,0.2819124813256372,0.41593454912063677,0.0,0.0,0.0
