candidate_id,slot_id,macro_region,slot_rank,role,city,country,query,acquisition_order,protocol_frozen_utc,inclusion_criteria,fallback_rule,threshold_informed_exclusion_allowed,dist_m,dist_type,network_type,simplify,retain_all,truncate_by_edge
ER11P,ER11,Africa,1,primary,Abidjan,Ivory Coast,"Abidjan, Ivory Coast",1,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER11F,ER11,Africa,1,fallback,Kumasi,Ghana,"Kumasi, Ghana",1,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER21P,ER21,Asia,1,primary,Chengdu,China,"Chengdu, China",2,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER21F,ER21,Asia,1,fallback,Xi'an,China,"Xi'an, China",2,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER31P,ER31,Europe,1,primary,Stockholm,Sweden,"Stockholm, Sweden",3,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER31F,ER31,Europe,1,fallback,Helsinki,Finland,"Helsinki, Finland",3,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER41P,ER41,Latin America,1,primary,Medellin,Colombia,"Medellin, Colombia",4,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER41F,ER41,Latin America,1,fallback,Cali,Colombia,"Cali, Colombia",4,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER51P,ER51,Middle East,1,primary,Ankara,Turkey,"Ankara, Turkey",5,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
ER51F,ER51,Middle East,1,fallback,Bursa,Turkey,"Bursa, Turkey",5,2026-09-05T08:41:19+00:00,"Named city outside R61 reference 71; finite geocoded centre; exact frozen 10-km bbox drive extraction; simple undirected graph after self-loop/isolate removal has at least 2 nodes and 1 edge; finite node coordinates. No lower size cutoff, morphology cutoff, threshold/error screen, or outcome exclusion.","Use only this slot's frozen fallback after primary acquisition fails within 3 total attempts or has a documented structural/geocoding failure. Retain all failures. Never activate fallback because of graph size (beyond nonempty minimum), topology, pc, predictor error, or decision performance.",false,10000,bbox,drive,true,false,true
