city,country,macro_region,n_nodes,n_edges,mean_degree,kappa,kappa_minus_1,pc_cebh,pc_nb,pc_road_rank,road_gap_cebh,road_minus_nb,nb_minus_cebh,abs_error_cebh,abs_error_nb,nb_improvement_over_cebh,rho_nb,nb_iterations,nb_converged,runtime_seconds,status,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share
Panama City,Panama,Latin America,9245,12302,2.6613304488912926,3.025768167777597,2.025768167777597,0.4936399020906064,0.3713437304833805,0.725,0.2313600979093936,0.3536562695166195,-0.12229617160722589,0.2313600979093936,0.3536562695166195,-0.12229617160722589,2.6929228041585453,387,True,1.220128059387207,pass,0.002600017627696718,0.0048095660553586555,0.9976980911185831,0.5543892550728384,0.008715556291277609,0.01670650029830689,0.9985726159517226
Hong Kong,China,Asia,9035,13245,2.9319313779745433,3.1497168742921855,2.1497168742921855,0.4651775366136339,0.3874249397681511,0.675,0.20982246338636612,0.2875750602318489,-0.0777525968454828,0.20982246338636612,0.2875750602318489,-0.0777525968454828,2.5811451389743665,237,True,0.8412444591522217,pass,0.0010666411103006177,0.0026147390683954335,0.9361896919004509,0.6591366810734809,0.0034907337034228592,0.008785376469122263,0.9484800658589927
Auckland,New Zealand,Oceania,12533,16775,2.67693289715152,2.9823546944858417,1.9823546944858417,0.5044505924099357,0.40326523179899515,0.725,0.22054940759006425,0.32173476820100483,-0.10118536061094058,0.22054940759006425,0.32173476820100483,-0.10118536061094058,2.479757542049753,307,True,1.3976752758026123,pass,0.0035170668179051057,0.007281140684908791,0.9965903385702902,0.5291426550318518,0.010374781021969967,0.022498703810032016,0.9964765349914807
Lagos,Nigeria,Africa,13226,17952,2.7146529562982007,3.01882798573975,2.01882798573975,0.4953369019369792,0.37192765663246796,0.75,0.2546630980630208,0.37807234336753204,-0.12340924530451125,0.2546630980630208,0.37807234336753204,-0.12340924530451125,2.6886949173241548,237,True,1.226254940032959,pass,0.002426375569662767,0.00440867670250678,0.999931457676552,0.5309230356726591,0.008086156714189214,0.015095540304476796,0.9999252626706413
Toronto,Canada,North America,12443,18430,2.962308125050229,3.220618556701031,2.220618556701031,0.4503249767873723,0.3770532815225108,0.65,0.1996750232126277,0.27294671847748925,-0.07327169526486155,0.1996750232126277,0.27294671847748925,-0.07327169526486155,2.6521450654456062,470,True,1.679067850112915,pass,0.0020188550666944685,0.004239429136715244,0.9924806485709889,0.5771863639341216,0.006612566100441873,0.014778027305980462,0.9929755835562011
San Francisco,United States,North America,11502,18546,3.224830464267084,3.4877062439340016,2.4877062439340016,0.4019767215033488,0.33410229110981815,0.6,0.1980232784966512,0.2658977088901818,-0.06787443039353064,0.1980232784966512,0.2658977088901818,-0.06787443039353064,2.993095308260858,214,True,1.409226417541504,pass,0.0010319318658226976,0.002853437413703678,0.9471678960551233,0.6438910294178335,0.003873403605686638,0.010278992587939493,0.9596850669622297
Singapore,Singapore,Asia,13478,19430,2.88321709452441,3.142151312403499,2.142151312403499,0.4668204315025708,0.4082911651582906,0.675,0.20817956849742925,0.26670883484170943,-0.058529266344280184,0.20817956849742925,0.26670883484170943,-0.058529266344280184,2.4492325216302673,640,False,1.5978105068206787,pass,0.0010046850145226424,0.002965356016321433,0.8846163627702708,0.681213983866727,0.0030212463792404494,0.009043468443865558,0.8891424495490898
Rio de Janeiro,Brazil,Latin America,14909,20774,2.7867730900798175,3.0861653990565125,2.0861653990565125,0.479348377866999,0.3720008582230763,0.7,0.22065162213300094,0.32799914177692363,-0.1073475196439227,0.22065162213300094,0.32799914177692363,-0.1073475196439227,2.6881658412743064,242,True,1.4060583114624023,pass,0.002764641912338116,0.006939980576940283,0.9977906237547849,0.5377720861479085,0.008634240696791548,0.020956226708970432,0.9980978909813529
Chicago,United States,North America,13260,21830,3.2926093514328807,3.525286303252405,2.525286303252405,0.3959947031400221,0.35141741852274283,0.6,0.20400529685997787,0.24858258147725715,-0.04457728461727928,0.20400529685997787,0.24858258147725715,-0.04457728461727928,2.8456187635880736,640,False,2.066534996032715,pass,0.0006251325408947549,0.0016036280942943312,0.8379367537952331,0.7064931981208937,0.0022631145725257977,0.006064841908674947,0.848572257338724
Montevideo,Uruguay,Latin America,13761,22450,3.2628442700385145,3.457193763919822,2.457193763919822,0.4069683126676818,0.34455245196144263,0.6,0.19303168733231818,0.25544754803855735,-0.06241586070623917,0.19303168733231818,0.25544754803855735,-0.06241586070623917,2.9023157266978488,640,False,1.741835117340088,pass,0.0009266261353519611,0.0016921817687162298,0.9777414317029862,0.6298548636841719,0.003475951173281777,0.006482124897869822,0.9829233455057742
Dubai,United Arab Emirates,Middle East,15724,22720,2.889849910964131,3.037235915492958,2.037235915492958,0.4908611675236571,0.3531916248640121,0.725,0.23413883247634287,0.37180837513598786,-0.13766954265964498,0.23413883247634287,0.37180837513598786,-0.13766954265964498,2.831324214964117,640,False,1.6415934562683105,pass,0.0032779236289499965,0.007238187933399601,0.9985201491287029,0.5115614161726478,0.011137477417858855,0.022713161667951356,0.9983215663197621
Vancouver,Canada,North America,14876,22751,3.058752352783006,3.3380510746780363,2.3380510746780363,0.4277066531310511,0.35669084712060356,0.625,0.1972933468689489,0.26830915287939644,-0.07101580601044755,0.1972933468689489,0.26830915287939644,-0.07101580601044755,2.803548249338403,503,True,2.159477949142456,pass,0.001549904201967247,0.002906745140376672,0.9856660025459508,0.5859991621650731,0.005503179145432137,0.01062837699825824,0.987036394645112
Warsaw,Poland,Europe,17582,24341,2.7688545102946196,3.0829875518672196,2.0829875518672196,0.4800796812749004,0.3999777761203059,0.7,0.21992031872509954,0.30002222387969407,-0.08010190515459453,0.21992031872509954,0.30002222387969407,-0.08010190515459453,2.5001389069657174,640,False,2.3658435344696045,pass,0.002258167329581263,0.004841794369637379,0.9821563620152847,0.5659445287598072,0.007185790476303921,0.015168047456590596,0.9816419847444731
Taipei,Taiwan,Asia,16388,24900,3.0388088845496704,3.3165060240963857,2.3165060240963857,0.431684610183596,0.3458890496565069,0.6,0.16831538981640398,0.25411095034349307,-0.08579556052708909,0.16831538981640398,0.25411095034349307,-0.08579556052708909,2.8911004872605046,117,True,1.8315880298614502,pass,0.0012961863318731363,0.0036746614477034946,0.9829188692864643,0.6076322029072632,0.004410545153911927,0.011303052102654662,0.9850566430336992
Mumbai,India,Asia,18270,24999,2.7366174055829227,3.0725229009160366,2.0725229009160366,0.4825037154272258,0.373565043908325,0.725,0.24249628457277417,0.35143495609167497,-0.1089386715189008,0.24249628457277417,0.35143495609167497,-0.1089386715189008,2.676909995479678,428,True,2.009920835494995,pass,0.002715159581436503,0.005150326984615552,0.9996731676925439,0.5139835449141529,0.009053551747036115,0.01785760157769254,0.9997349315902581
Accra,Ghana,Africa,19183,25655,2.6747641140593235,2.9877606704346134,1.9877606704346134,0.5030786728370853,0.37639406006827775,0.725,0.22192132716291468,0.34860593993172223,-0.12668461276880755,0.22192132716291468,0.34860593993172223,-0.12668461276880755,2.6567900668214595,640,False,2.6290414333343506,pass,0.008259091509495303,0.013578980329266832,0.9986419246241207,0.42692234274653795,0.025376894313400372,0.04249538699311429,0.9985685317997967
Vienna,Austria,Europe,17629,26142,2.9657949968801405,3.243669191339607,2.243669191339607,0.4456985030858935,0.3180432953733044,0.675,0.22930149691410656,0.35695670462669565,-0.1276552077125891,0.22930149691410656,0.35695670462669565,-0.1276552077125891,3.14422600490995,236,True,2.2627854347229004,pass,0.011064859777258507,0.019178466391389225,0.9999888738773871,0.38832121638030515,0.03678013857469698,0.06222307907101596,0.9999811286618414
