city,country,macro_region,target_swap_fraction,n_records,mean_edge_jaccard,ci95_edge_jaccard_low,ci95_edge_jaccard_high,min_edge_jaccard,mean_edge_turnover_share,mean_accepted_swaps_per_edge,mean_acceptance_rate,mean_length_bin_tvd,max_degree_drift,mean_road_minus_geometry_fine,ci95_road_minus_geometry_fine_low,ci95_road_minus_geometry_fine_high,n_below_low_overlap_jaccard,n_below_090_jaccard,n_below_085_jaccard,pc_spatial_null,road_minus_spatial,spatial_null_gap,spatial_minus_low_overlap_geometry
Barcelona,Spain,Europe,0.04,1,0.8745934694939508,0.8745934694939508,0.8745934694939508,0.8745934694939508,0.0668979875086744,0.0396599583622484,0.0011014744145706,0.0,0.0,-0.01,-0.01,-0.01,1,1,0,0.55,0.0749999999999999,0.111185803249235,0.0849999999999999
Barcelona,Spain,Europe,0.08,1,0.8005747844558291,0.8005747844558291,0.8005747844558291,0.8005747844558291,0.1107564191533657,0.0739764052741152,0.0010272718512094,0.0,0.0,0.015,0.015,0.015,1,1,1,0.55,0.0749999999999999,0.111185803249235,0.0599999999999999
Chicago,United States,North America,0.04,1,0.912228451296426,0.912228451296426,0.912228451296426,0.912228451296426,0.0459001374255612,0.025698579935868,0.0007140129820542,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0999999999999999,0.1040052968599778,0.0999999999999999
Chicago,United States,North America,0.08,1,0.8650946217266863,0.8650946217266863,0.8650946217266863,0.8650946217266863,0.0723316536875858,0.0475492441594136,0.0006605574646811,0.0,0.0,0.005,0.005,0.005,1,1,0,0.5,0.0999999999999999,0.1040052968599778,0.09499999999999989
Dar es Salaam,Tanzania,Africa,0.04,1,0.8720813457193071,0.8720813457193071,0.8720813457193071,0.8720813457193071,0.0683296452759337,0.0399986588882183,0.0011269558777408,0.0,0.0,0.02,0.02,0.02,1,1,0,0.625,0.15,0.1174011640769924,0.13
Dar es Salaam,Tanzania,Africa,0.08,1,0.8032103019860343,0.8032103019860343,0.8032103019860343,0.8032103019860343,0.1091329712331522,0.0727217863608931,0.0010100586756077,0.0,0.0,0.05,0.05,0.05,1,1,1,0.625,0.15,0.1174011640769924,0.09999999999999999
Dubai,United Arab Emirates,Middle East,0.04,1,0.8703436921177197,0.8703436921177197,0.8703436921177197,0.8703436921177197,0.0693221830985915,0.0400088028169014,0.0012012956548515,0.0,0.0,-0.04,-0.04,-0.04,1,1,0,0.65,0.0749999999999999,0.1591388324763429,0.11499999999999991
Dubai,United Arab Emirates,Middle East,0.08,1,0.7828696982775533,0.7828696982775533,0.7828696982775533,0.7828696982775533,0.1217869718309859,0.0800176056338028,0.0011194271094704,0.0,0.0,-0.03,-0.03,-0.03,1,1,1,0.65,0.0749999999999999,0.1591388324763429,0.1049999999999999
Hong Kong,China,Asia,0.04,1,0.902060745314856,0.902060745314856,0.902060745314856,0.902060745314856,0.0514911287278218,0.0299735749339373,0.0008322851153039,0.0,0.0,-0.035,-0.035,-0.035,0,0,0,0.6,0.075,0.134822463386366,0.11
Hong Kong,China,Asia,0.08,1,0.8430390315174285,0.8430390315174285,0.8430390315174285,0.8430390315174285,0.0851642129105322,0.052170630426576,0.0007243186582809,0.0,0.0,-0.0499999999999999,-0.0499999999999999,-0.0499999999999999,1,1,1,0.6,0.075,0.134822463386366,0.12499999999999989
Montevideo,Uruguay,Latin America,0.04,1,0.8990018609372357,0.8990018609372357,0.8990018609372357,0.8990018609372357,0.0531848552338529,0.0317594654788418,0.0008822073744122,0.0,0.0,0.03,0.03,0.03,1,1,0,0.525,0.0749999999999999,0.1180316873323182,0.0449999999999999
Montevideo,Uruguay,Latin America,0.08,1,0.837152209492635,0.837152209492635,0.837152209492635,0.837152209492635,0.088641425389755,0.0588418708240534,0.0008172482058896,0.0,0.0,-0.06,-0.06,-0.06,1,1,1,0.525,0.0749999999999999,0.1180316873323182,0.1349999999999999
Nairobi,Kenya,Africa,0.04,1,0.8721409574468085,0.8721409574468085,0.8721409574468085,0.8721409574468085,0.0682956280853783,0.0399900557587811,0.0011765209877342,0.0,0.0,-0.01,-0.01,-0.01,1,1,0,0.675,0.1499999999999999,0.1316907863000482,0.15999999999999992
Nairobi,Kenya,Africa,0.08,1,0.7969303423848878,0.7969303423848878,0.7969303423848878,0.7969303423848878,0.1130091984231275,0.0766772028270057,0.0010647531686146,0.0,0.0,-0.005,-0.005,-0.005,1,1,1,0.675,0.1499999999999999,0.1316907863000482,0.15499999999999992
Rio de Janeiro,Brazil,Latin America,0.04,1,0.8911242603550296,0.8911242603550296,0.8911242603550296,0.8911242603550296,0.0575719649561952,0.0335996919225955,0.0009332798502473,0.0,0.0,0.005,0.005,0.005,1,1,0,0.6,0.0999999999999999,0.1206516221330009,0.09499999999999989
Rio de Janeiro,Brazil,Latin America,0.08,1,0.823320314214245,0.823320314214245,0.823320314214245,0.823320314214245,0.0968999711177432,0.062626359872918,0.0008697686856531,0.0,0.0,-0.005,-0.005,-0.005,1,1,1,0.6,0.0999999999999999,0.1206516221330009,0.1049999999999999
Seattle,United States,North America,0.04,1,0.8684386787464307,0.8684386787464307,0.8684386787464307,0.8684386787464307,0.0704124372665182,0.0399984906229953,0.0012482806700205,0.0,0.0,0.01,0.01,0.01,1,1,0,0.55,0.0999999999999999,0.1082283123291325,0.0899999999999999
Seattle,United States,North America,0.08,1,0.7874679616889249,0.7874679616889249,0.7874679616889249,0.7874679616889249,0.1189011735406211,0.0799969812459907,0.0012161360603845,0.0,0.0,-0.0399999999999999,-0.0399999999999999,-0.0399999999999999,1,1,1,0.55,0.0999999999999999,0.1082283123291325,0.1399999999999998
Singapore,Singapore,Asia,0.04,1,0.870337392308803,0.870337392308803,0.870337392308803,0.870337392308803,0.0693257848687596,0.0396809058157488,0.0011025311025311,0.0,0.0,-0.005,-0.005,-0.005,1,1,0,0.6,0.075,0.1331795684974291,0.08
Singapore,Singapore,Asia,0.08,1,0.7979919492897793,0.7979919492897793,0.7979919492897793,0.7979919492897793,0.1123520329387545,0.0731343283582089,0.001016016016016,0.0,0.0,-0.0249999999999999,-0.0249999999999999,-0.0249999999999999,1,1,1,0.6,0.075,0.1331795684974291,0.0999999999999999
Sydney,Australia,Oceania,0.04,1,0.8754270855380522,0.8754270855380522,0.8754270855380522,0.8754270855380522,0.0664237577789959,0.03798407119595,0.0010547049870176,0.0,0.0,0.02,0.02,0.02,1,1,0,0.625,0.0749999999999999,0.137703675188159,0.054999999999999896
Sydney,Australia,Oceania,0.08,1,0.8048652738171449,0.8048652738171449,0.8048652738171449,0.8048652738171449,0.1081159513752297,0.0710992164576145,0.000987505038291,0.0,0.0,0.02,0.02,0.02,1,1,1,0.625,0.0749999999999999,0.137703675188159,0.054999999999999896
Taipei,Taiwan,Asia,0.04,1,0.8837948252383114,0.8837948252383114,0.8837948252383114,0.8837948252383114,0.0616867469879518,0.0362248995983935,0.0010062472110664,0.0,0.0,0.005,0.005,0.005,1,1,0,0.55,0.0499999999999999,0.118315389816404,0.0449999999999999
Taipei,Taiwan,Asia,0.08,1,0.8084758688310274,0.8084758688310274,0.8084758688310274,0.8084758688310274,0.1059036144578313,0.0691164658634538,0.0009599509147701,0.0,0.0,0.0,0.0,0.0,1,1,1,0.55,0.0499999999999999,0.118315389816404,0.0499999999999999
