city,domain,pc_obs,pc_cebh,mean_degree,fc_obs,fc_cebh,fc_derived,overrating
Accra,road,0.725,0.5030786728370853,2.6747641140593235,0.275,0.4969213271629147,0.25227051257064903,0.22192132716291468
Addis Ababa,road,0.7,0.482274189457948,2.8295156427424724,0.30000000000000004,0.517725810542052,0.29316524362398466,0.21772581054205198
Algiers,road,0.75,0.5065855241235377,2.661843984702576,0.25,0.49341447587646226,0.24864116323351237,0.24341447587646226
Cairo,road,0.7,0.4905812814983452,2.762988962659111,0.30000000000000004,0.5094187185016548,0.27614622170796066,0.20941871850165472
Casablanca,road,0.675,0.4598827284198025,3.019002761084944,0.32499999999999996,0.5401172715801975,0.33752958898213903,0.21511727158019756
Dakar,road,0.7,0.4600377595972308,3.01348518725545,0.30000000000000004,0.5399622404027692,0.33631663150084634,0.23996224040276914
Dar es Salaam,road,0.775,0.5075988359230076,2.6735389028325565,0.22499999999999998,0.4924011640769924,0.25192784818614633,0.26740116407699244
Johannesburg,road,0.65,0.454250595097234,2.9250627465041235,0.35,0.545749404902766,0.3162539838195636,0.19574940490276604
Kampala,road,0.825,0.574452139397388,2.3041723494864588,0.17500000000000004,0.42554786060261196,0.13200937401850643,0.2505478606026119
Lagos,road,0.75,0.4953369019369792,2.7146529562982007,0.25,0.5046630980630208,0.2632575757575758,0.2546630980630208
Nairobi,road,0.825,0.5433092136999518,2.452700348432056,0.17500000000000004,0.4566907863000482,0.18457222005185225,0.2816907863000482
Tunis,road,0.7,0.4801932298410621,2.8892789109822137,0.30000000000000004,0.519806770158938,0.30778576190828955,0.2198067701589379
Bangkok,road,0.85,0.5689051824695883,2.2628538964113245,0.15000000000000002,0.4310948175304117,0.11616034814628828,0.28109481753041166
Bengaluru,road,0.7,0.487624045120297,2.695482305119528,0.30000000000000004,0.512375954879703,0.2580177594928369,0.21237595487970296
Chennai,road,0.725,0.498448919501551,2.6802374893977947,0.275,0.501551080498449,0.2537974683544304,0.22655108049844896
Delhi,road,0.7,0.4689645379225219,2.8958888401740244,0.30000000000000004,0.5310354620774781,0.30936575594531013,0.23103546207747805
Dhaka,road,0.725,0.501127631139325,2.674616884926164,0.275,0.498872368860675,0.2522293524460373,0.22387236886067496
Hanoi,road,0.75,0.4889668023341342,2.720736698499318,0.25,0.5110331976658657,0.26490497919069356,0.26103319766586575
Ho Chi Minh City,road,0.725,0.5059497146863499,2.567982998072456,0.275,0.49405028531365014,0.22117864428961853,0.21905028531365012
Hong Kong,road,0.675,0.4651775366136339,2.931931377974544,0.32499999999999996,0.5348224633863661,0.31785579463948677,0.20982246338636612
Hyderabad,road,0.75,0.4881558622014944,2.683174048608078,0.25,0.5118441377985057,0.2546141384165821,0.2618441377985057
Jakarta,road,0.7,0.512325721577254,2.609137662958976,0.30000000000000004,0.487674278422746,0.2334632133852853,0.18767427842274598
Karachi,road,0.675,0.4466206054300997,3.0290666462152007,0.32499999999999996,0.5533793945699004,0.33973060563095003,0.22837939456990042
Kuala Lumpur,road,0.7,0.4969016115517276,2.74092387069035,0.30000000000000004,0.5030983884482725,0.2703190258632522,0.20309838844827244
Manila,road,0.65,0.4492979529208324,2.934929599872723,0.35,0.5507020470791676,0.3185526494104892,0.2007020470791676
Mumbai,road,0.725,0.4825037154272258,2.7366174055829227,0.275,0.5174962845727742,0.2691707668306732,0.24249628457277417
Osaka,road,0.625,0.4467357272621854,3.0,0.375,0.5532642727378145,0.33333333333333337,0.17826427273781453
Seoul,road,0.675,0.4516653899369949,2.9877833208940565,0.32499999999999996,0.5483346100630051,0.33060741519852743,0.22333461006300515
Singapore,road,0.675,0.4668204315025708,2.88321709452441,0.32499999999999996,0.5331795684974292,0.30633041688111173,0.20817956849742925
Taipei,road,0.6,0.431684610183596,3.0388088845496704,0.4,0.568315389816404,0.3418473895582329,0.16831538981640393
Tokyo,road,0.625,0.4276266169078313,3.158308244650878,0.375,0.5723733830921687,0.3667495870970373,0.19737338309216867
Amsterdam,road,0.7,0.466680857102313,2.8349640101719755,0.30000000000000004,0.533319142897687,0.29452367196764684,0.23331914289768696
Athens,road,0.625,0.4135569642707098,3.231728892698853,0.375,0.5864430357292902,0.3811362071495491,0.21144303572929024
Barcelona,road,0.625,0.438814196750765,3.086644532505088,0.375,0.561185803249235,0.3520471894517698,0.18618580324923495
Lisbon,road,0.75,0.4955161486076462,2.7538784381323542,0.25,0.5044838513923537,0.27375153082051984,0.25448385139235374
London,road,0.775,0.5199847165924646,2.589373978863773,0.22499999999999998,0.4800152834075354,0.227612536340692,0.25501528340753543
Milan,road,0.65,0.4648772408417771,2.9665436176413444,0.35,0.5351227591582228,0.32581473331237554,0.18512275915822285
Paris,road,0.65,0.453974052043998,2.987116331943918,0.35,0.546025947956002,0.33045794748192314,0.19602594795600203
