city,country,macro_region,n_nodes,n_edges,street_form_bottleneck_index,street_form_bottleneck_quartile,dead_end_share,bridge_edge_share,articulation_point_share,cycle_density,largest_biconnected_node_fraction,dual_degree_mean,road_gap,road_minus_spatial,road_minus_geometry_mean,geometry_absorption_fraction_of_road_gap
Buenos Aires,Argentina,Latin America,21642,37472,-3.6102044805040983,Q1 low bottleneck / high redundancy,0.0423251085851584,0.0265531596925704,0.0426023472876813,0.7314943166065982,0.9508363367526108,5.254643467122118,0.1943842622218158,0.0749999999999999,0.0,0.3858337045537971
New York City,United States,North America,20109,34130,-3.2038587898223585,Q1 low bottleneck / high redundancy,0.05524889353026,0.0353940814532669,0.0572877815903326,0.6972997165448307,0.9343577502610771,5.159390565484911,0.1873573172809358,0.0749999999999999,0.0,0.4003046216099476
Chicago,United States,North America,13260,21830,-2.706353092678768,Q1 low bottleneck / high redundancy,0.0728506787330316,0.0464956481905634,0.0729260935143288,0.6463800904977376,0.9196078431372549,5.05057260650481,0.2040052968599778,0.0999999999999999,0.0,0.4901833508207213
Montevideo,Uruguay,Latin America,13761,22450,-2.585921785612708,Q1 low bottleneck / high redundancy,0.0676549669355424,0.0451224944320712,0.0685269965845505,0.6314948041566747,0.9209359784899354,4.914387527839644,0.1930316873323181,0.0749999999999999,0.025,0.2590248300214112
Athens,Greece,Europe,54827,88593,-2.5484698818812825,Q1 low bottleneck / high redundancy,0.0637277253907746,0.0421252243405235,0.0632170281065898,0.6158826855381473,0.929943276123078,4.836093145056608,0.2114430357292901,0.0999999999999999,0.0,0.4729406180491544
Miami,United States,North America,17983,28736,-2.395943569849869,Q1 low bottleneck / high redundancy,0.0639492854362453,0.0441606347438752,0.0657287438136017,0.5980092309403325,0.923316465550798,4.775194877505568,0.1811689258125637,0.0749999999999999,-0.025,0.5519710378117454
Tokyo,Japan,Asia,62113,98086,-2.3016384930923817,Q1 low bottleneck / high redundancy,0.0624506947015922,0.0423098097587831,0.0630624828940801,0.5791702220147151,0.9322203081480528,4.676977346410293,0.1973733830921686,0.0999999999999999,0.0,0.5066539288800775
Montreal,Canada,North America,20313,32065,-2.2290656047406756,Q1 low bottleneck / high redundancy,0.0638999655393098,0.0467799781693435,0.0708413331364151,0.5785949884310541,0.9140944222911436,4.7262747544051145,0.2018337424446379,0.0999999999999999,0.0,0.4954572946465057
Riyadh,Saudi Arabia,Middle East,52112,79423,-2.1213141473379067,Q1 low bottleneck / high redundancy,0.0355196499846484,0.0270954257582816,0.0375345409886398,0.5241019342953638,0.948783389622352,4.286667589992823,0.2084371144921578,0.1,0.0,0.4797610072641952
San Francisco,United States,North America,11502,18546,-2.0997656525413335,Q1 low bottleneck / high redundancy,0.0958094244479221,0.066968618570042,0.0995479047122239,0.6125021735350373,0.8803686315423405,4.975412487868004,0.1980232784966512,0.0749999999999999,0.0,0.378743350627175
Barcelona,Spain,Europe,18674,28820,-1.8084381875594304,Q1 low bottleneck / high redundancy,0.0738459890757202,0.0557251908396946,0.079415229731177,0.5433758166434615,0.9031808932205204,4.557737682165163,0.1861858032492349,0.0749999999999999,0.0,0.40282340914899
Lima,Peru,Latin America,49410,75796,-1.666055514325564,Q1 low bottleneck / high redundancy,0.0817041084800647,0.0599371998522349,0.0830803481076705,0.5340416919651892,0.901457194899818,4.5163597023589634,0.2071654757801135,0.0999999999999999,0.0,0.4827059123796303
Los Angeles,United States,North America,22280,34611,-1.6605146847105563,Q1 low bottleneck / high redundancy,0.100359066427289,0.0706711739042501,0.0994614003590664,0.5535008976660682,0.8886445242369838,4.706653953945278,0.1750696737916047,0.0749999999999999,0.0,0.4284008667844816
Casablanca,Morocco,Africa,36942,55764,-1.6530864856092835,Q1 low bottleneck / high redundancy,0.0684045260137512,0.0497094899935442,0.0705430133723133,0.509528450002707,0.9200909533863896,4.348934796642996,0.2151172715801975,0.1,0.0,0.4648627200662462
Dakar,Senegal,Africa,28624,43129,-1.5460067656122407,Q1 low bottleneck / high redundancy,0.0750069871436556,0.0542558371397435,0.0760201229737283,0.5067775293460034,0.912625768585802,4.347469220246238,0.2399622404027691,0.125,0.0,0.5209152897980591
Istanbul,Turkey,Middle East,48682,72909,-1.4329718553204025,Q1 low bottleneck / high redundancy,0.0792284622653136,0.0583878533514381,0.0808923215973049,0.497678813524506,0.9074195801322872,4.335541565513174,0.2136966149952546,0.1,0.0,0.4679531306671405
