graph_cache_file,status,n_nodes,n_edges_simple,n_cross_pairs_poly,n_cross_pairs_chord,chi_poly,chi_chord,bridge_tunnel_tagged_edge_share,cross_pairs_with_tagged_edge_share,seconds,city,country,macro_region,mean_degree,pc_cebh,pc_rank,road_gap,anchor_pc,anchor_deviation,spatial_resid_f0.01,spatial_resid_f0.02,geom_resid_f0.01,geom_resid_f0.02,noncross_marginal_f0.01,noncross_marginal_f0.02
accra_ghana__drive_10000m.pkl,ok,19183,25655,132,396,0.0051451958682518,0.0154355876047554,0.0079906450984213,1.0,1.9,Accra,Ghana,Africa,2.6747641140593235,0.5030786728370853,0.725,0.2219213271629146,0.747729487429351,-0.0303980086534952,0.0999999999999999,0.0999999999999999,-0.0083333333333333,0.0,-0.1083333333333332,-0.0999999999999999
auckland_new_zealand__drive_10000m.pkl,ok,12533,16775,348,602,0.0207451564828614,0.035886736214605,0.0177645305514158,1.0,2.2,Auckland,New Zealand,Oceania,2.67693289715152,0.5044505924099357,0.725,0.2205494075900642,0.747123695976155,-0.0296118247825739,0.0749999999999999,0.0749999999999999,-0.0416666666666666,-0.025,-0.1166666666666665,-0.0999999999999999
algiers_algeria__drive_10000m.pkl,ok,21703,28885,502,1316,0.0173792625930413,0.0455599792279729,0.0113207547169811,1.0,2.3,Algiers,Algeria,Africa,2.661843984702576,0.5065855241235377,0.75,0.2434144758764622,0.7513588367664876,-0.001808505736534,0.0999999999999999,0.0999999999999999,0.0,0.0,-0.0999999999999999,-0.0999999999999999
amsterdam_netherlands__drive_10000m.pkl,ok,23201,32887,799,1516,0.0242953142579134,0.0460972420713351,0.0557971234834433,1.0,2.8,Amsterdam,Netherlands,Europe,2.8349640101719755,0.466680857102313,0.7,0.2333191428976869,0.7054763280323532,-0.0077625964398085,0.0999999999999999,0.0999999999999999,0.0333333333333332,0.0083333333333333,-0.0666666666666666,-0.0916666666666665
barcelona_spain__drive_10000m.pkl,ok,18674,28820,1252,1794,0.043442054129077,0.0622484385843164,0.0242886884108258,1.0,3.3,Barcelona,Spain,Europe,3.086644532505088,0.438814196750765,0.625,0.1861858032492349,0.6479528105482303,-0.0354235835921601,0.0749999999999999,0.0749999999999999,0.0,-0.0083333333333333,-0.0749999999999999,-0.0833333333333332
chicago_united_states__drive_10000m.pkl,ok,13260,21830,915,1127,0.0419147961520842,0.0516262024736601,0.0336692624828218,1.0,2.0,Chicago,United States,North America,3.2926093514328807,0.3959947031400221,0.6,0.2040052968599778,0.6074209803023363,-0.0122171945701358,0.0999999999999999,0.0999999999999999,-0.0083333333333333,-0.0083333333333333,-0.1083333333333332,-0.1083333333333332
buenos_aires_argentina__drive_10000m.pkl,ok,21642,37472,991,1215,0.026446413321947,0.0324242100768573,0.0101942783945345,1.0,3.8,Buenos Aires,Argentina,Latin America,3.462896220312356,0.3806157377781841,0.575,0.1943842622218158,0.5775512382578991,-0.0044173366601977,0.0749999999999999,0.0749999999999999,0.0,0.0166666666666666,-0.0749999999999999,-0.0583333333333333
boston_united_states__drive_10000m.pkl,ok,24819,35843,1175,1743,0.0327818541974723,0.0486287420137823,0.0193622185642942,1.0,4.1,Boston,United States,North America,2.8883516660622908,0.4629981269779758,0.675,0.2120018730220242,0.6924364590017578,-0.0251813127039768,0.1,0.1,0.0,0.0,-0.1,-0.1
brisbane_australia__drive_10000m.pkl,ok,25339,35174,985,1420,0.0280036390515721,0.0403707283789162,0.0171433445158355,1.0,4.2,Brisbane,Australia,Oceania,2.776273728244998,0.4911197989388439,0.7,0.208880201061156,0.7203900608403935,-0.0283041951142508,0.0749999999999999,0.0749999999999999,-0.0083333333333333,-0.0083333333333333,-0.0833333333333332,-0.0833333333333332
dar_es_salaam_tanzania__drive_10000m.pkl,ok,22312,29826,29,345,0.0009723060417085,0.0115670891168778,0.0049285857976262,1.0,2.3,Dar es Salaam,Tanzania,Africa,2.6735389028325565,0.5075988359230076,0.775,0.2674011640769924,0.7480721518138537,0.0359963248476156,0.15,0.15,0.0083333333333333,0.0166666666666666,-0.1416666666666666,-0.1333333333333333
chennai_india__drive_10000m.pkl,ok,42444,56880,284,790,0.0049929676511954,0.0138888888888888,0.0077180028129395,1.0,5.1,Chennai,India,Asia,2.6802374893977947,0.498448919501551,0.725,0.2265510804984489,0.7462025316455696,-0.0284139100932994,0.125,0.125,0.0,0.0,-0.125,-0.125
dakar_senegal__drive_10000m.pkl,ok,28624,43129,150,761,0.0034779382781886,0.0176447401980106,0.0023649980291683,0.9933333333333332,3.2,Dakar,Senegal,Africa,3.01348518725545,0.4600377595972308,0.7,0.2399622404027691,0.6636833684991537,0.0547198155394075,0.125,0.125,0.0083333333333333,0.0166666666666666,-0.1166666666666667,-0.1083333333333333
addis_ababa_ethiopia__drive_10000m.pkl,ok,51078,72263,207,1171,0.0028645364847847,0.0162046967327678,0.0066700801239915,0.9758454106280192,5.6,Addis Ababa,Ethiopia,Africa,2.8295156427424724,0.482274189457948,0.7,0.2177258105420519,0.7068347563760153,-0.0096695250401347,0.0999999999999999,0.0999999999999999,-0.0166666666666666,-0.0083333333333333,-0.1166666666666665,-0.1083333333333332
hong_kong_china__drive_10000m.pkl,ok,9035,13245,2014,2558,0.1520573801434503,0.193129482823707,0.0752736881842204,0.993545183714002,1.3,Hong Kong,China,Asia,2.931931377974544,0.4651775366136339,0.675,0.2098224633863661,0.6821442053605133,-0.0104731599335914,0.075,0.075,0.0416666666666666,0.0166666666666666,-0.0333333333333333,-0.0583333333333333
casablanca_morocco__drive_10000m.pkl,ok,36942,55764,361,847,0.0064737106376873,0.0151890108313607,0.0024926475862563,1.0,5.5,Casablanca,Morocco,Africa,3.019002761084944,0.4598827284198025,0.675,0.2151172715801975,0.662470411017861,0.0189134318661685,0.1,0.1,0.0,0.0,-0.1,-0.1
dubai_united_arab_emirates__drive_10000m.pkl,ok,15724,22720,910,1623,0.0400528169014084,0.0714348591549295,0.0159330985915492,1.0,1.8,Dubai,United Arab Emirates,Middle East,2.889849910964131,0.4908611675236571,0.725,0.2341388324763428,0.6920774647887324,0.0475705927244975,0.0749999999999999,0.0749999999999999,0.0166666666666666,0.025,-0.0583333333333332,-0.0499999999999998
bogota_colombia__drive_10000m.pkl,ok,40772,60476,498,926,0.0082346716052648,0.0153118592499503,0.0081685296646603,1.0,6.0,Bogota,Colombia,Latin America,2.966545668596096,0.4493951193413192,0.65,0.2006048806586807,0.674184800582049,-0.0358726577062687,0.0999999999999999,0.0999999999999999,-0.0083333333333333,0.0,-0.1083333333333332,-0.0999999999999999
dhaka_bangladesh__drive_10000m.pkl,ok,35890,47996,607,1144,0.0126468872406033,0.0238353196099674,0.0140845070422535,0.9456342668863262,3.4,Dhaka,Bangladesh,Asia,2.674616884926164,0.501127631139325,0.725,0.2238723688606749,0.7477706475539627,-0.0304513792142656,0.0999999999999999,0.0999999999999999,0.0,0.0,-0.0999999999999999,-0.0999999999999999
hanoi_vietnam__drive_10000m.pkl,ok,29320,39886,637,1219,0.0159705159705159,0.0305621019906734,0.0137892995035852,0.9952904238618524,2.9,Hanoi,Vietnam,Asia,2.720736698499318,0.4889668023341342,0.75,0.2610331976658657,0.7350950208093064,0.0202762619372443,0.15,0.15,0.0416666666666666,0.0333333333333333,-0.1083333333333333,-0.1166666666666666
bangkok_thailand__drive_10000m.pkl,ok,63366,71694,2388,3784,0.0333082266298435,0.0527798700030686,0.0350377995369208,1.0,7.4,Bangkok,Thailand,Asia,2.2628538964113245,0.5689051824695883,0.85,0.2810948175304116,0.8838396518537117,-0.0382870940251871,0.125,0.125,-0.025,-0.025,-0.15,-0.15
lagos_nigeria__drive_10000m.pkl,ok,13226,17952,289,854,0.0160984848484848,0.0475713012477718,0.0249554367201426,1.0,1.7,Lagos,Nigeria,Africa,2.7146529562982007,0.4953369019369792,0.75,0.2546630980630208,0.7367424242424242,0.0179948586118252,0.125,0.125,0.0166666666666666,0.025,-0.1083333333333333,-0.0999999999999999
athens_greece__drive_10000m.pkl,ok,54827,88593,744,1307,0.0083979546916799,0.0147528585779914,0.0041425394782883,1.0,7.7,Athens,Greece,Europe,3.231728892698853,0.4135569642707098,0.625,0.2114430357292901,0.6188637928504509,0.0099152789683916,0.0999999999999999,0.0999999999999999,0.0,0.0,-0.0999999999999999,-0.0999999999999999
ho_chi_minh_city_vietnam__drive_10000m.pkl,ok,40466,51958,610,1244,0.0117402517417914,0.0239424150275222,0.0170522344970938,0.978688524590164,3.7,Ho Chi Minh City,Vietnam,Asia,2.567982998072456,0.5059497146863499,0.725,0.2190502853136501,0.7788213557103815,-0.0691061631987347,0.125,0.125,-0.0249999999999999,-0.0166666666666666,-0.15,-0.1416666666666666
johannesburg_south_africa__drive_10000m.pkl,ok,22312,32632,712,1255,0.0218190733022799,0.0384591811718558,0.0155675410639862,1.0,2.8,Johannesburg,South Africa,Africa,2.9250627465041235,0.454250595097234,0.65,0.195749404902766,0.6837460161804364,-0.0493546073861598,0.075,0.075,-0.025,-0.025,-0.1,-0.1
kampala_uganda__drive_10000m.pkl,ok,35927,41391,90,513,0.0021743857360295,0.0123939986953685,0.0042279722645019,0.9222222222222224,3.2,Kampala,Uganda,Africa,2.3041723494864588,0.574452139397388,0.825,0.2505478606026119,0.8679906259814936,-0.0495289058368357,0.125,0.125,0.0,0.0,-0.125,-0.125
