city,replicate,n_nodes,n_edges,lcc_fraction_p1,pc_cebh_null,pc_rank_null,pc_rank_ci_low,pc_rank_ci_high,threshold_boundary_hit
Berlin,1,28407,42282,0.994579,0.445618,0.474985,0.464985,0.484985,False
Berlin,2,28407,42282,0.994966,0.445646,0.464985,0.464985,0.474985,False
Berlin,3,28407,42282,0.995353,0.445646,0.464985,0.464985,0.474985,False
Berlin,4,28407,42281,0.995001,0.44565,0.474985,0.464985,0.474985,False
Berlin,5,28407,42281,0.993769,0.445645,0.474985,0.464985,0.474985,False
Berlin,6,28407,42284,0.995388,0.445606,0.474985,0.464985,0.474985,False
Buenos Aires,1,17908,31603,1.0,0.375101,0.394939,0.394939,0.404939,False
Buenos Aires,2,17908,31603,0.999888,0.375119,0.394939,0.394939,0.404939,False
Buenos Aires,3,17908,31600,0.999442,0.375132,0.394939,0.394939,0.404939,False
Buenos Aires,4,17908,31605,0.999888,0.375089,0.394939,0.394939,0.404939,False
Buenos Aires,5,17908,31599,0.999888,0.375142,0.394939,0.394939,0.404939,False
Buenos Aires,6,17908,31603,0.999888,0.375101,0.394939,0.394939,0.394939,False
Chicago,1,29581,48964,0.998715,0.393551,0.423386,0.413386,0.423386,False
Chicago,2,29581,48964,0.998242,0.393551,0.413386,0.413386,0.423386,False
Chicago,3,29581,48966,0.997904,0.393526,0.423386,0.413386,0.423386,False
Chicago,4,29581,48964,0.997836,0.393544,0.423386,0.413386,0.423386,False
Chicago,5,29581,48963,0.997667,0.393555,0.413386,0.413386,0.423386,False
Chicago,6,29581,48965,0.998175,0.393543,0.413386,0.413386,0.423386,False
Madrid,1,31430,48012,0.998282,0.449395,0.469106,0.469106,0.479106,False
Madrid,2,31430,48010,0.997996,0.449406,0.479106,0.469106,0.479106,False
Madrid,3,31430,48008,0.999045,0.449429,0.469106,0.469106,0.479106,False
Madrid,4,31430,48011,0.998664,0.449402,0.479106,0.469106,0.479106,False
Madrid,5,31430,48009,0.998855,0.449421,0.469106,0.469106,0.479106,False
Madrid,6,31430,48010,0.997964,0.449414,0.479106,0.469106,0.479106,False
Rotterdam,1,11445,16408,0.993709,0.464093,0.492401,0.492401,0.502401,False
Rotterdam,2,11445,16408,0.993185,0.46408,0.492401,0.482401,0.512401,False
Rotterdam,3,11445,16410,0.994059,0.464018,0.502401,0.492401,0.502401,False
Rotterdam,4,11445,16410,0.991962,0.464044,0.502401,0.492401,0.502401,False
Rotterdam,5,11445,16407,0.992311,0.464156,0.492401,0.492401,0.492401,False
Rotterdam,6,11445,16411,0.991962,0.464007,0.492401,0.492401,0.502401,False
Stockholm,1,13781,18173,0.976054,0.496693,0.533601,0.523601,0.543601,False
Stockholm,2,13781,18174,0.978086,0.496652,0.523601,0.513601,0.543601,False
Stockholm,3,13781,18173,0.97736,0.49672,0.533601,0.523601,0.543601,False
Stockholm,4,13781,18173,0.976489,0.496693,0.523601,0.523601,0.533601,False
Stockholm,5,13781,18173,0.976272,0.496693,0.523601,0.523601,0.543601,False
Stockholm,6,13781,18172,0.977723,0.496761,0.533601,0.523601,0.533601,False
Sydney,1,118520,158616,0.984391,0.506487,0.525461,0.525461,0.525461,False
Sydney,2,118520,158617,0.983328,0.50648,0.525461,0.525461,0.525461,False
Sydney,3,118520,158617,0.983589,0.506477,0.525461,0.525461,0.525461,False
Sydney,4,118520,158618,0.98456,0.506476,0.525461,0.525461,0.525461,False
Sydney,5,118520,158618,0.983986,0.506476,0.525461,0.525461,0.525461,False
Sydney,6,118520,158614,0.984619,0.506489,0.525461,0.525461,0.525461,False
Toronto,1,27438,39867,0.995153,0.461242,0.48937,0.48937,0.48937,False
Toronto,2,27438,39867,0.993403,0.461242,0.47937,0.47937,0.48937,False
Toronto,3,27438,39867,0.994351,0.461231,0.48937,0.47937,0.49937,False
Toronto,4,27438,39869,0.994169,0.461223,0.48937,0.48937,0.48937,False
Toronto,5,27438,39867,0.995517,0.461253,0.48937,0.47937,0.48937,False
Toronto,6,27438,39866,0.994387,0.461273,0.48937,0.47937,0.48937,False
