city,country,macro_region,latitude,longitude,window_radius_m,bbox_area_km2,n_nodes,n_edges,pc_cebh,pc_rank,road_gap,node_density_per_km2,edge_density_per_km2,chord_length_density_km_per_km2,edge_length_mean_m,edge_length_median_m,edge_length_iqr_m,edge_length_cv,short_edge_share_lt40m,long_edge_share_gt150m,orientation_entropy,orientation_dominance,orientation_fourfold_order,orthogonal_alignment_share_10deg,dead_end_share,degree2_share,degree3_share,degree4plus_share,mean_degree,kappa,degree_gini,connected_components,cyclomatic_number,cycle_density,arterial_length_share,collector_length_share,local_length_share,motorway_trunk_length_share,residential_length_share,oneway_length_share,bridge_tunnel_length_share,maxspeed_coverage_share,lanes_coverage_share,edge_circuity_mean,edge_circuity_median,graph_cache_file,selection_reason
Amsterdam,Netherlands,Europe,52.3730796,4.8924534,10000,400.0,23201,32887,0.466680857102313,0.7,0.2333191428976869,58.0025,82.2175,7.950673284534412,96.7029316694671,59.15606744263849,79.82278675617601,1.7667545610657238,0.3560069328306017,0.1485997506613555,0.9888378756553252,0.0795147018578769,0.1388612213854634,0.2758536807857208,0.1549933192534804,0.05517003577432,0.6000603422266282,0.1897763027455713,2.8349640101719755,3.142791984674796,0.162610763581011,1,9687,0.4175251066764364,0.1860659804066756,0.3361903086644744,0.4470573940081732,0.0771675175951595,0.4322384372905797,0.2971628893604442,0.1479193441551307,0.9943583272402958,0.3607738827697238,1.081457142517727,1.0000658244781906,cache\R61_osmnx_city_windows\amsterdam_netherlands__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Dubai,United Arab Emirates,Middle East,25.0742823,55.1885387,10000,400.0,15724,22720,0.4908611675236571,0.725,0.2341388324763428,39.31,56.8,6.60494420132268,116.28422889652606,48.658611014484585,107.18142312416556,1.6527200499130923,0.4496478873239437,0.2167693661971831,0.970867041371218,0.1158890845070422,0.2110674438568342,0.1860035211267605,0.0742177562961078,0.04152887306029,0.8138514372933096,0.0704019333502925,2.889849910964131,3.037235915492958,0.085068823651653,1,6997,0.4449885525311625,0.2698389245021503,0.2857534107103507,0.4444076647874958,0.1194477232192973,0.4448105133610683,0.4933349967536674,0.0582911831322236,0.3295443229516884,0.5680950842645872,1.0613251769606409,1.0007676612355976,cache\R61_osmnx_city_windows\dubai_united_arab_emirates__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Dar es Salaam,Tanzania,Africa,-6.8160837,39.2803583,10000,400.0,22312,29826,0.5075988359230076,0.775,0.2674011640769924,55.78,74.565,6.999268545538773,93.8680150947331,70.1778613050495,74.85325664815514,1.080956128918812,0.2358680346006839,0.1517803258901629,0.9973032911934006,0.0730235365117682,0.075648164508054,0.2626567424394823,0.1989960559340265,0.015328074578702,0.69935460738616,0.0863212621011115,2.6735389028325565,2.970059679474284,0.1523050241538366,1,7515,0.3368142703477949,0.0650188799157956,0.1601020219351017,0.765700525849967,0.0191283522250757,0.7673214054007031,0.0513202851293034,0.0147894481000133,0.0231894485628717,0.0744137614265676,1.044086616627536,1.0017553598404396,cache\R61_osmnx_city_windows\dar_es_salaam_tanzania__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Rio de Janeiro,Brazil,Latin America,-22.9110137,-43.2093727,10000,400.0,14909,20774,0.479348377866999,0.7,0.2206516221330009,37.2725,51.935,5.438258599539413,104.71278712889983,75.18712081835731,93.37760681819351,1.624346650765552,0.2847790507364975,0.1946182728410513,0.9925510127240516,0.0729276980841436,0.1429342079866616,0.204678925580052,0.1734522771480313,0.0218659869877255,0.6530954457039372,0.1515862901603058,2.786773090079817,3.0861653990565125,0.155408283117638,1,5866,0.3934536186196257,0.2194902981761436,0.1463910387969163,0.6235415755698811,0.0791828978622218,0.5977667228960405,0.3630133657228255,0.0703036339352892,0.1875794367888608,0.4128424350680603,1.0622339635938507,1.0000067785397797,cache\R61_osmnx_city_windows\rio_de_janeiro_brazil__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Kuala Lumpur,Malaysia,Asia,3.1516964,101.6942371,10000,400.0,37213,50999,0.4969016115517276,0.7,0.2030983884482723,93.0325,127.4975,12.727623937529042,99.82645885236214,64.61157815920433,85.61724050931359,1.4252528310813657,0.2900252946136198,0.179415282652601,0.9841540457152068,0.0935312457107002,0.1557978623881939,0.3469087629169199,0.1679789320936232,0.0275172654717437,0.7035175879396985,0.1009862144949345,2.74092387069035,3.0124708327614265,0.1427368138085059,1,13787,0.3704888076747373,0.1980633952523319,0.2167895953140674,0.585147009433597,0.1094949229655301,0.5886331127495635,0.3030850331709117,0.0947497582516253,0.107834324036668,0.3898700902046889,1.055275975354076,1.0000000445201975,cache\R61_osmnx_city_windows\kuala_lumpur_malaysia__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Seattle,United States,North America,47.6038321,-122.330062,10000,400.0,17570,26501,0.4417716876708675,0.65,0.2082283123291324,43.925,66.2525,6.765278020920851,102.11355074783368,85.47984577203192,88.2400651863224,1.1857856542597065,0.2439153239500396,0.2016905022451983,0.8173280469077179,0.1985585449605675,0.4385007426654307,0.6430700728274404,0.1118952760387023,0.0196926579396698,0.6164484917472965,0.2519635742743312,3.0166192373363687,3.2636126938606087,0.1359832277889794,1,8932,0.5083665338645418,0.1988618396229815,0.1535882378428866,0.6466285959605269,0.0477627014850942,0.6480354683648502,0.0938231152404957,0.043484017982682,0.9216373975478376,0.6749651656016412,1.0309252834449054,1.0000060656287066,cache\R61_osmnx_city_windows\seattle_united_states__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Sydney,Australia,Oceania,-33.8698439,151.2082848,10000,400.0,22215,31013,0.487296324811841,0.7,0.2127036751881589,55.5375,77.5325,8.301869717569696,107.07599674420013,81.90692717240803,101.52123676608936,1.278249012356002,0.2752716602714991,0.2192628897559088,0.982375162743006,0.1019572437364976,0.154949605246729,0.2874923419211298,0.151114112086428,0.0302498311951384,0.6986720684222373,0.1199639882961962,2.792077425163178,3.052139425402251,0.138569391289876,1,8799,0.3960837272113436,0.1968604239052299,0.150276617861466,0.6517969024151874,0.0658387069902091,0.648884836704294,0.1507185310390094,0.0476180529671987,0.6145969265222752,0.337501830715652,1.0419110585208784,1.0000666967450564,cache\R61_osmnx_city_windows\sydney_australia__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Nairobi,Kenya,Africa,-1.2890006,36.8172812,10000,400.0,22960,28157,0.5433092136999518,0.825,0.2816907863000482,57.4,70.3925,7.399841527132525,105.12258446755726,68.10121936271663,86.55723395455101,1.4505987046573472,0.2661505131938771,0.1865965834428383,0.9965259265559292,0.0665198707248641,0.062688379693708,0.2459068792840146,0.293074912891986,0.0195121951219512,0.6293554006968641,0.0580574912891986,2.452700348432056,2.84057250417303,0.1944999287840865,1,5198,0.2263937282229965,0.1384374592089486,0.132094349805425,0.7294681909856318,0.041204334902098,0.7280289659576105,0.1014249557148391,0.0346768297081664,0.1574818598570975,0.1070243987014721,1.0577283393177983,1.000080958463105,cache\R61_osmnx_city_windows\nairobi_kenya__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Taipei,Taiwan,Asia,25.0375198,121.5636796,10000,400.0,16388,24900,0.431684610183596,0.6,0.1683153898164039,40.97,62.25,8.011711484819863,128.7021925272267,75.8745209754695,107.3236518339315,1.669868129666379,0.2624899598393574,0.2395582329317269,0.9774568082808875,0.1136546184738955,0.2204370139676657,0.3659437751004016,0.1211862338296314,0.0206248474493531,0.5738955333170612,0.2842933854039541,3.0388088845496704,3.3165060240963857,0.1477310927870623,1,8513,0.5194654625335612,0.2523056596170904,0.3245791348705377,0.4218194321734418,0.1009833570853254,0.4288924838778269,0.3317484015294812,0.1701398506441239,0.1743622138934258,0.3662912325734515,1.0425016478182765,1.000023740794434,cache\R61_osmnx_city_windows\taipei_taiwan__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Chicago,United States,North America,41.8755616,-87.6244212,10000,400.0,13260,21830,0.3959947031400221,0.6,0.2040052968599778,33.15,54.575,7.382321927804089,135.26929780676298,102.4561427786291,110.39797680347756,0.8257003475033224,0.1081539166284929,0.3337150710032066,0.5163336369139565,0.4169949610627577,0.8246536221028645,0.8682088868529546,0.0728506787330316,0.0446455505279034,0.4122926093514328,0.4702111613876319,3.2926093514328807,3.525286303252405,0.1315046371626631,1,8571,0.6463800904977376,0.2891000245294578,0.1725532415151409,0.5360380965972711,0.0670167503049743,0.5373717922414295,0.3475705617523965,0.0559108850205358,0.1173238103357689,0.307387926584083,1.0110170486937282,1.0000001073517275,cache\R61_osmnx_city_windows\chicago_united_states__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Rome,Italy,Europe,41.8933203,12.4829321,10000,400.0,25843,37062,0.4705329710788918,0.675,0.2044670289211081,64.6075,92.655,9.094196280981889,98.15116594875492,67.65098395094813,86.78258221407788,1.373334421364512,0.3136905725540985,0.1661270303815228,0.9980432202521198,0.0682370082564351,0.0032425411999166,0.2277534941449463,0.1347753743760399,0.0306079015594164,0.6739542622760516,0.160662461788492,2.868242851062184,3.12524958178188,0.1384745223297487,1,11220,0.4341601207290175,0.2131548223223584,0.2137826690477046,0.5730418086950716,0.0623623954371603,0.5773227396250679,0.4188940282919432,0.0700677357026064,0.5749997798095821,0.6903390966988726,1.059163759411186,1.0001501862842093,cache\R61_osmnx_city_windows\rome_italy__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
Hong Kong,China,Asia,22.2818333,114.1582831,10000,400.0,9035,13245,0.4651775366136339,0.675,0.2098224633863661,22.5875,33.1125,3.79757514734686,114.6870561675156,58.46863247392947,99.20828230091516,1.7863618639715062,0.362551906379766,0.2030955077387693,0.9973562456562156,0.0672706681766704,0.020857877050028,0.2389580973952434,0.1014941892639734,0.0449363586054233,0.679136690647482,0.1744327614831212,2.931931377974544,3.149716874292185,0.1246921675134846,1,4211,0.466076369673492,0.5035836232989577,0.335577019000277,0.1571151910913032,0.185711308120399,0.1597937451004401,0.568128604736365,0.2309862912522279,0.2776550224680069,0.8848248232458764,1.0854116644624523,1.0019622588507398,cache\R61_osmnx_city_windows\hong_kong_china__drive_10000m.pkl,one_per_macro_region_or_morphology_extreme
