country,countryiso3code,wdi_gdp_per_capita_constant_2015_usd,wdi_gini_index,wdi_population_density_people_per_km2,wdi_population_total,wdi_urban_population_growth_pct,wdi_urban_population_pct,wdi_gdp_per_capita_constant_2015_usd_year,wdi_gini_index_year,wdi_population_density_people_per_km2_year,wdi_population_total_year,wdi_urban_population_growth_pct_year,wdi_urban_population_pct_year
Algeria,DZA,4765.72900168387,27.6,19.3825602290762,46814308.0,2.12697498648782,75.2792907190618,2024.0,2011.0,2023.0,2024.0,2024.0,2024.0
Argentina,ARG,12774.3506596628,42.4,16.6399559321662,45696159.0,0.432261342079918,92.2742315972952,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Australia,AUS,61480.670710531,33.8,3.46591948538875,27196812.0,2.12571289816265,87.6021469990446,2024.0,2020.0,2023.0,2024.0,2024.0,2024.0
Austria,AUT,45958.8250071261,31.2,110.661185167232,9177982.0,0.849927327322192,69.4658181096788,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Bangladesh,BGD,1941.27874360025,30.9,1319.17979689183,173562364.0,2.82015881681108,32.6783196323307,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
Brazil,BRA,9566.74408628371,50.3,25.2616884857157,211998573.0,0.724401697459186,87.8958549533146,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Canada,CAN,44413.3983847404,31.5,4.56079784268436,41288599.0,3.17427570128175,82.7002565766633,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
Chile,CHL,14579.4001071307,43.0,26.4647249005172,19764771.0,0.739019575786262,88.9950908479196,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
China,CHN,13121.6769905565,36.0,150.264001337848,1408975000.0,0.431708792065523,65.8946980998325,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
Colombia,COL,6863.59563194342,54.4,47.1574150518251,52886363.0,1.3876355674663,78.5210811866115,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Czechia,CZE,20445.432830127,25.7,140.785547662605,10905028.0,0.458401790567792,72.7947984592185,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Ecuador,ECU,5999.39391066593,45.9,72.3952448059269,18135478.0,1.0297722100581,63.2376932397602,2024.0,2025.0,2023.0,2024.0,2024.0,2024.0
Egypt,EGY,4137.60929232898,28.5,115.059291777588,116538258.0,1.94520545988301,42.8004363938404,2024.0,2021.0,2023.0,2024.0,2024.0,2024.0
Ethiopia,ETH,883.458588619291,31.1,114.037952012,132059767.0,4.99846973014755,23.6222839355469,2024.0,2021.0,2023.0,2024.0,2024.0,2024.0
France,FRA,39683.3953489029,31.8,126.862020595603,68551653.0,0.28679881642264,78.7999750964116,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Ghana,GHA,2167.72691406678,43.5,148.49676310689,34427414.0,2.83566522568304,58.3654868038581,2024.0,2016.0,2023.0,2024.0,2024.0,2024.0
Greece,GRC,21494.6856060599,33.4,80.7397284716835,10405134.0,0.260310842407267,78.9967856500534,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
India,IND,2396.94999213544,25.5,483.679010086809,1450935791.0,1.77423382325139,35.3788972368389,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
Indonesia,IDN,4367.86266621191,34.4,148.57692229227,283487931.0,1.89719567962498,58.7509635387997,2024.0,2025.0,2023.0,2024.0,2024.0,2024.0
Iran,IRN,5834.44296939863,35.9,55.8451198767334,91567738.0,1.50072659043525,77.0201263427734,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Israel,ISR,41845.1660567523,38.3,455.129390018484,9974400.0,1.29494868069402,91.536188843818,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
Italy,ITA,34495.2545799636,34.3,199.459678073854,58952704.0,0.0422886329405625,69.6047535143071,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Japan,JPN,37152.5636003552,32.3,341.54455749932,123975371.0,-0.318996369716406,92.1901718034531,2024.0,2020.0,2023.0,2024.0,2024.0,2024.0
Kenya,KEN,1860.02287047776,38.5,95.2681371231706,56432944.0,2.77842851424254,31.8937831721599,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
Malaysia,MYS,11883.79127749,40.7,106.913096941105,35557673.0,1.83816120540281,76.9170296648992,2024.0,2021.0,2023.0,2024.0,2024.0,2024.0
Mexico,MEX,10316.4611902215,42.6,66.7402757272564,130861007.0,1.2127000253117,79.7538805976118,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Morocco,MAR,3516.15405273438,39.5,84.5003473000224,38081173.0,1.17376582878803,62.7998124018197,2024.0,2013.0,2023.0,2024.0,2024.0,2024.0
Netherlands,NLD,51178.5256968147,25.7,530.950905850906,17993485.0,0.98132856285037,95.6396517079336,2024.0,2021.0,2023.0,2024.0,2024.0,2024.0
New Zealand,NZL,42408.2378731636,,19.7485853176864,5287500.0,1.72488696886557,83.9370658833132,2024.0,,2023.0,2024.0,2024.0,2024.0
Nigeria,NGA,2324.64881202751,33.9,250.20910328623,232679478.0,3.3628832591496,62.9755675573659,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
Pakistan,PAK,1634.56735260799,33.5,321.067474833956,251269164.0,2.41802539576733,39.1734368360905,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Panama,PAN,17122.720655567,49.7,60.1072930709086,4515577.0,1.47211283915818,65.9958447685488,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Peru,PER,6711.19403272527,40.1,26.44188828125,34217848.0,1.57651042813743,85.1912729600355,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Philippines,PHL,3925.3048697218,39.3,385.321122178623,115843670.0,1.41854562717771,55.4520983215477,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Poland,POL,18000.5034591285,28.5,119.787615502661,36559233.0,-0.208678244418305,59.9705468695101,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Portugal,PRT,22647.3791895579,33.9,115.475189289738,10694681.0,1.29665949378498,61.3281907341332,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Saudi Arabia,SAU,24963.3322139095,,15.6779493787476,35300280.0,4.81983574967141,84.4554020211443,2024.0,,2023.0,2024.0,2024.0,2024.0
Senegal,SEN,1511.89280670234,36.2,93.8948371682335,18501984.0,3.29859527765075,55.2368169057304,2024.0,2021.0,2023.0,2024.0,2024.0,2024.0
Singapore,SGP,67706.8336149739,,8241.8495821727,6036860.0,1.99449365639326,100.0,2024.0,,2023.0,2024.0,2024.0,2024.0
South Africa,ZAF,5715.47531469148,54.1,52.1085690262058,64007187.0,1.42147218614851,63.6917984858172,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
South Korea,KOR,37048.4264001496,32.9,529.842407786885,51751065.0,0.0788732751905413,81.1682528469686,2024.0,2021.0,2023.0,2024.0,2024.0,2024.0
Spain,ESP,29245.2192451729,33.4,96.7636173412149,48848840.0,1.25395229298248,80.315199821207,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Taiwan,TWN,,,,,,,,,,,,
Tanzania,TZA,1120.77416992188,40.5,75.2061481146986,68560157.0,4.8107084931504,36.1684458862992,2024.0,2018.0,2023.0,2024.0,2024.0,2024.0
Thailand,THA,6574.46109387985,33.3,140.348088629646,71668011.0,1.47434839627653,61.8689338391321,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Tunisia,TUN,4006.20588267443,33.7,78.530065653965,12277109.0,1.09931824049137,70.3585355691955,2024.0,2021.0,2023.0,2024.0,2024.0,2024.0
Turkey,TUR,15395.0278894893,43.7,110.866214934449,85518661.0,0.587160894947427,89.3443122873887,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Uganda,UGA,986.090145363924,42.7,242.65210951526,50015092.0,4.92509441786509,31.2777698213557,2024.0,2019.0,2023.0,2024.0,2024.0,2024.0
United Arab Emirates,ARE,41605.4168670844,26.4,147.616882568291,10986400.0,4.85698550165299,85.8171088279791,2024.0,2018.0,2023.0,2024.0,2024.0,2024.0
United Kingdom,GBR,47960.9105761942,32.4,283.106683751498,69226000.0,1.16542701063795,83.2429544416085,2024.0,2021.0,2023.0,2024.0,2024.0,2024.0
United States,USA,66356.1706750101,41.8,36.8198061311277,340110988.0,1.04286346807884,80.1247798047184,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Uruguay,URY,18958.6033293537,40.0,19.3582504856588,3386588.0,0.0126648281212226,95.5981951588181,2024.0,2024.0,2023.0,2024.0,2024.0,2024.0
Vietnam,VNM,4017.74604111554,36.1,320.175197572656,100987686.0,1.57144510714158,38.4900703430176,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
