city,country,macro_region,swap_fraction,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_spatial_null,pc_spatial_null_ci_low,pc_spatial_null_ci_high,spatial_null_gap,road_minus_spatial,spatial_fraction_of_road_gap,remaining_fraction_after_spatial,threshold_boundary_hit,runtime_seconds,n_perm,n_bootstrap,length_bins,bin_tolerance,status,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,degree_max_abs_drift,chord_length_mean_ratio,chord_length_median_ratio,chord_length_bin_tvd,length_rejects,topology_rejects,notes
Dakar,Senegal,Africa,0.005,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.625,0.625,0.625,0.1649622404027692,0.07499999999999996,0.6874508261211649,0.3125491738788353,False,0.7442615032196045,6,80,12,1,pass,216.0,8019.0,0.026936026936026935,0.005008231120591713,0.0,2.099264208075369,1.0,0.004706809803148693,7801.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Dakar,Senegal,Africa,0.01,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.6,0.6,0.6,0.13996224040276917,0.09999999999999998,0.583267768161553,0.4167322318384472,False,1.2450745105743408,6,80,12,1,pass,431.0,16510.0,0.026105390672319807,0.009993275985995502,0.0,3.176147192379348,1.0,0.009320874585545688,16073.0,6.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Dakar,Senegal,Africa,0.02,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.575,0.575,0.6,0.11496224040276914,0.125,0.4790847102019411,0.5209152897980591,False,1.2042195796966553,6,80,12,1,pass,863.0,30925.0,0.027906224737267584,0.020009738227178928,0.0,5.114580566900577,1.0,0.017041897563124582,30054.0,8.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Dar es Salaam,Tanzania,Africa,0.005,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.675,0.675,0.7,0.16740116407699246,0.09999999999999998,0.6260300498497191,0.3739699501502811,False,0.49700045585632324,6,80,12,1,pass,149.0,4788.0,0.031119465329991644,0.004995641386709582,0.0,1.8631377415927943,1.0,0.005096224770334612,4638.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Dar es Salaam,Tanzania,Africa,0.01,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.65,0.65,0.7,0.14240116407699244,0.125,0.5325375623121488,0.46746243768785145,False,0.8520424365997314,6,80,12,1,pass,298.0,11473.0,0.025974025974025976,0.009991282773419164,0.0,2.824013636586361,1.0,0.008247837457252064,11172.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Dar es Salaam,Tanzania,Africa,0.02,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.625,0.625,0.675,0.11740116407699241,0.15000000000000002,0.4390450747745783,0.5609549252254219,False,0.8596742153167725,6,80,12,1,pass,597.0,21781.0,0.02740920986180616,0.020016093341380003,0.0,4.512337816872256,1.0,0.0177362033125461,21179.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Kampala,Uganda,Africa,0.005,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.775,0.75,0.775,0.20054786060261198,0.04999999999999993,0.8004373300983649,0.19956266990163513,False,0.7090559005737305,6,80,12,1,pass,207.0,7950.0,0.026037735849056602,0.0050010871928680145,0.0,2.0110562898033586,1.0,0.005170206083448092,7739.0,4.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Kampala,Uganda,Africa,0.01,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.725,0.725,0.75,0.15054786060261194,0.09999999999999998,0.6008746601967293,0.3991253398032707,False,0.8406240940093994,6,80,12,1,pass,414.0,14165.0,0.02922696787857395,0.010002174385736029,0.0,2.946590949903652,1.0,0.0091324200913242,13750.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Kampala,Uganda,Africa,0.02,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.7,0.7,0.75,0.12554786060261192,0.125,0.5010933252459115,0.49890667475408845,False,1.1927337646484375,6,80,12,1,pass,828.0,29369.0,0.028192992611256767,0.020004348771472058,0.0,4.6709098249781515,1.0,0.017805803193931047,28535.0,6.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Nairobi,Kenya,Africa,0.005,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.725,0.7,0.75,0.1816907863000482,0.09999999999999998,0.6450008134327719,0.35499918656722806,False,0.4726717472076416,6,80,12,1,pass,141.0,5085.0,0.027728613569321534,0.005007635756650211,0.0,1.9357580668842922,1.0,0.004687999431757649,4941.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Nairobi,Kenya,Africa,0.01,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.725,0.675,0.725,0.1816907863000482,0.09999999999999998,0.6450008134327719,0.35499918656722806,False,0.591071605682373,6,80,12,1,pass,282.0,10467.0,0.02694181713958154,0.010015271513300422,0.0,2.640825309076308,1.0,0.009411514010725576,10183.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Nairobi,Kenya,Africa,0.02,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.675,0.675,0.7,0.13169078630004827,0.1499999999999999,0.46750122014915807,0.5324987798508419,False,0.8134586811065674,6,80,12,1,pass,563.0,20316.0,0.02771214806064186,0.01999502787939056,0.0,4.032934009233236,1.0,0.01747345242746031,19748.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Chennai,India,Asia,0.005,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.65,0.65,0.65,0.151551080498449,0.07499999999999996,0.6689488311643105,0.3310511688356898,False,0.9855694770812988,6,80,12,1,pass,284.0,10753.0,0.026411234074211847,0.0049929676511954995,0.0,2.0870828436533797,1.0,0.004623769338959215,10468.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Chennai,India,Asia,0.01,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.625,0.625,0.625,0.126551080498449,0.09999999999999998,0.5585984415524137,0.44140155844758655,False,1.1790235042572021,6,80,12,1,pass,569.0,20699.0,0.027489250688439056,0.01000351617440225,0.0,3.107639465491951,1.0,0.009616736990154716,20129.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Chennai,India,Asia,0.02,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.6,0.6,0.625,0.10155108049844896,0.125,0.448248051940517,0.5517519480594832,False,1.6664669513702393,6,80,12,1,pass,1138.0,41521.0,0.02740781773078683,0.0200070323488045,0.0,5.0027823131424825,1.0,0.017862165963431785,40381.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Ho Chi Minh City,Vietnam,Asia,0.005,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.625,0.625,0.65,0.11905028531365014,0.09999999999999998,0.5434838176229096,0.4565161823770904,False,0.8968799114227295,6,80,12,1,pass,260.0,9536.0,0.02726510067114094,0.005004041726009469,0.0,2.1228985021662266,1.0,0.004907810154355444,9276.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Ho Chi Minh City,Vietnam,Asia,0.01,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.625,0.6,0.625,0.11905028531365014,0.09999999999999998,0.5434838176229096,0.4565161823770904,False,1.0602259635925293,6,80,12,1,pass,520.0,17642.0,0.029475116199977325,0.010008083452018939,0.0,3.075691648898257,1.0,0.009988837137688139,17120.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Ho Chi Minh City,Vietnam,Asia,0.02,40466,51958,0.5059497146863499,0.725,0.2190502853136501,0.6,0.6,0.625,0.09405028531365012,0.125,0.429354772028637,0.5706452279713632,False,1.5031156539916992,6,80,12,1,pass,1039.0,37966.0,0.027366591160512037,0.019996920589707073,0.0,4.947896341503008,1.0,0.01807228915662651,36922.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Hong Kong,China,Asia,0.005,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.625,0.65,0.15982246338636608,0.050000000000000044,0.7617033029112319,0.23829669708876824,False,0.24269723892211914,6,80,12,1,pass,66.0,2628.0,0.02511415525114155,0.004983012457531144,0.0,1.5522783756954144,1.0,0.004605511513778783,2561.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Hong Kong,China,Asia,0.01,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.6,0.625,0.15982246338636608,0.050000000000000044,0.7617033029112319,0.23829669708876824,False,0.27854394912719727,6,80,12,1,pass,132.0,4330.0,0.03048498845265589,0.009966024915062289,0.0,2.102057996152119,1.0,0.009739524348810875,4197.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Hong Kong,China,Asia,0.02,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.575,0.65,0.15982246338636608,0.050000000000000044,0.7617033029112319,0.23829669708876824,False,0.40599727630615234,6,80,12,1,pass,265.0,10883.0,0.024349903519250208,0.020007550018875046,0.0,3.0028288819887687,1.0000936764448924,0.01781804454511135,10607.0,11.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Kuala Lumpur,Malaysia,Asia,0.005,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.65,0.65,0.65,0.15309838844827245,0.04999999999999993,0.7538139008289843,0.2461860991710162,False,0.8785324096679688,6,80,12,1,pass,255.0,8152.0,0.031280667320902844,0.005000098041138061,0.0,1.9327497200077577,1.0,0.004568717033667319,7897.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Kuala Lumpur,Malaysia,Asia,0.01,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.625,0.625,0.65,0.12809838844827243,0.07499999999999996,0.6307208512434759,0.36927914875652457,False,1.0599873065948486,6,80,12,1,pass,510.0,17772.0,0.028696826468602294,0.010000196082276123,0.0,2.832362591426596,1.0,0.009353124571070015,17260.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Kuala Lumpur,Malaysia,Asia,0.02,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.625,0.6,0.625,0.12809838844827243,0.07499999999999996,0.6307208512434759,0.36927914875652457,False,1.4357638359069824,6,80,12,1,pass,1020.0,36407.0,0.02801659021616722,0.020000392164552246,0.0,4.336806419799415,1.0,0.017098374477930937,35383.0,4.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Singapore,Singapore,Asia,0.005,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.625,0.625,0.65,0.1581795684974292,0.050000000000000044,0.7598227320726845,0.2401772679273158,False,0.3385601043701172,6,80,12,1,pass,97.0,3587.0,0.027042096459436855,0.004992279979413278,0.0,1.6575770180098086,1.0,0.005249613998970663,3490.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Singapore,Singapore,Asia,0.01,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.6,0.6,0.6,0.13317956849742918,0.07500000000000007,0.6397340981090266,0.36026590189097374,False,0.4086940288543701,6,80,12,1,pass,194.0,7381.0,0.026283701395474868,0.009984559958826557,0.0,2.321169688243218,1.0,0.008800823468862587,7184.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Singapore,Singapore,Asia,0.02,13478,19430,0.4668204315025708,0.675,0.2081795684974292,0.6,0.6,0.625,0.13317956849742918,0.07500000000000007,0.6397340981090266,0.36026590189097374,False,0.6124980449676514,6,80,12,1,pass,389.0,14706.0,0.026451788385692915,0.02002058672156459,0.0,3.4054086768859526,0.9999723879244876,0.017704580545548118,14310.0,7.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Taipei,Taiwan,Asia,0.005,16388,24900,0.431684610183596,0.6,0.1683153898164039,0.575,0.55,0.575,0.14331538981640396,0.025000000000000022,0.8514693158642855,0.14853068413571496,False,0.422135591506958,6,80,12,1,pass,124.0,4643.0,0.02670687055782899,0.00497991967871486,0.0,1.64184342827794,1.0,0.004738955823293173,4518.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Taipei,Taiwan,Asia,0.01,16388,24900,0.431684610183596,0.6,0.1683153898164039,0.575,0.55,0.575,0.14331538981640396,0.025000000000000022,0.8514693158642855,0.14853068413571496,False,0.548487663269043,6,80,12,1,pass,249.0,8648.0,0.028792784458834413,0.01,0.0,2.164127232601483,1.0,0.010321285140562249,8397.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Taipei,Taiwan,Asia,0.02,16388,24900,0.431684610183596,0.6,0.1683153898164039,0.525,0.525,0.55,0.09331538981640403,0.07499999999999996,0.5544079475928563,0.4455920524071442,False,0.701462984085083,6,80,12,1,pass,498.0,18096.0,0.027519893899204242,0.02,0.0,3.2635575299247477,1.0,0.0191566265060241,17594.0,4.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Amsterdam,Netherlands,Europe,0.005,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.6,0.6,0.65,0.13331914289768698,0.09999999999999998,0.5714025057778861,0.42859749422211413,False,0.6031794548034668,6,80,12,1,pass,164.0,6809.0,0.024085768835364958,0.004986772888983489,0.0,1.8098328340631809,1.0,0.0047131085231246345,6645.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Amsterdam,Netherlands,Europe,0.01,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.6,0.6,0.6,0.13331914289768698,0.09999999999999998,0.5714025057778861,0.42859749422211413,False,0.6754629611968994,6,80,12,1,pass,329.0,11749.0,0.028002383181547366,0.010003952929729071,0.0,2.567180714041874,1.0,0.00924377413567671,11420.0,0.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Amsterdam,Netherlands,Europe,0.02,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.575,0.575,0.6,0.10831914289768696,0.125,0.4642531322223575,0.5357468677776428,False,0.9443564414978027,6,80,12,1,pass,658.0,24135.0,0.027263310544851874,0.020007905859458143,0.0,4.031783145263524,1.0,0.018001033843159917,23469.0,8.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Barcelona,Spain,Europe,0.005,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.6,0.575,0.6,0.16118580324923498,0.025000000000000022,0.8657255302836703,0.1342744697163303,False,0.5155210494995117,6,80,12,1,pass,144.0,6474.0,0.022242817423540315,0.004996530187369882,0.0,1.7917188613239552,1.0,0.005065926439972238,6329.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
Barcelona,Spain,Europe,0.01,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.575,0.55,0.575,0.13618580324923496,0.050000000000000044,0.73145106056734,0.2685489394326606,False,0.6183075904846191,6,80,12,1,pass,288.0,11365.0,0.02534095908490981,0.009993060374739763,0.0,2.5825081607513587,1.0,0.009646079111727962,11074.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset
