city,country,macro_region,kappa,road_gap,predicted_cv5,predicted_leave_region_out,predicted_fit
Lisbon,Portugal,Europe,3.018097700367397,0.2544838513923538,0.2291588645263679,0.22812730320039026,0.22865418554790629
Vienna,Austria,Europe,3.243669191339607,0.2293014969141065,0.2075036980025668,0.20798347559447417,0.20813406104629484
Athens,Greece,Europe,3.418046572528304,0.2114430357292901,0.1917176021748317,0.19241134859430747,0.19227103883176394
Istanbul,Turkey,Middle East,3.167770782756586,0.2136966149952546,0.2146145548345164,0.2159090156219282,0.21503850090651472
Dubai,United Arab Emirates,Middle East,3.037235915492958,0.2341388324763428,0.22817668197424684,0.2282875307902411,0.2269131917927889
Cairo,Egypt,Africa,3.038398197635621,0.2094187185016547,0.22742346369940386,0.2238544183174597,0.22680745957383402
Nairobi,Kenya,Africa,2.84057250417303,0.2816907863000482,0.24195790283043508,0.2395414263354048,0.24480356290220234
Accra,Ghana,Africa,2.9877606704346134,0.2219213271629146,0.2317522446853551,0.2278698284560893,0.23141392982475073
Johannesburg,South Africa,Africa,3.2014280460897275,0.195749404902766,0.21266402448159843,0.21092662064315232,0.21197671667570223
Casablanca,Morocco,Africa,3.174467398321498,0.2151172715801975,0.21579150216296283,0.21306452240053542,0.21442931317388436
Mexico City,Mexico,Latin America,3.3441165112815137,0.1984000442438305,0.19891808406459188,0.19732044117933478,0.19899641912985666
Bogota,Colombia,Latin America,3.225213307758449,0.2006048806586807,0.20935931709530048,0.2087791130658539,0.20981298344575383
Lima,Peru,Latin America,3.258179851179482,0.2071654757801135,0.2062634167940438,0.20560213554883494,0.2068140336561693
Santiago,Chile,Latin America,3.2009920500101923,0.1956594220795258,0.21157524454288024,0.21111330959708735,0.2120163790186504
Sao Paulo,Brazil,Latin America,3.2097164211914704,0.2224532431356944,0.21009007366859722,0.21027254413559937,0.21122272738268127
Tokyo,Japan,Asia,3.338488673205146,0.1973733830921686,0.19899610664451234,0.20103607930902323,0.19950838071464838
Seoul,South Korea,Asia,3.2140283986326583,0.2233346100630051,0.21038258960196082,0.21176026470481268,0.21083046897467073
Taipei,Taiwan,Asia,3.3165060240963857,0.1683153898164039,0.19947998823696655,0.20293022589790638,0.20150813119128363
Bangkok,Thailand,Asia,2.75776215582894,0.2810948175304116,0.25212496736537937,0.25107468687264695,0.25233677842832525
Kuala Lumpur,Malaysia,Asia,3.0124708327614265,0.2030983884482723,0.22726509980993959,0.2291275789884415,0.2291660588494966
Jakarta,Indonesia,Asia,2.9518832607533043,0.1876742784227459,0.23570709803184037,0.23434813918025932,0.2346776796465156
Manila,Philippines,Asia,3.22569453855536,0.2007020470791676,0.20904005984441526,0.2107550455871945,0.20976920612343325
Mumbai,India,Asia,3.0725229009160366,0.2424962845727741,0.2233284869468775,0.2239531607694335,0.22370315256732076
Bengaluru,India,Asia,3.0507602322057346,0.2123759548797029,0.22588317242678596,0.22582835263091777,0.22568289153831395
Los Angeles,United States,North America,3.353326976972639,0.1750696737916047,0.20050157814777708,0.19684108286446605,0.19815854772205982
New York City,United States,North America,3.579695282742456,0.1873573172809358,0.17692583129562245,0.17493861200156652,0.1775659373811202
Montreal,Canada,North America,3.363137377202557,0.2018337424446379,0.19484692821248512,0.1958918686868963,0.19726610057255123
Vancouver,Canada,North America,3.3380510746780363,0.1972933468689489,0.19975605964555143,0.19831911665446245,0.19954818883144237
London,United Kingdom,Europe,2.923133446215776,0.2550152834075354,0.23895693385677635,0.23660773464192525,0.2372930357412315
Paris,France,Europe,3.202769069063627,0.196025947956002,0.2133721159695402,0.21163590972361568,0.21185472449368786
Amsterdam,Netherlands,Europe,3.142791984674796,0.2333191428976869,0.21820388278139463,0.2169919413880202,0.21731080954059695
Barcelona,Spain,Europe,3.278868841082581,0.1861858032492349,0.20534751957776248,0.2048401010786829,0.2049319667034954
Warsaw,Poland,Europe,3.08298755186722,0.2199203187250994,0.22361171459863521,0.22233255504160382,0.22275118856043902
Prague,Czechia,Europe,3.0973101555352245,0.2231987994904814,0.22238733778060332,0.22105352790075078,0.2214482685452014
Rome,Italy,Europe,3.12524958178188,0.2044670289211081,0.21999891828660195,0.21855850078852507,0.21890663306363428
Milan,Italy,Europe,3.15110552237242,0.1851227591582229,0.21741843062612548,0.21624953165594613,0.21655453121894902
Lagos,Nigeria,Africa,3.01882798573975,0.2546630980630208,0.22905580210057214,0.22540627978474412,0.22858775185676117
Addis Ababa,Ethiopia,Africa,3.073509264768969,0.2177258105420519,0.22323824758946142,0.22107021176673888,0.22361342354625152
Dakar,Senegal,Africa,3.173734610123119,0.2399622404027691,0.21366504800163155,0.21312263039521606,0.2144959745458478
Kampala,Uganda,Africa,2.740789060423764,0.2505478606026119,0.25367778301061256,0.24745396618174634,0.2538808123370023
Dar es Salaam,Tanzania,Africa,2.970059679474284,0.2674011640769924,0.2332654250742277,0.22927346608404367,0.2330241800241104
Tunis,Tunisia,Africa,3.082494999629602,0.2198067701589378,0.22241617068819958,0.22035766885919927,0.22279599578849746
Algiers,Algeria,Africa,2.97400034620045,0.2434144758764622,0.23055331840860022,0.2289609825565129,0.23266569956413846
Buenos Aires,Argentina,Latin America,3.627321733561059,0.1943842622218158,0.16859888051480937,0.17002802497441283,0.17323338322653514
Rio de Janeiro,Brazil,Latin America,3.0861653990565125,0.2206516221330009,0.22334005432512571,0.22217912513544535,0.22246210140811173
Quito,Ecuador,Latin America,3.0782344764984537,0.2438223411225157,0.22430319161719914,0.2229434261522179,0.22318357342393513
Montevideo,Uruguay,Latin America,3.457193763919822,0.1930316873323181,0.18925294181011615,0.1864232147176435,0.18870983862077928
Panama City,Panama,Latin America,3.025768167777597,0.2313600979093936,0.2283662600259735,0.22799959115800345,0.2279564070052169
Delhi,India,Asia,3.1323573940791465,0.231035462077478,0.21939130246440786,0.21879749001466137,0.21826003897213203
Chennai,India,Asia,3.0062236286919832,0.2265510804984489,0.2303081085185168,0.22966587263174387,0.22973436384557316
Hyderabad,India,Asia,3.048526049631324,0.2618441377985055,0.226105149729253,0.22602086215428435,0.22588613399767193
Karachi,Pakistan,Asia,3.2390368644926064,0.2283793945699003,0.2071769398067237,0.20960539701496078,0.20855546147780735
Dhaka,Bangladesh,Asia,2.995499624968748,0.2238723688606749,0.22871569339723846,0.23058991208536195,0.23070992104301902
Hanoi,Vietnam,Asia,3.045128616557188,0.2610331976658657,0.22447371499347635,0.22631360377229837,0.22619519676693717
Ho Chi Minh City,Vietnam,Asia,2.976481003887755,0.2190502853136501,0.2321150610362399,0.23222866163131484,0.2324400353883599
Singapore,Singapore,Asia,3.142151312403499,0.2081795684974292,0.21618081668379768,0.21795359186143654,0.21736909117324066
Hong Kong,China,Asia,3.149716874292185,0.2098224633863661,0.21553415937489506,0.21730170121925146,0.21668085583281105
Osaka,Japan,Asia,3.2384598745403417,0.1782642727378145,0.21032106492773867,0.20965511365941497,0.20860794996208176
Sydney,Australia,Oceania,3.052139425402251,0.2127036751881589,0.2251933076484911,0.22625358769443066,0.22555742703044412
Melbourne,Australia,Oceania,3.133976482439317,0.2313912743513861,0.2168795504491351,0.21860362855837295,0.2181127513224977
Auckland,New Zealand,Oceania,2.9823546944858417,0.2205494075900642,0.23267960746785388,0.23277692026722246,0.23190570872395205
Brisbane,Australia,Oceania,3.036163074998578,0.208880201061156,0.22761453456931607,0.22774702394637308,0.22701078755021442
Chicago,United States,North America,3.525286303252405,0.2040052968599778,0.18206632043043058,0.1802030021904153,0.18251549474020612
Toronto,Canada,North America,3.220618556701031,0.1996750232126277,0.21085093016861167,0.20968140650595646,0.21023096562668353
Seattle,United States,North America,3.2636126938606087,0.2082283123291324,0.2057990510959557,0.20552146974621105,0.20631981070390748
San Francisco,United States,North America,3.4877062439340016,0.1980232784966512,0.18534465575472336,0.18383909493514933,0.1859341337387247
Boston,United States,North America,3.1598359512317606,0.2120018730220242,0.21504594983299902,0.21556248266074085,0.2157603285190688
Miami,United States,North America,3.387597438752784,0.1811689258125637,0.19507498404768875,0.19352521323313615,0.19504098113851082
Riyadh,Saudi Arabia,Middle East,3.143333794996412,0.2084371144921578,0.2181526932516975,0.21822635527223233,0.2172615213295384
Tel Aviv,Israel,Middle East,3.1255989161682582,0.2045443592892564,0.2199690552160083,0.21990813939002768,0.21887485429110293
Tehran,Iran,Middle East,2.9624573062932145,0.1904347744059465,0.23524166705042593,0.2353787254085719,0.23371576406919914
