city,country,macro_region,null_type,swap_fraction,replicate,n_nodes,n_edges,pc_cebh,pc_road_coarse,pc_road_fine,pc_road_fine_ci_low,pc_road_fine_ci_high,pc_null_fine,pc_null_fine_ci_low,pc_null_fine_ci_high,road_minus_null_fine,null_gap_fine,road_gap_fine,p_grid_min,p_grid_max,p_grid_step,n_perm,n_bootstrap,threshold_boundary_hit,accepted_swaps,accepted_swaps_per_edge,attempted_swaps,acceptance_rate,degree_max_abs_drift,length_bin_tvd,crossing_rejects,status,runtime_seconds
Hong Kong,China,Asia,spatial,0.005,0,9035,13245,0.4651775366136339,0.675,0.62,0.62,0.715,0.65,0.615,0.655,-0.030000000000000027,0.1848224633863661,0.15482246338636607,0.615,0.735,0.005,8,120,False,66,0.004983012457531144,2824,0.023371104815864022,0.0,0.004303510758776892,,pass,1.532245397567749
Hong Kong,China,Asia,geometry,0.005,0,9035,13245,0.4651775366136339,0.675,0.62,0.62,0.715,0.665,0.655,0.72,-0.04500000000000004,0.1998224633863661,0.15482246338636607,0.615,0.735,0.005,8,120,False,66,0.004983012457531144,46734,0.001412248042110669,0.0,0.0,1798.0,pass,4.178287029266357
Hong Kong,China,Asia,spatial,0.01,0,9035,13245,0.4651775366136339,0.675,0.62,0.62,0.715,0.62,0.619875,0.65,0.0,0.15482246338636607,0.15482246338636607,0.615,0.735,0.005,8,120,False,132,0.009966024915062289,5116,0.02580140734949179,0.0,0.009588523971309923,,pass,1.356302261352539
Hong Kong,China,Asia,geometry,0.01,0,9035,13245,0.4651775366136339,0.675,0.62,0.62,0.715,0.66,0.66,0.695,-0.040000000000000036,0.1948224633863661,0.15482246338636607,0.615,0.735,0.005,8,120,False,132,0.009966024915062289,88500,0.0014915254237288136,0.0,0.0,3409.0,pass,6.598412275314331
Singapore,Singapore,Asia,spatial,0.005,0,13478,19430,0.4668204315025708,0.675,0.69,0.64,0.69,0.64,0.619875,0.655,0.04999999999999993,0.17317956849742921,0.22317956849742915,0.615,0.735,0.005,8,120,False,97,0.004992279979413278,3510,0.027635327635327635,0.0,0.005198147195059191,,pass,1.8462836742401123
Singapore,Singapore,Asia,geometry,0.005,0,13478,19430,0.4668204315025708,0.675,0.69,0.64,0.69,0.665,0.63,0.7151249999999999,0.02499999999999991,0.19817956849742924,0.22317956849742915,0.615,0.735,0.005,8,120,False,97,0.004992279979413278,54111,0.0017926114838018147,0.0,0.0,1938.0,pass,5.243010997772217
Singapore,Singapore,Asia,spatial,0.01,0,13478,19430,0.4668204315025708,0.675,0.69,0.64,0.69,0.625,0.615,0.63,0.06499999999999995,0.1581795684974292,0.22317956849742915,0.615,0.735,0.005,8,120,False,194,0.009984559958826557,7217,0.026880975474573923,0.0,0.010396294390118369,,pass,2.0767621994018555
Singapore,Singapore,Asia,geometry,0.01,0,13478,19430,0.4668204315025708,0.675,0.69,0.64,0.69,0.68,0.66,0.71,0.009999999999999898,0.21317956849742925,0.22317956849742915,0.615,0.735,0.005,8,120,False,194,0.009984559958826557,87856,0.002208158805317793,0.0,0.0,3230.0,pass,7.04166579246521
Rio de Janeiro,Brazil,Latin America,spatial,0.005,0,14909,20774,0.479348377866999,0.7,0.71,0.67,0.7153749999999999,0.665,0.64,0.665,0.04499999999999993,0.18565162213300102,0.23065162213300094,0.64,0.76,0.005,8,120,False,104,0.0050062578222778474,3531,0.029453412630982726,0.0,0.0052469432945027455,,pass,1.991227149963379
Rio de Janeiro,Brazil,Latin America,geometry,0.005,0,14909,20774,0.479348377866999,0.7,0.71,0.67,0.7153749999999999,0.695,0.695,0.725,0.015000000000000013,0.21565162213300093,0.23065162213300094,0.64,0.76,0.005,8,120,False,104,0.0050062578222778474,56256,0.0018486916951080774,0.0,0.0,1810.0,pass,5.528115510940552
